id,canonical_name,category_id,subcategory,keywords,primary_unit,unit_weight_grams,unit_volume_ml,density_g_per_ml,calories_per_100g,protein_g_per_100g,carbs_g_per_100g,fat_g_per_100g,fiber_g_per_100g,sugar_g_per_100g,sodium_mg_per_100g,shelf_life_days_pantry,shelf_life_days_fridge,shelf_life_days_freezer,origin_country,can_conserve_bocal,can_lactofermentation,can_sechage,can_congelation,can_confiture,can_vinaigre,can_huile,process_params,created_at,updated_at,structured_seasons,category_parent,category_child
297,citron,1,agrumes,"[""citron"",""lemon""]",u,60.00,,0.9100,29.0,1.10,9.00,0.30,2.80,1.50,2.00,7,30,365,"[""IN"",""AR"",""CN"",""TR""]",true,false,false,true,false,false,false,,2025-09-14 23:18:44.992127+00,2025-09-15 17:42:50.115419+00,"{""peak"":[12,1,2],""type"":""fruit"",""available"":[11,12,1,2,3,4]}",fruits,agrumes
298,pamplemousse,1,agrumes,"[""pamplemousse"",""grapefruit""]",u,400.00,,0.8900,42.0,0.80,11.00,0.10,1.60,6.90,0.00,7,21,365,"[""CN"",""US"",""TR"",""AR""]",true,false,false,true,false,false,false,,2025-09-14 23:18:44.992127+00,2025-09-15 17:42:50.115419+00,"{""peak"":[12,1,2],""type"":""fruit"",""available"":[11,12,1,2,3,4]}",fruits,agrumes
299,mandarine,1,agrumes,"[""mandarine"",""tangerine""]",u,70.00,,0.8700,53.0,0.80,13.00,0.30,1.80,10.60,2.00,7,14,365,"[""CN"",""ES"",""TR"",""BR""]",true,false,false,true,true,false,false,,2025-09-14 23:18:44.992127+00,2025-09-15 17:42:50.115419+00,"{""peak"":[12,1,2],""type"":""fruit"",""available"":[11,12,1,2,3,4]}",fruits,agrumes
300,banane,1,fruits_frais,"[""banane"",""banana""]",u,120.00,,0.9400,89.0,1.10,23.00,0.30,2.60,12.20,1.00,3,7,365,"[""IN"",""CN"",""PH"",""EC""]",false,false,true,true,false,false,false,,2025-09-14 23:18:44.992127+00,2025-09-15 17:42:50.115419+00,"{""peak"":[],""type"":""permanent"",""available"":[1,2,3,4,5,6,7,8,9,10,11,12]}",fruits,fruits_frais
301,ananas,1,fruits_exotiques,"[""ananas"",""pineapple""]",g,1.00,,0.8600,50.0,0.50,13.00,0.10,1.40,9.90,1.00,2,5,365,"[""CR"",""PH"",""TH"",""ID""]",true,false,true,true,true,false,false,,2025-09-14 23:18:44.992127+00,2025-09-15 17:42:50.115419+00,"{""peak"":[],""type"":""fruit"",""available"":[1,2,3,4,5,6,7,8,9,10,11,12]}",fruits,fruits_exotiques
302,mangue,1,fruits_exotiques,"[""mangue"",""mango""]",u,200.00,,0.8400,60.0,0.80,15.00,0.40,1.60,13.70,1.00,2,5,365,"[""IN"",""CN"",""TH"",""ID""]",true,false,true,true,true,false,false,,2025-09-14 23:18:44.992127+00,2025-09-15 17:42:50.115419+00,"{""peak"":[],""type"":""fruit"",""available"":[1,2,3,4,5,6,7,8,9,10,11,12]}",fruits,fruits_exotiques
303,avocat,1,fruits_exotiques,"[""avocat"",""avocado""]",u,150.00,,0.9600,160.0,2.00,9.00,15.00,6.70,0.70,7.00,1,3,365,"[""MX"",""PE"",""ID"",""CO""]",false,false,false,true,false,false,false,,2025-09-14 23:18:44.992127+00,2025-09-15 17:42:50.115419+00,"{""peak"":[],""type"":""permanent"",""available"":[1,2,3,4,5,6,7,8,9,10,11,12]}",fruits,fruits_exotiques
304,kiwi,1,fruits_exotiques,"[""kiwi""]",u,75.00,,0.9500,61.0,1.10,15.00,0.50,3.00,9.00,3.00,7,21,365,"[""CN"",""IT"",""NZ"",""IR""]",false,false,false,true,true,false,false,,2025-09-14 23:18:44.992127+00,2025-09-15 17:42:50.115419+00,"{""peak"":[],""type"":""fruit"",""available"":[1,2,3,4,5,6,7,8,9,10,11,12]}",fruits,fruits_exotiques
305,grenade,1,fruits_automne,"[""grenade"",""pomegranate""]",u,280.00,,0.8200,83.0,1.70,19.00,1.20,4.00,13.70,3.00,14,60,365,"[""IN"",""IR"",""TR"",""ES""]",true,false,false,true,true,false,false,,2025-09-14 23:18:44.992127+00,2025-09-15 17:42:50.115419+00,"{""peak"":[10,11],""type"":""fruit"",""available"":[9,10,11,12]}",fruits,fruits_automne
306,fraise,1,fruits_rouges,"[""fraise"",""strawberry""]",g,1.00,,0.9300,32.0,0.70,8.00,0.30,2.00,4.90,1.00,1,3,365,"[""CN"",""US"",""TR"",""ES""]",true,false,false,true,true,false,false,,2025-09-14 23:18:44.992127+00,2025-09-15 17:42:50.115419+00,"{""peak"":[5,6],""type"":""fruit"",""available"":[4,5,6,7]}",fruits,fruits_rouges
307,framboise,1,fruits_rouges,"[""framboise"",""raspberry""]",g,1.00,,0.8700,52.0,1.20,12.00,0.70,6.50,4.40,1.00,1,2,365,"[""RU"",""US"",""PL"",""RS""]",true,false,false,true,true,false,false,,2025-09-14 23:18:44.992127+00,2025-09-15 17:42:50.115419+00,"{""peak"":[5,6,7],""type"":""fruit"",""available"":[4,5,6,7,8]}",fruits,fruits_rouges
308,myrtille,1,fruits_rouges,"[""myrtille"",""blueberry""]",g,1.00,,0.8400,57.0,0.70,14.00,0.30,2.40,10.00,1.00,1,5,365,"[""US"",""CA"",""PL"",""DE""]",true,false,false,true,true,false,false,,2025-09-14 23:18:44.992127+00,2025-09-15 17:42:50.115419+00,"{""peak"":[5,6,7],""type"":""fruit"",""available"":[4,5,6,7,8]}",fruits,fruits_rouges
309,cassis,1,fruits_rouges,"[""cassis"",""blackcurrant""]",g,1.00,,0.8600,63.0,1.40,15.00,0.40,4.30,7.40,2.00,1,5,365,"[""RU"",""PL"",""DE"",""NZ""]",true,false,false,true,true,false,false,,2025-09-14 23:18:44.992127+00,2025-09-15 17:42:50.115419+00,"{""peak"":[5,6,7],""type"":""fruit"",""available"":[4,5,6,7,8]}",fruits,fruits_rouges
310,groseille,1,fruits_rouges,"[""groseille"",""redcurrant""]",g,1.00,,0.8400,56.0,1.40,14.00,0.20,4.30,7.40,1.00,1,5,365,"[""DE"",""PL"",""RU"",""NL""]",true,false,false,true,true,false,false,,2025-09-14 23:18:44.992127+00,2025-09-15 17:42:50.115419+00,"{""peak"":[6,7],""type"":""fruit"",""available"":[5,6,7,8]}",fruits,fruits_rouges
311,melon,1,fruits_ete,"[""melon"",""cantaloupe""]",g,1.00,,0.9000,34.0,0.80,8.00,0.20,0.90,7.90,16.00,3,7,365,"[""CN"",""TR"",""IR"",""ES""]",false,false,false,true,true,false,false,,2025-09-14 23:18:44.992127+00,2025-09-15 17:42:50.115419+00,"{""peak"":[7,8],""type"":""fruit"",""available"":[6,7,8,9]}",fruits,fruits_ete
312,pastèque,1,fruits_ete,"[""pastèque"",""watermelon""]",g,1.00,,0.9200,30.0,0.60,8.00,0.20,0.40,6.20,1.00,3,7,365,"[""CN"",""TR"",""IR"",""BR""]",false,false,false,true,false,false,false,,2025-09-14 23:18:44.992127+00,2025-09-15 17:42:50.115419+00,"{""peak"":[7,8],""type"":""fruit"",""available"":[6,7,8,9]}",fruits,fruits_ete
316,châtaigne,1,fruits_automne,"[""châtaigne"",""chestnut""]",g,1.00,,1.0500,213.0,2.40,45.00,2.30,8.10,15.00,27.00,7,14,365,"[""CN"",""TR"",""IT"",""KR""]",true,false,true,true,false,false,false,,2025-09-14 23:18:44.992127+00,2025-09-15 17:42:50.115419+00,"{""peak"":[10,11],""type"":""fruit"",""available"":[9,10,11,12]}",fruits,fruits_automne
317,papaye,1,fruits_exotiques,"[""papaye"",""papaya""]",g,1.00,,0.8900,43.0,0.50,11.00,0.30,1.70,7.80,8.00,3,7,365,"[""IN"",""BR"",""MX"",""ID""]",true,false,true,true,true,false,false,,2025-09-14 23:18:44.992127+00,2025-09-15 17:42:50.115419+00,"{""peak"":[],""type"":""fruit"",""available"":[1,2,3,4,5,6,7,8,9,10,11,12]}",fruits,fruits_exotiques
318,fruit de la passion,1,fruits_exotiques,"[""fruit passion"",""passion fruit""]",u,18.00,,0.9700,97.0,2.20,23.00,0.70,10.40,11.20,28.00,3,7,365,"[""BR"",""PE"",""NZ"",""KE""]",true,false,false,true,true,false,false,,2025-09-14 23:18:44.992127+00,2025-09-15 17:42:50.115419+00,"{""peak"":[],""type"":""fruit"",""available"":[1,2,3,4,5,6,7,8,9,10,11,12]}",fruits,fruits_exotiques
319,litchi,1,fruits_exotiques,"[""litchi"",""lychee""]",u,20.00,,0.9500,66.0,0.80,17.00,0.40,1.30,15.20,1.00,2,5,365,"[""CN"",""IN"",""MG"",""MU""]",false,false,false,true,false,false,false,,2025-09-14 23:18:44.992127+00,2025-09-15 17:42:50.115419+00,"{""peak"":[],""type"":""fruit"",""available"":[1,2,3,4,5,6,7,8,9,10,11,12]}",fruits,fruits_exotiques
320,ramboutan,1,autres_fruits,"[""ramboutan""]",u,25.00,,0.9300,82.0,0.70,21.00,0.20,0.90,16.50,11.00,1,3,365,"[""TH"",""MY"",""ID"",""PH""]",false,false,false,true,false,false,false,,2025-09-14 23:18:44.992127+00,2025-09-15 17:42:50.115419+00,"{""peak"":[6,7,8],""type"":""fruit"",""available"":[5,6,7,8,9]}",fruits,autres_fruits
321,dragon fruit,1,autres_fruits,"[""dragon fruit"",""pitaya""]",u,400.00,,0.9000,60.0,1.20,13.00,0.40,3.00,7.70,39.00,2,5,365,"[""VN"",""TH"",""MX"",""IL""]",false,false,false,true,false,false,false,,2025-09-14 23:18:44.992127+00,2025-09-15 17:42:50.115419+00,"{""peak"":[6,7,8],""type"":""fruit"",""available"":[5,6,7,8,9]}",fruits,autres_fruits
322,carambole,1,fruits_exotiques,"[""carambole"",""star fruit""]",u,90.00,,0.9100,31.0,1.00,7.00,0.30,2.80,3.90,2.00,3,7,365,"[""MY"",""TH"",""IN"",""BR""]",false,false,false,true,false,false,false,,2025-09-14 23:18:44.992127+00,2025-09-15 17:42:50.115419+00,"{""peak"":[],""type"":""fruit"",""available"":[1,2,3,4,5,6,7,8,9,10,11,12]}",fruits,fruits_exotiques
323,goyave,1,fruits_exotiques,"[""goyave"",""guava""]",u,55.00,,0.9400,68.0,2.60,14.00,1.00,5.40,8.90,2.00,2,5,365,"[""IN"",""CN"",""TH"",""BR""]",true,false,false,true,true,false,false,,2025-09-14 23:18:44.992127+00,2025-09-15 17:42:50.115419+00,"{""peak"":[],""type"":""fruit"",""available"":[1,2,3,4,5,6,7,8,9,10,11,12]}",fruits,fruits_exotiques
324,datte,1,autres_fruits,"[""datte"",""date""]",u,8.00,,0.8000,277.0,1.80,75.00,0.20,6.70,66.50,1.00,14,30,365,"[""EG"",""IR"",""DZ"",""IQ""]",false,false,false,true,false,false,false,,2025-09-14 23:18:44.992127+00,2025-09-15 17:42:50.115419+00,"{""peak"":[6,7,8],""type"":""fruit"",""available"":[5,6,7,8,9]}",fruits,autres_fruits
325,figue sèche,1,fruits_exotiques,"[""figue sèche"",""dried fig""]",u,8.00,,0.7500,249.0,3.30,64.00,0.90,9.80,47.90,10.00,90,180,365,"[""TR"",""GR"",""ES"",""CA""]",false,false,false,true,false,false,false,,2025-09-14 23:18:44.992127+00,2025-09-15 17:42:50.115419+00,"{""peak"":[],""type"":""fruit"",""available"":[1,2,3,4,5,6,7,8,9,10,11,12]}",fruits,fruits_exotiques
326,raisin sec,1,fruits_vigne,"[""raisin sec"",""raisin""]",g,1.00,,0.7000,299.0,3.10,79.00,0.50,3.70,59.20,11.00,180,365,365,"[""TR"",""US"",""CL"",""ZA""]",false,false,false,true,false,false,false,,2025-09-14 23:18:44.992127+00,2025-09-15 17:42:50.115419+00,"{""peak"":[9,10],""type"":""fruit"",""available"":[8,9,10,11]}",fruits,fruits_vigne
327,airelle,1,autres_fruits,"[""airelle"",""cranberry""]",g,1.00,,0.8700,46.0,0.40,12.00,0.10,4.60,4.00,2.00,1,3,365,"[""FI"",""SE"",""NO"",""RU""]",true,false,false,true,true,false,false,,2025-09-14 23:18:44.992127+00,2025-09-15 17:42:50.115419+00,"{""peak"":[6,7,8],""type"":""fruit"",""available"":[5,6,7,8,9]}",fruits,autres_fruits
328,sureau,1,autres_fruits,"[""sureau"",""elderberry""]",g,1.00,,0.8100,73.0,0.70,19.00,0.50,7.00,7.00,6.00,1,3,365,"[""DE"",""PL"",""AT"",""CZ""]",true,false,false,true,true,false,false,,2025-09-14 23:18:44.992127+00,2025-09-15 17:42:50.115419+00,"{""peak"":[6,7,8],""type"":""fruit"",""available"":[5,6,7,8,9]}",fruits,autres_fruits
329,argousier,1,autres_fruits,"[""argousier"",""sea buckthorn""]",g,1.00,,0.9300,82.0,1.20,15.00,7.10,6.00,3.20,4.00,2,5,365,"[""CN"",""RU"",""MN"",""DE""]",true,false,false,true,false,false,false,,2025-09-14 23:18:44.992127+00,2025-09-15 17:42:50.115419+00,"{""peak"":[6,7,8],""type"":""fruit"",""available"":[5,6,7,8,9]}",fruits,autres_fruits
330,mûre,1,fruits_rouges,"[""mûre"",""blackberry""]",g,1.00,,0.8800,43.0,1.40,10.00,0.50,5.30,4.90,1.00,1,2,365,"[""US"",""MX"",""TR"",""RS""]",true,false,false,true,true,false,false,,2025-09-14 23:18:44.992127+00,2025-09-15 17:42:50.115419+00,"{""peak"":[6,7],""type"":""fruit"",""available"":[5,6,7,8]}",fruits,fruits_rouges
331,nèfle,1,autres_fruits,"[""nèfle"",""medlar""]",u,15.00,,0.8900,97.0,0.40,26.00,0.20,2.40,17.00,1.00,7,30,365,"[""TR"",""JP"",""CN"",""LB""]",true,false,false,true,true,false,false,,2025-09-14 23:18:44.992127+00,2025-09-15 17:42:50.115419+00,"{""peak"":[6,7,8],""type"":""fruit"",""available"":[5,6,7,8,9]}",fruits,autres_fruits
332,cynorrhodon,1,autres_fruits,"[""cynorrhodon"",""rosehip""]",g,1.00,,0.9100,162.0,1.60,39.00,0.30,24.10,2.60,4.00,14,30,365,"[""RO"",""BG"",""TR"",""CL""]",true,false,true,true,true,false,false,,2025-09-14 23:18:44.992127+00,2025-09-15 17:42:50.115419+00,"{""peak"":[6,7,8],""type"":""fruit"",""available"":[5,6,7,8,9]}",fruits,autres_fruits
333,prunelle,1,fruits_noyau,"[""prunelle"",""sloe""]",g,1.00,,0.8500,54.0,1.50,14.00,0.20,3.20,9.60,3.00,3,7,365,"[""GB"",""FR"",""DE"",""PL""]",true,false,false,true,true,false,false,,2025-09-14 23:18:44.992127+00,2025-09-15 17:42:50.115419+00,"{""peak"":[7,8],""type"":""fruit"",""available"":[6,7,8,9]}",fruits,fruits_noyau
334,corme,1,autres_fruits,"[""corme"",""sorb apple""]",u,12.00,,0.8800,64.0,0.80,17.00,0.10,2.80,12.00,2.00,7,21,365,"[""FR"",""IT"",""TR"",""HR""]",true,false,false,true,true,false,false,,2025-09-14 23:18:44.992127+00,2025-09-15 17:42:50.115419+00,"{""peak"":[6,7,8],""type"":""fruit"",""available"":[5,6,7,8,9]}",fruits,autres_fruits
335,bergamote,1,autres_fruits,"[""bergamote"",""bergamot""]",u,100.00,,0.8900,36.0,0.90,9.00,0.30,2.50,1.90,2.00,7,21,365,"[""IT"",""TR"",""AR""]",true,false,false,true,false,false,false,,2025-09-14 23:18:44.992127+00,2025-09-15 17:42:50.115419+00,"{""peak"":[6,7,8],""type"":""fruit"",""available"":[5,6,7,8,9]}",fruits,autres_fruits
336,cédrat,1,autres_fruits,"[""cédrat"",""citron""]",u,200.00,,0.8700,43.0,1.00,11.00,0.10,1.90,2.30,2.00,14,30,365,"[""IN"",""IT"",""GR"",""MA""]",true,false,false,true,false,false,false,,2025-09-14 23:18:44.992127+00,2025-09-15 17:42:50.115419+00,"{""peak"":[6,7,8],""type"":""fruit"",""available"":[5,6,7,8,9]}",fruits,autres_fruits
337,yuzu,1,autres_fruits,"[""yuzu""]",u,40.00,,0.9000,53.0,0.80,13.00,0.30,1.80,2.40,1.00,7,21,365,"[""JP"",""KR"",""CN""]",true,false,false,true,false,false,false,,2025-09-14 23:18:44.992127+00,2025-09-15 17:42:50.115419+00,"{""peak"":[6,7,8],""type"":""fruit"",""available"":[5,6,7,8,9]}",fruits,autres_fruits
338,combava,1,autres_fruits,"[""combava"",""kaffir lime""]",u,50.00,,0.8800,25.0,0.80,6.00,0.10,2.80,1.00,3.00,7,14,365,"[""MU"",""RE"",""TH"",""ID""]",true,false,false,true,false,false,false,,2025-09-14 23:18:44.992127+00,2025-09-15 17:42:50.115419+00,"{""peak"":[6,7,8],""type"":""fruit"",""available"":[5,6,7,8,9]}",fruits,autres_fruits
339,jujube,1,autres_fruits,"[""jujube"",""chinese date""]",u,5.00,,0.9300,79.0,1.20,20.00,0.20,0.60,20.20,3.00,7,14,365,"[""CN"",""KR"",""IN"",""AF""]",true,false,true,true,false,false,false,,2025-09-14 23:18:44.992127+00,2025-09-15 17:42:50.115419+00,"{""peak"":[6,7,8],""type"":""fruit"",""available"":[5,6,7,8,9]}",fruits,autres_fruits
340,arbouse,1,autres_fruits,"[""arbouse"",""strawberry tree""]",g,1.00,,0.8900,28.0,0.40,7.00,0.30,3.40,3.20,1.00,1,3,365,"[""ES"",""PT"",""IT"",""GR""]",true,false,false,true,true,false,false,,2025-09-14 23:18:44.992127+00,2025-09-15 17:42:50.115419+00,"{""peak"":[6,7,8],""type"":""fruit"",""available"":[5,6,7,8,9]}",fruits,autres_fruits
341,azérole,1,autres_fruits,"[""azérole"",""mediterranean medlar""]",u,8.00,,0.8700,84.0,1.00,22.00,0.60,3.20,18.00,1.00,3,7,365,"[""TR"",""SY"",""LB"",""DZ""]",true,false,false,true,true,false,false,,2025-09-14 23:18:44.992127+00,2025-09-15 17:42:50.115419+00,"{""peak"":[6,7,8],""type"":""fruit"",""available"":[5,6,7,8,9]}",fruits,autres_fruits
342,carotte,2,legumes_racines,"[""carotte"",""carrot""]",u,60.00,,0.8800,41.0,0.90,10.00,0.20,2.80,4.70,69.00,14,30,365,"[""CN"",""UZ"",""RU"",""US""]",true,true,true,true,false,false,false,,2025-09-14 23:33:08.758642+00,2025-09-15 17:42:50.115419+00,"{""peak"":[10,11,12],""type"":""legume"",""available"":[9,10,11,12,1,2,3]}",legumes,legumes_racines
343,pomme de terre,2,legumes_racines,"[""pomme de terre"",""potato""]",u,150.00,,0.8000,77.0,2.00,17.00,0.10,2.20,0.80,6.00,14,90,365,"[""CN"",""IN"",""US"",""RU""]",false,false,false,true,false,false,false,,2025-09-14 23:33:08.758642+00,2025-09-15 17:42:50.115419+00,"{""peak"":[],""type"":""permanent"",""available"":[1,2,3,4,5,6,7,8,9,10,11,12]}",legumes,legumes_racines
344,patate douce,2,tubercules,"[""patate douce"",""sweet potato""]",u,130.00,,0.8600,86.0,1.60,20.00,0.10,3.00,4.20,54.00,7,30,365,"[""CN"",""UG"",""NG"",""TZ""]",true,false,true,true,false,false,false,,2025-09-14 23:33:08.758642+00,2025-09-15 17:42:50.115419+00,"{""peak"":[8,9,10],""type"":""legume"",""available"":[1,2,3,4,8,9,10,11,12]}",legumes,tubercules
345,navet,2,legumes_racines,"[""navet"",""turnip""]",u,80.00,,0.9000,28.0,0.90,6.00,0.10,1.80,4.60,67.00,14,30,365,"[""CN"",""RU"",""TR"",""UA""]",true,true,false,true,false,false,false,,2025-09-14 23:33:08.758642+00,2025-09-15 17:42:50.115419+00,"{""peak"":[10,11,12],""type"":""legume"",""available"":[9,10,11,12,1,2,3]}",legumes,legumes_racines
346,rutabaga,2,legumes_racines,"[""rutabaga"",""swede""]",u,400.00,,0.8900,36.0,1.10,8.00,0.20,2.30,5.00,20.00,30,90,365,"[""RU"",""CA"",""SE"",""FI""]",true,true,false,true,false,false,false,,2025-09-14 23:33:08.758642+00,2025-09-15 17:42:50.115419+00,"{""peak"":[10,11,12],""type"":""legume"",""available"":[9,10,11,12,1,2,3]}",legumes,legumes_racines
347,betterave,2,legumes_racines,"[""betterave"",""beetroot""]",u,80.00,,0.9000,43.0,1.60,10.00,0.20,2.80,6.80,78.00,14,30,365,"[""RU"",""US"",""FR"",""TR""]",true,true,false,true,false,false,false,,2025-09-14 23:33:08.758642+00,2025-09-15 17:42:50.115419+00,"{""peak"":[10,11,12],""type"":""legume"",""available"":[9,10,11,12,1,2,3]}",legumes,legumes_racines
348,panais,2,legumes_racines,"[""panais"",""parsnip""]",u,120.00,,0.8500,75.0,1.20,18.00,0.30,4.90,4.80,10.00,14,30,365,"[""GB"",""NL"",""FR"",""DE""]",true,false,false,true,false,false,false,,2025-09-14 23:33:08.758642+00,2025-09-15 17:42:50.115419+00,"{""peak"":[10,11,12],""type"":""legume"",""available"":[9,10,11,12,1,2,3]}",legumes,legumes_racines
349,radis,2,legumes_racines,"[""radis"",""radish""]",g,1.00,,0.9500,16.0,0.70,3.00,0.10,1.60,2.00,25.00,7,14,365,"[""CN"",""JP"",""TR"",""FR""]",false,true,false,true,false,false,false,,2025-09-14 23:33:08.758642+00,2025-09-15 17:42:50.115419+00,"{""peak"":[4,5,6],""type"":""legume"",""available"":[3,4,5,6,7,8,9]}",legumes,legumes_racines
350,topinambour,2,legumes_racines,"[""topinambour"",""jerusalem artichoke""]",u,50.00,,0.8500,73.0,2.00,17.00,0.00,1.60,9.60,4.00,7,14,365,"[""CA"",""FR"",""AU""]",true,false,false,true,false,false,false,,2025-09-14 23:33:08.758642+00,2025-09-15 17:42:50.115419+00,"{""peak"":[10,11,12],""type"":""legume"",""available"":[9,10,11,12,1,2,3]}",legumes,legumes_racines
351,crosne,2,legumes_racines,"[""crosne"",""chinese artichoke""]",g,1.00,,0.9000,75.0,2.80,15.00,0.10,1.80,2.80,20.00,3,7,365,"[""JP"",""CN"",""FR""]",true,false,false,true,false,false,false,,2025-09-14 23:33:08.758642+00,2025-09-15 17:42:50.115419+00,"{""peak"":[10,11,12],""type"":""legume"",""available"":[9,10,11,12,1,2,3]}",legumes,legumes_racines
352,raifort,2,legumes_racines,"[""raifort"",""horseradish""]",g,1.00,,0.9500,48.0,1.20,11.00,0.70,3.30,7.30,314.00,14,30,365,"[""PL"",""DE"",""RU"",""HU""]",false,false,true,true,false,false,false,,2025-09-14 23:33:08.758642+00,2025-09-15 17:42:50.115419+00,"{""peak"":[10,11,12],""type"":""legume"",""available"":[9,10,11,12,1,2,3]}",legumes,legumes_racines
353,scorsonère,2,legumes_racines,"[""scorsonère"",""black salsify""]",u,30.00,,0.8800,82.0,3.30,18.00,0.20,3.30,2.90,8.00,7,14,365,"[""BE"",""FR"",""NL"",""DE""]",true,false,false,true,false,false,false,,2025-09-14 23:33:08.758642+00,2025-09-15 17:42:50.115419+00,"{""peak"":[10,11,12],""type"":""legume"",""available"":[9,10,11,12,1,2,3]}",legumes,legumes_racines
354,salsifis,2,legumes_racines,"[""salsifis"",""salsify""]",u,25.00,,0.8800,82.0,3.30,18.00,0.20,3.30,2.90,20.00,7,14,365,"[""FR"",""BE"",""IT"",""ES""]",true,false,false,true,false,false,false,,2025-09-14 23:33:08.758642+00,2025-09-15 17:42:50.115419+00,"{""peak"":[10,11,12],""type"":""legume"",""available"":[9,10,11,12,1,2,3]}",legumes,legumes_racines
