table_name,column_name,data_type,is_nullable,column_default,constraints
generic_products,sodium_mg_per_100g,numeric,YES,null,
generic_products,created_at,timestamp with time zone,YES,now(),
generic_products,updated_at,timestamp with time zone,YES,now(),
inventory_lots,id,uuid,NO,gen_random_uuid(),PRIMARY KEY
inventory_lots,product_id,uuid,YES,null,FOREIGN KEY -> products
inventory_lots,archetype_id,bigint,YES,null,FOREIGN KEY -> archetypes
inventory_lots,origin,text,NO,null,
inventory_lots,initial_qty,numeric,YES,null,
inventory_lots,qty_remaining,numeric,NO,null,
inventory_lots,unit,text,NO,null,
inventory_lots,storage_method,text,YES,null,
inventory_lots,storage_place,text,YES,null,
inventory_lots,acquired_on,date,YES,null,
inventory_lots,produced_at,date,YES,null,
inventory_lots,opened_at,date,YES,null,
inventory_lots,best_before,date,YES,null,
inventory_lots,notes,text,YES,null,
inventory_lots,owner_id,uuid,YES,null,
inventory_lots,created_at,timestamp with time zone,NO,now(),
inventory_lots,updated_at,timestamp with time zone,NO,now(),
inventory_lots,parent_lot_id,uuid,YES,null,FOREIGN KEY -> inventory_lots
inventory_lots,location_id,uuid,YES,null,FOREIGN KEY -> locations
inventory_lots,package_units_total,integer,YES,null,
inventory_lots,package_units_remaining,integer,YES,null,
inventory_lots,qty_per_unit,numeric,YES,null,
inventory_lots,qty_per_unit_unit,text,YES,null,
inventory_lots,is_opened,boolean,YES,false,
inventory_lots,expiration_after_opening,date,YES,null,
inventory_lots,acquisition_price,numeric,YES,null,
inventory_lots,currency,text,YES,'EUR'::text,
inventory_lots,batch_code,text,YES,null,
inventory_movements,id,uuid,NO,gen_random_uuid(),PRIMARY KEY
inventory_movements,lot_id,uuid,NO,null,FOREIGN KEY -> inventory_lots
inventory_movements,movement_type,text,NO,null,
inventory_movements,quantity,numeric,NO,null,
inventory_movements,unit,text,NO,null,
inventory_movements,from_location_id,uuid,YES,null,FOREIGN KEY -> locations
inventory_movements,to_location_id,uuid,YES,null,FOREIGN KEY -> locations
inventory_movements,reason,text,YES,null,
inventory_movements,metadata,jsonb,YES,null,
inventory_movements,created_by,uuid,YES,null,
inventory_movements,created_at,timestamp with time zone,NO,now(),
locations,id,uuid,NO,gen_random_uuid(),PRIMARY KEY
locations,name,text,NO,null,
locations,sort_order,integer,YES,0,
locations,icon,text,YES,null,
product_aliases,id,bigint,NO,nextval('product_aliases_id_seq'::regclass),PRIMARY KEY
product_aliases,canonical_food_id,bigint,YES,null,
product_aliases,cultivar_id,bigint,YES,null,
product_aliases,derived_product_id,bigint,YES,null,FOREIGN KEY -> derived_products
product_aliases,generic_product_id,bigint,YES,null,FOREIGN KEY -> generic_products
product_aliases,alias_name,text,NO,null,
product_aliases,alias_type,text,YES,null,
product_aliases,language,text,YES,'fr'::text,
product_aliases,popularity_score,numeric,YES,0.5,
product_meta_observations,id,bigint,NO,null,PRIMARY KEY
product_meta_observations,product_id,uuid,YES,null,
product_meta_observations,grams_per_unit_obs,numeric,YES,null,
product_meta_observations,density_g_per_ml_obs,numeric,YES,null,
product_meta_observations,source,text,YES,'cook'::text,
product_meta_observations,created_at,timestamp with time zone,YES,now(),
products,id,uuid,NO,gen_random_uuid(),PRIMARY KEY
products,archetype_id,bigint,NO,null,FOREIGN KEY -> archetypes
products,brand,text,YES,null,
products,label,text,NO,null,
products,ean,text,YES,null,
products,package_size,numeric,YES,null,
products,package_unit,text,YES,null,
products,nutrition_override,jsonb,YES,null,
products,dlc_hint_days,integer,YES,null,
products,open_shelf_life_days,integer,YES,null,
products,created_at,timestamp with time zone,NO,now(),
products,updated_at,timestamp with time zone,NO,now(),
recipe_ingredients,id,uuid,NO,gen_random_uuid(),PRIMARY KEY
recipe_ingredients,recipe_id,uuid,NO,null,FOREIGN KEY -> recipes
recipe_ingredients,product_id,uuid,NO,null,
recipe_ingredients,qty,numeric,NO,null,
recipe_ingredients,unit,text,NO,'g'::text,
recipe_ingredients,note,text,YES,null,
recipe_ingredients,position,integer,YES,0,
recipe_ingredients,is_optional,boolean,YES,false,
recipe_ingredients,preparation,text,YES,null,
recipe_ingredients,canonical_food_id,bigint,YES,null,
recipe_ingredients,generic_product_id,bigint,YES,null,FOREIGN KEY -> generic_products
recipe_ingredients,cultivar_id,bigint,YES,null,
recipe_ingredients,derived_product_id,bigint,YES,null,FOREIGN KEY -> derived_products
recipe_ingredients,product_specificity,text,YES,null,
recipe_steps,id,uuid,NO,gen_random_uuid(),PRIMARY KEY
recipe_steps,recipe_id,uuid,NO,null,FOREIGN KEY -> recipes
recipe_steps,step_no,integer,NO,null,
recipe_steps,instruction,text,NO,null,
recipe_steps,duration_min,integer,YES,null,
recipe_steps,temperature,integer,YES,null,
recipe_steps,temperature_unit,text,YES,'°C'::text,
recipe_tools,id,uuid,NO,gen_random_uuid(),PRIMARY KEY
recipe_tools,recipe_id,uuid,NO,null,FOREIGN KEY -> recipes
recipe_tools,tool,text,NO,null,
recipe_utensils,id,uuid,NO,gen_random_uuid(),PRIMARY KEY
recipe_utensils,recipe_id,uuid,NO,null,FOREIGN KEY -> recipes
recipe_utensils,utensil_name,text,NO,null,
recipe_utensils,quantity,integer,YES,1,
recipe_utensils,is_optional,boolean,YES,false,
recipe_utensils,notes,text,YES,null,
recipe_utensils,created_at,timestamp with time zone,YES,now(),
recipes,id,uuid,NO,gen_random_uuid(),PRIMARY KEY
recipes,title,text,NO,null,
recipes,steps,text,YES,null,
recipes,time_min,integer,YES,null,
recipes,difficulty,text,YES,null,
recipes,tags,ARRAY,YES,null,
recipes,category,text,YES,null,
recipes,is_veg,boolean,YES,false,
recipes,servings,integer,YES,2,
recipes,prep_min,integer,YES,0,
recipes,cook_min,integer,YES,0,
recipes,description,text,YES,null,
recipes,image_url,text,YES,null,
recipes,created_at,timestamp with time zone,YES,now(),
recipes,is_divisible,boolean,YES,true,
recipes,source_canonical_url,text,YES,null,
recipes,author,text,YES,null,
recipes,total_min,integer,YES,null,
recipes,nutrition,jsonb,YES,null,
recipes,scraped_at,timestamp with time zone,YES,now(),
reference_categories,id,bigint,NO,nextval('reference_categories_id_seq'::regclass),PRIMARY KEY
reference_categories,name,text,NO,null,
reference_categories,parent_category,text,YES,null,
reference_categories,icon,text,YES,null,
reference_categories,color_hex,text,YES,null,
reference_categories,typical_storage,text,YES,null,
reference_categories,average_shelf_life_days,integer,YES,null,
reference_categories,sort_priority,integer,YES,50,
storage_guides,id,bigint,NO,nextval('storage_guides_id_seq'::regclass),PRIMARY KEY
storage_guides,canonical_food_id,bigint,YES,null,
storage_guides,cultivar_id,bigint,YES,null,
storage_guides,derived_product_id,bigint,YES,null,FOREIGN KEY -> derived_products
storage_guides,method,text,YES,null,
storage_guides,temp_c_min,numeric,YES,null,
storage_guides,temp_c_max,numeric,YES,null,
storage_guides,humidity_pct,numeric,YES,null,
storage_guides,shelf_life_days,integer,YES,null,
storage_guides,notes,text,YES,null,
substitutions,id,uuid,NO,gen_random_uuid(),PRIMARY KEY
substitutions,product_id,uuid,YES,null,
substitutions,substitute_product_id,uuid,YES,null,
substitutions,note,text,YES,null,
unit_conversions_generic,id,uuid,NO,gen_random_uuid(),PRIMARY KEY
unit_conversions_generic,from_unit,text,NO,null,
unit_conversions_generic,to_unit,text,NO,null,
unit_conversions_generic,factor,numeric,NO,null,
unit_conversions_generic,created_at,timestamp with time zone,YES,now(),
unit_conversions_product,id,uuid,NO,gen_random_uuid(),PRIMARY KEY
unit_conversions_product,product_id,uuid,NO,null,
unit_conversions_product,from_unit,text,NO,null,
unit_conversions_product,to_unit,text,NO,null,
unit_conversions_product,factor,numeric,NO,null,
unit_conversions_product,created_at,timestamp with time zone,YES,now(),
utensils_catalog,id,integer,NO,nextval('utensils_catalog_id_seq'::regclass),PRIMARY KEY
utensils_catalog,name,text,NO,null,
utensils_catalog,category,text,YES,null,
utensils_catalog,icon,text,YES,null,
utensils_catalog,common_alternatives,ARRAY,YES,null,
utensils_catalog,created_at,timestamp with time zone,YES,now(),
