id,canonical_name,category_id,keywords,primary_unit,unit_weight_grams,density_g_per_ml,shelf_life_days_pantry,shelf_life_days_fridge,shelf_life_days_freezer,origin_country,process_params,created_at,updated_at,structured_seasons,nutrition_profile,process_capabilities,subcategory_id
1401,chou,1,"[""chou"",""cabbage"",""légume""]",u,1000.00,0.92,14,30,365,"[""CN"",""RU"",""IN""]",,2025-09-28 15:02:02.979011+00,2025-09-28 15:02:02.979011+00,"{""peak"":[10,11,12],""type"":""légume"",""available"":[1,2,3,9,10,11,12]}","{""fat_g_per_100g"":0.1,""carbs_g_per_100g"":6,""fiber_g_per_100g"":2.5,""sugar_g_per_100g"":3.2,""calories_per_100g"":25,""protein_g_per_100g"":1.3,""sodium_mg_per_100g"":18}","{""can_huile"":false,""can_sechage"":false,""can_vinaigre"":true,""can_confiture"":false,""can_congelation"":true,""can_conserve_bocal"":true,""can_lactofermentation"":true}",
1402,épinard,1,"[""épinard"",""spinach"",""légume""]",g,1.00,0.91,2,5,365,"[""CN"",""US"",""FR""]",,2025-09-28 15:02:02.979011+00,2025-09-28 15:02:02.979011+00,"{""peak"":[3,4,5],""type"":""légume"",""available"":[1,2,3,4,5,9,10,11,12]}","{""fat_g_per_100g"":0.4,""carbs_g_per_100g"":3.6,""fiber_g_per_100g"":2.2,""sugar_g_per_100g"":0.4,""calories_per_100g"":23,""protein_g_per_100g"":2.9,""sodium_mg_per_100g"":79}","{""can_huile"":false,""can_sechage"":false,""can_vinaigre"":false,""can_confiture"":false,""can_congelation"":true,""can_conserve_bocal"":true,""can_lactofermentation"":false}",
1403,salade,1,"[""salade"",""lettuce"",""laitue""]",u,300.00,0.95,3,7,0,"[""FR"",""ES"",""US""]",,2025-09-28 15:02:02.979011+00,2025-09-28 15:02:02.979011+00,"{""peak"":[5,6,7],""type"":""légume"",""available"":[3,4,5,6,7,8,9,10]}","{""fat_g_per_100g"":0.2,""carbs_g_per_100g"":2.9,""fiber_g_per_100g"":1.3,""sugar_g_per_100g"":1.2,""calories_per_100g"":15,""protein_g_per_100g"":1.4,""sodium_mg_per_100g"":28}","{""can_huile"":false,""can_sechage"":false,""can_vinaigre"":false,""can_confiture"":false,""can_congelation"":false,""can_conserve_bocal"":false,""can_lactofermentation"":false}",
1501,tomate,1,"[""tomate"",""tomato"",""légume""]",u,120.00,0.94,7,14,365,"[""ES"",""IT"",""MA""]",,2025-09-28 15:02:02.979011+00,2025-09-28 15:02:02.979011+00,"{""peak"":[7,8,9],""type"":""légume"",""available"":[5,6,7,8,9,10]}","{""fat_g_per_100g"":0.2,""carbs_g_per_100g"":3.9,""fiber_g_per_100g"":1.2,""sugar_g_per_100g"":2.6,""calories_per_100g"":18,""protein_g_per_100g"":0.9,""sodium_mg_per_100g"":5}","{""can_huile"":true,""can_sechage"":true,""can_vinaigre"":false,""can_confiture"":true,""can_congelation"":true,""can_conserve_bocal"":true,""can_lactofermentation"":false}",
1502,courgette,1,"[""courgette"",""zucchini"",""légume""]",u,200.00,0.95,5,7,365,"[""ES"",""IT"",""FR""]",,2025-09-28 15:02:02.979011+00,2025-09-28 15:02:02.979011+00,"{""peak"":[6,7,8],""type"":""légume"",""available"":[5,6,7,8,9]}","{""fat_g_per_100g"":0.3,""carbs_g_per_100g"":3.1,""fiber_g_per_100g"":1,""sugar_g_per_100g"":2.5,""calories_per_100g"":17,""protein_g_per_100g"":1.2,""sodium_mg_per_100g"":8}","{""can_huile"":false,""can_sechage"":false,""can_vinaigre"":true,""can_confiture"":false,""can_congelation"":true,""can_conserve_bocal"":true,""can_lactofermentation"":false}",
1503,aubergine,1,"[""aubergine"",""eggplant"",""légume""]",u,250.00,0.92,5,7,365,"[""IN"",""CN"",""TR""]",,2025-09-28 15:02:02.979011+00,2025-09-28 15:02:02.979011+00,"{""peak"":[7,8,9],""type"":""légume"",""available"":[6,7,8,9,10]}","{""fat_g_per_100g"":0.2,""carbs_g_per_100g"":6,""fiber_g_per_100g"":3,""sugar_g_per_100g"":3.5,""calories_per_100g"":25,""protein_g_per_100g"":1,""sodium_mg_per_100g"":2}","{""can_huile"":true,""can_sechage"":false,""can_vinaigre"":false,""can_confiture"":false,""can_congelation"":true,""can_conserve_bocal"":true,""can_lactofermentation"":false}",
1504,poivron,1,"[""poivron"",""bell pepper"",""légume""]",u,150.00,0.93,7,14,365,"[""ES"",""NL"",""MA""]",,2025-09-28 15:02:02.979011+00,2025-09-28 15:02:02.979011+00,"{""peak"":[7,8,9],""type"":""légume"",""available"":[6,7,8,9,10]}","{""fat_g_per_100g"":0.3,""carbs_g_per_100g"":6,""fiber_g_per_100g"":2.1,""sugar_g_per_100g"":4.2,""calories_per_100g"":31,""protein_g_per_100g"":1,""sodium_mg_per_100g"":4}","{""can_huile"":true,""can_sechage"":true,""can_vinaigre"":true,""can_confiture"":false,""can_congelation"":true,""can_conserve_bocal"":true,""can_lactofermentation"":false}",
1701,basilic,1,"[""basilic"",""basil"",""herbe""]",g,1.00,0.92,2,5,365,"[""IT"",""FR"",""TH""]",,2025-09-28 15:02:02.979011+00,2025-09-28 15:02:02.979011+00,"{""peak"":[6,7,8],""type"":""herbe"",""available"":[5,6,7,8,9]}","{""fat_g_per_100g"":0.6,""carbs_g_per_100g"":2.7,""fiber_g_per_100g"":1.6,""sugar_g_per_100g"":0.3,""calories_per_100g"":23,""protein_g_per_100g"":3.2,""sodium_mg_per_100g"":4}","{""can_huile"":true,""can_sechage"":true,""can_vinaigre"":false,""can_confiture"":false,""can_congelation"":true,""can_conserve_bocal"":false,""can_lactofermentation"":false}",
1702,persil,1,"[""persil"",""parsley"",""herbe""]",g,1.00,0.88,2,7,365,"[""FR"",""IT"",""GR""]",,2025-09-28 15:02:02.979011+00,2025-09-28 15:02:02.979011+00,"{""peak"":[4,5,6],""type"":""herbe"",""available"":[3,4,5,6,7,8,9]}","{""fat_g_per_100g"":0.8,""carbs_g_per_100g"":6.3,""fiber_g_per_100g"":3.3,""sugar_g_per_100g"":0.9,""calories_per_100g"":36,""protein_g_per_100g"":3,""sodium_mg_per_100g"":56}","{""can_huile"":false,""can_sechage"":true,""can_vinaigre"":false,""can_confiture"":false,""can_congelation"":true,""can_conserve_bocal"":false,""can_lactofermentation"":false}",
1703,coriandre,1,"[""coriandre"",""cilantro"",""herbe""]",g,1.00,0.92,2,5,365,"[""IN"",""TH"",""MX""]",,2025-09-28 15:02:02.979011+00,2025-09-28 15:02:02.979011+00,"{""peak"":[],""type"":""permanent"",""available"":[1,2,3,4,5,6,7,8,9,10,11,12]}","{""fat_g_per_100g"":0.5,""carbs_g_per_100g"":3.7,""fiber_g_per_100g"":2.8,""sugar_g_per_100g"":0.9,""calories_per_100g"":23,""protein_g_per_100g"":2.1,""sodium_mg_per_100g"":46}","{""can_huile"":false,""can_sechage"":true,""can_vinaigre"":false,""can_confiture"":false,""can_congelation"":true,""can_conserve_bocal"":false,""can_lactofermentation"":false}",
1704,menthe,1,"[""menthe"",""mint"",""herbe""]",g,1.00,0.92,2,5,365,"[""MA"",""IN"",""TR""]",,2025-09-28 15:02:02.979011+00,2025-09-28 15:02:02.979011+00,"{""peak"":[5,6,7],""type"":""herbe"",""available"":[4,5,6,7,8,9]}","{""fat_g_per_100g"":0.7,""carbs_g_per_100g"":8,""fiber_g_per_100g"":6.8,""sugar_g_per_100g"":0.3,""calories_per_100g"":44,""protein_g_per_100g"":3.8,""sodium_mg_per_100g"":31}","{""can_huile"":false,""can_sechage"":true,""can_vinaigre"":false,""can_confiture"":false,""can_congelation"":true,""can_conserve_bocal"":false,""can_lactofermentation"":false}",
1705,thym,1,"[""thym"",""thyme"",""herbe""]",g,1.00,0.87,7,14,365,"[""FR"",""ES"",""GR""]",,2025-09-28 15:02:02.979011+00,2025-09-28 15:02:02.979011+00,"{""peak"":[5,6,7],""type"":""herbe"",""available"":[4,5,6,7,8,9]}","{""fat_g_per_100g"":1.7,""carbs_g_per_100g"":24,""fiber_g_per_100g"":14,""sugar_g_per_100g"":1.7,""calories_per_100g"":101,""protein_g_per_100g"":5.6,""sodium_mg_per_100g"":9}","{""can_huile"":true,""can_sechage"":true,""can_vinaigre"":false,""can_confiture"":false,""can_congelation"":true,""can_conserve_bocal"":false,""can_lactofermentation"":false}",
2001,boeuf,2,"[""boeuf"",""beef"",""viande""]",g,1.00,1.05,1,3,365,"[""US"",""BR"",""AR"",""AU""]",,2025-09-28 15:02:02.979011+00,2025-09-28 15:02:02.979011+00,"{""peak"":[],""type"":""permanent"",""available"":[1,2,3,4,5,6,7,8,9,10,11,12]}","{""fat_g_per_100g"":15,""carbs_g_per_100g"":0,""fiber_g_per_100g"":0,""sugar_g_per_100g"":0,""calories_per_100g"":250,""protein_g_per_100g"":26,""sodium_mg_per_100g"":72}","{""can_huile"":false,""can_sechage"":true,""can_vinaigre"":false,""can_confiture"":false,""can_congelation"":true,""can_conserve_bocal"":true,""can_lactofermentation"":false}",
2002,porc,2,"[""porc"",""pork"",""viande""]",g,1.00,1.05,1,3,365,"[""CN"",""DE"",""ES"",""US""]",,2025-09-28 15:02:02.979011+00,2025-09-28 15:02:02.979011+00,"{""peak"":[],""type"":""permanent"",""available"":[1,2,3,4,5,6,7,8,9,10,11,12]}","{""fat_g_per_100g"":14,""carbs_g_per_100g"":0,""fiber_g_per_100g"":0,""sugar_g_per_100g"":0,""calories_per_100g"":242,""protein_g_per_100g"":27,""sodium_mg_per_100g"":62}","{""can_huile"":false,""can_sechage"":true,""can_vinaigre"":false,""can_confiture"":false,""can_congelation"":true,""can_conserve_bocal"":true,""can_lactofermentation"":false}",
2003,agneau,2,"[""agneau"",""lamb"",""mouton"",""viande""]",g,1.00,1.05,1,3,365,"[""NZ"",""AU"",""GB"",""FR""]",,2025-09-28 15:02:02.979011+00,2025-09-28 15:02:02.979011+00,"{""peak"":[3,4,5],""type"":""saisonnier"",""available"":[1,2,3,4,5,6,7,8,9,10,11,12]}","{""fat_g_per_100g"":21,""carbs_g_per_100g"":0,""fiber_g_per_100g"":0,""sugar_g_per_100g"":0,""calories_per_100g"":294,""protein_g_per_100g"":25,""sodium_mg_per_100g"":72}","{""can_huile"":false,""can_sechage"":true,""can_vinaigre"":false,""can_confiture"":false,""can_congelation"":true,""can_conserve_bocal"":true,""can_lactofermentation"":false}",
2004,poulet,2,"[""poulet"",""chicken"",""volaille""]",u,1500.00,1.05,1,2,365,"[""US"",""CN"",""BR"",""FR""]",,2025-09-28 15:02:02.979011+00,2025-09-28 15:02:02.979011+00,"{""peak"":[],""type"":""permanent"",""available"":[1,2,3,4,5,6,7,8,9,10,11,12]}","{""fat_g_per_100g"":3.6,""carbs_g_per_100g"":0,""fiber_g_per_100g"":0,""sugar_g_per_100g"":0,""calories_per_100g"":165,""protein_g_per_100g"":31,""sodium_mg_per_100g"":74}","{""can_huile"":false,""can_sechage"":false,""can_vinaigre"":false,""can_confiture"":false,""can_congelation"":true,""can_conserve_bocal"":true,""can_lactofermentation"":false}",
2005,canard,2,"[""canard"",""duck"",""volaille""]",u,2000.00,1.05,1,3,365,"[""CN"",""FR"",""TH""]",,2025-09-28 15:02:02.979011+00,2025-09-28 15:02:02.979011+00,"{""peak"":[11,12],""type"":""saisonnier"",""available"":[1,2,3,4,5,6,7,8,9,10,11,12]}","{""fat_g_per_100g"":28,""carbs_g_per_100g"":0,""fiber_g_per_100g"":0,""sugar_g_per_100g"":0,""calories_per_100g"":337,""protein_g_per_100g"":19,""sodium_mg_per_100g"":65}","{""can_huile"":false,""can_sechage"":true,""can_vinaigre"":false,""can_confiture"":false,""can_congelation"":true,""can_conserve_bocal"":true,""can_lactofermentation"":false}",
2101,saumon,2,"[""saumon"",""salmon"",""poisson""]",g,1.00,1.03,1,2,365,"[""NO"",""CL"",""CA"",""SC""]",,2025-09-28 15:02:02.979011+00,2025-09-28 15:02:02.979011+00,"{""peak"":[],""type"":""permanent"",""available"":[1,2,3,4,5,6,7,8,9,10,11,12]}","{""fat_g_per_100g"":13,""carbs_g_per_100g"":0,""fiber_g_per_100g"":0,""sugar_g_per_100g"":0,""calories_per_100g"":208,""protein_g_per_100g"":20,""sodium_mg_per_100g"":59}","{""can_huile"":true,""can_sechage"":true,""can_vinaigre"":false,""can_confiture"":false,""can_congelation"":true,""can_conserve_bocal"":true,""can_lactofermentation"":false}",
2102,thon,2,"[""thon"",""tuna"",""poisson""]",g,1.00,1.03,1,2,365,"[""JP"",""TH"",""PH"",""ES""]",,2025-09-28 15:02:02.979011+00,2025-09-28 15:02:02.979011+00,"{""peak"":[],""type"":""permanent"",""available"":[1,2,3,4,5,6,7,8,9,10,11,12]}","{""fat_g_per_100g"":5,""carbs_g_per_100g"":0,""fiber_g_per_100g"":0,""sugar_g_per_100g"":0,""calories_per_100g"":144,""protein_g_per_100g"":23,""sodium_mg_per_100g"":47}","{""can_huile"":true,""can_sechage"":false,""can_vinaigre"":false,""can_confiture"":false,""can_congelation"":true,""can_conserve_bocal"":true,""can_lactofermentation"":false}",
2103,cabillaud,2,"[""cabillaud"",""cod"",""morue"",""poisson""]",g,1.00,1.03,1,2,365,"[""IS"",""NO"",""RU""]",,2025-09-28 15:02:02.979011+00,2025-09-28 15:02:02.979011+00,"{""peak"":[1,2,3],""type"":""saisonnier"",""available"":[1,2,3,4,5,6,7,8,9,10,11,12]}","{""fat_g_per_100g"":0.7,""carbs_g_per_100g"":0,""fiber_g_per_100g"":0,""sugar_g_per_100g"":0,""calories_per_100g"":82,""protein_g_per_100g"":18,""sodium_mg_per_100g"":54}","{""can_huile"":false,""can_sechage"":true,""can_vinaigre"":false,""can_confiture"":false,""can_congelation"":true,""can_conserve_bocal"":true,""can_lactofermentation"":false}",
2201,crevette,2,"[""crevette"",""shrimp"",""crustacé""]",g,1.00,1.05,1,2,365,"[""TH"",""EC"",""IN"",""VN""]",,2025-09-28 15:02:02.979011+00,2025-09-28 15:02:02.979011+00,"{""peak"":[],""type"":""permanent"",""available"":[1,2,3,4,5,6,7,8,9,10,11,12]}","{""fat_g_per_100g"":0.3,""carbs_g_per_100g"":0.2,""fiber_g_per_100g"":0,""sugar_g_per_100g"":0,""calories_per_100g"":99,""protein_g_per_100g"":24,""sodium_mg_per_100g"":111}","{""can_huile"":false,""can_sechage"":false,""can_vinaigre"":false,""can_confiture"":false,""can_congelation"":true,""can_conserve_bocal"":true,""can_lactofermentation"":false}",
2202,crabe,2,"[""crabe"",""crab"",""crustacé""]",g,1.00,1.05,1,2,365,"[""CA"",""RU"",""NO"",""US""]",,2025-09-28 15:02:02.979011+00,2025-09-28 15:02:02.979011+00,"{""peak"":[5,6,7],""type"":""saisonnier"",""available"":[1,2,3,4,5,6,7,8,9,10,11,12]}","{""fat_g_per_100g"":1.1,""carbs_g_per_100g"":1,""fiber_g_per_100g"":0,""sugar_g_per_100g"":0,""calories_per_100g"":87,""protein_g_per_100g"":18,""sodium_mg_per_100g"":293}","{""can_huile"":false,""can_sechage"":false,""can_vinaigre"":false,""can_confiture"":false,""can_congelation"":true,""can_conserve_bocal"":true,""can_lactofermentation"":false}",
2301,oeuf,2,"[""oeuf"",""egg"",""œuf""]",u,60.00,1.03,30,35,365,"[""CN"",""US"",""IN"",""FR""]",,2025-09-28 15:02:02.979011+00,2025-09-28 15:02:02.979011+00,"{""peak"":[],""type"":""permanent"",""available"":[1,2,3,4,5,6,7,8,9,10,11,12]}","{""fat_g_per_100g"":11,""carbs_g_per_100g"":1.1,""fiber_g_per_100g"":0,""sugar_g_per_100g"":1.1,""calories_per_100g"":155,""protein_g_per_100g"":13,""sodium_mg_per_100g"":124}","{""can_huile"":false,""can_sechage"":false,""can_vinaigre"":true,""can_confiture"":false,""can_congelation"":true,""can_conserve_bocal"":true,""can_lactofermentation"":false}",
3001,lait,3,"[""lait"",""milk""]",ml,1000.00,1.03,1,7,365,"[""IN"",""US"",""DE"",""FR""]",,2025-09-28 15:02:02.979011+00,2025-09-28 15:02:02.979011+00,"{""peak"":[],""type"":""permanent"",""available"":[1,2,3,4,5,6,7,8,9,10,11,12]}","{""fat_g_per_100g"":1,""carbs_g_per_100g"":5,""fiber_g_per_100g"":0,""sugar_g_per_100g"":5,""calories_per_100g"":42,""protein_g_per_100g"":3.4,""sodium_mg_per_100g"":44}","{""can_huile"":false,""can_sechage"":false,""can_vinaigre"":false,""can_confiture"":false,""can_congelation"":true,""can_conserve_bocal"":false,""can_lactofermentation"":true}",
4001,blé,4,"[""blé"",""wheat"",""céréale""]",g,1.00,0.75,730,730,730,"[""CN"",""IN"",""RU"",""US""]",,2025-09-28 15:02:02.979011+00,2025-09-28 15:02:02.979011+00,"{""peak"":[],""type"":""permanent"",""available"":[1,2,3,4,5,6,7,8,9,10,11,12]}","{""fat_g_per_100g"":1.2,""carbs_g_per_100g"":80.6,""fiber_g_per_100g"":53.2,""sugar_g_per_100g"":2.2,""calories_per_100g"":247,""protein_g_per_100g"":3.9,""sodium_mg_per_100g"":10}","{""can_huile"":false,""can_sechage"":false,""can_vinaigre"":false,""can_confiture"":false,""can_congelation"":false,""can_conserve_bocal"":false,""can_lactofermentation"":false}",
4002,riz,4,"[""riz"",""rice"",""céréale""]",g,1.00,0.85,730,730,730,"[""CN"",""IN"",""TH"",""VN""]",,2025-09-28 15:02:02.979011+00,2025-09-28 15:02:02.979011+00,"{""peak"":[],""type"":""permanent"",""available"":[1,2,3,4,5,6,7,8,9,10,11,12]}","{""fat_g_per_100g"":0.3,""carbs_g_per_100g"":28,""fiber_g_per_100g"":0.4,""sugar_g_per_100g"":0.1,""calories_per_100g"":130,""protein_g_per_100g"":2.7,""sodium_mg_per_100g"":1}","{""can_huile"":false,""can_sechage"":false,""can_vinaigre"":false,""can_confiture"":false,""can_congelation"":false,""can_conserve_bocal"":false,""can_lactofermentation"":false}",
4003,avoine,4,"[""avoine"",""oat"",""céréale""]",g,1.00,0.80,730,730,730,"[""RU"",""CA"",""FI"",""AU""]",,2025-09-28 15:02:02.979011+00,2025-09-28 15:02:02.979011+00,"{""peak"":[],""type"":""permanent"",""available"":[1,2,3,4,5,6,7,8,9,10,11,12]}","{""fat_g_per_100g"":6.9,""carbs_g_per_100g"":66,""fiber_g_per_100g"":10.6,""sugar_g_per_100g"":1.1,""calories_per_100g"":389,""protein_g_per_100g"":16.9,""sodium_mg_per_100g"":2}","{""can_huile"":false,""can_sechage"":false,""can_vinaigre"":false,""can_confiture"":false,""can_congelation"":false,""can_conserve_bocal"":false,""can_lactofermentation"":false}",
4004,maïs,4,"[""maïs"",""corn"",""céréale""]",u,200.00,0.75,5,7,365,"[""US"",""CN"",""BR"",""AR""]",,2025-09-28 15:02:02.979011+00,2025-09-28 15:02:02.979011+00,"{""peak"":[7,8,9],""type"":""saisonnier"",""available"":[6,7,8,9,10]}","{""fat_g_per_100g"":1.2,""carbs_g_per_100g"":19,""fiber_g_per_100g"":2.7,""sugar_g_per_100g"":3.2,""calories_per_100g"":86,""protein_g_per_100g"":3.3,""sodium_mg_per_100g"":15}","{""can_huile"":false,""can_sechage"":true,""can_vinaigre"":false,""can_confiture"":false,""can_congelation"":true,""can_conserve_bocal"":true,""can_lactofermentation"":false}",
