source_id,calories_kcal,proteines_g,glucides_g,lipides_g,fibres_g,sucres_g,ag_satures_g,ag_monoinsatures_g,ag_polyinsatures_g,cholesterol_mg,calcium_mg,fer_mg,magnesium_mg,phosphore_mg,potassium_mg,sodium_mg,zinc_mg,cuivre_mg,selenium_ug,iode_ug,vitamine_a_ug,beta_carotene_ug,vitamine_d_ug,vitamine_e_mg,vitamine_k_ug,vitamine_c_mg,vitamine_b1_mg,vitamine_b2_mg,vitamine_b3_mg,vitamine_b5_mg,vitamine_b6_mg,vitamine_b9_ug,vitamine_b12_ug
20312,30.1,2.56,3.41,0.3,0.71,2.4,0.9,0.2,0.2,0.5,0.02,0.09,0.02,0.05,0.01,0.01,0.01,,26.0,0.03,0.09,0.07,0.11,0.01,0.01,0.01,0.01,0.01,0.01,0.07,20.0,0.38,20.0
20313,23.0,1.5,3.13,0.3,0.9,2.7,1.2,0.2,0.2,0.5,0.01,0.01,0.01,0.01,0.01,0.01,0.01,,24.0,0.07,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,41.8,0.4,20.0
20314,16.7,0.75,2.48,0.3,0.96,1.7,0.8,0.2,0.2,0.6,0.01,0.01,0.01,0.01,0.01,0.01,0.01,,31.0,0.04,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,170.0,0.12,20.0
20315,26.2,0.94,4.32,0.3,0.78,1.2,0.2,0.2,0.2,1.8,0.02,0.01,0.1,0.05,0.01,0.01,0.01,,41.0,0.11,0.09,0.05,0.11,0.01,0.01,0.01,0.01,0.01,0.01,0.07,40.1,0.27,20.0
20316,23.5,1.13,4.38,0.3,0.39,3.2,2.2,0.2,0.2,0.5,0.01,0.01,0.01,0.01,0.01,0.01,0.01,,27.0,0.07,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,44.7,0.23,20.0
20317,13.7,0.5,1.94,0.3,0.63,1.3,0.8,0.2,0.2,0.5,0.01,0.01,0.01,0.01,0.01,0.01,0.01,,37.0,0.04,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,42.8,0.12,20.0
20318,34.6,2.19,4.45,0.3,0.66,2.2,0.7,0.2,0.2,0.5,0.02,0.07,0.07,0.04,0.01,0.01,0.01,,56.0,0.13,0.09,0.04,0.14,0.01,0.01,0.01,0.01,0.01,0.01,0.07,20.1,0.99,20.0
20320,28.0,1.75,3.39,0.3,0.68,2.5,0.9,0.2,0.2,0.5,0.01,0.01,0.01,0.01,0.01,0.01,0.01,,51.0,0.07,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,30.0,0.54,20.0
20321,21.1,0.75,3.23,0.3,0.28,2.8,1.6,0.2,0.2,0.5,0.01,0.01,0.01,0.01,0.01,0.01,0.01,,32.0,0.06,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,20.0,0.08,20.0
20322,40.2,1.56,6.73,0.3,0.5,5.0,2.0,0.2,0.2,0.5,0.01,0.01,0.01,0.01,0.01,0.01,0.01,,32.0,0.08,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,24.5,0.24,20.0
20323,27.6,1.13,3.56,0.3,0.59,2.8,0.9,0.2,0.2,0.5,0.02,0.02,0.08,0.07,0.01,0.01,0.01,,55.0,0.03,0.09,0.07,0.1,0.01,0.01,0.01,0.01,0.01,0.01,0.07,28.6,0.85,20.0
20324,42.4,1.69,7.55,0.3,0.51,6.7,2.5,0.2,0.2,0.5,0.01,0.01,0.01,0.01,0.01,0.01,0.01,,26.0,0.07,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,22.1,0.26,20.0
20325,90.8,1.94,16.6,0.5,1.31,6.2,0.2,0.2,0.2,0.5,0.03,0.01,0.22,0.09,0.01,0.01,0.01,,44.0,0.14,0.13,0.09,0.23,0.01,0.01,0.01,0.01,0.01,0.01,0.1,95.5,0.37,20.0
20326,80.3,6.38,9.93,0.6,0.73,1.6,0.2,0.2,0.2,0.5,0.03,0.04,0.23,0.12,0.01,0.01,0.01,,38.0,0.14,0.15,0.12,0.27,0.01,0.01,0.01,0.01,0.01,0.01,0.11,20.0,1.2,20.0
20327,27.4,2.56,2.23,0.3,0.38,1.8,0.7,0.2,0.2,0.5,0.01,0.01,0.01,0.01,0.01,0.01,0.01,,35.0,0.08,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,33.0,0.45,20.0
20328,35.8,1.0,5.33,0.6,0.57,4.9,2.3,0.2,0.2,0.5,0.05,0.1,0.19,0.1,0.01,0.01,0.01,,7.3,0.06,0.19,0.1,0.29,0.01,0.01,0.01,0.01,0.01,0.01,0.13,25.4,0.23,20.0
20329,35.7,0.94,6.53,0.3,0.72,6.1,2.8,0.2,0.2,0.5,0.01,0.01,0.01,0.01,0.01,0.01,0.01,,7.0,0.06,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,28.1,0.27,20.0
20330,28.6,1.25,3.53,0.3,0.56,3.1,1.6,0.2,0.2,0.5,0.03,0.04,0.07,0.06,0.01,0.01,0.01,,6.7,0.05,0.1,0.06,0.11,0.01,0.01,0.01,0.01,0.01,0.01,0.07,26.6,0.21,20.0
20331,38.2,1.06,6.88,0.3,0.87,3.5,1.3,0.2,0.2,0.5,0.02,0.03,0.04,0.14,0.01,0.01,0.01,,18.0,0.08,0.08,0.14,0.07,0.01,0.01,0.01,0.01,0.01,0.01,0.06,62.0,0.19,20.0
20332,30.2,0.5,5.66,0.3,0.71,4.8,1.2,0.2,0.2,0.5,0.01,0.01,0.01,0.01,0.01,0.01,0.01,,31.0,0.05,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,45.4,0.11,20.0
20333,57.9,2.63,9.29,0.3,0.55,2.3,0.2,0.2,0.2,0.5,0.01,0.01,0.01,0.01,0.01,0.01,0.01,,38.0,0.2,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,23.4,0.56,20.0
20334,25.3,1.0,3.53,0.4,0.77,3.1,1.4,0.2,0.2,0.5,0.03,0.02,0.15,0.08,0.01,0.01,0.01,,12.0,0.03,0.11,0.08,0.17,0.01,0.01,0.01,0.01,0.01,0.01,0.08,37.0,0.22,20.0
20335,66.9,2.0,12.3,0.4,0.67,3.8,0.5,0.2,0.2,0.5,0.03,0.01,0.11,0.12,0.01,0.01,0.01,,22.0,0.09,0.12,0.12,0.11,0.01,0.01,0.01,0.01,0.01,0.01,0.09,26.0,0.25,20.0
20336,28.1,3.38,0.85,0.7,1.03,,0.2,0.2,0.2,0.5,0.02,0.37,0.07,0.07,0.01,0.01,0.01,,240.0,0.14,0.13,0.07,0.44,0.01,0.01,0.01,0.01,0.01,0.01,0.11,20.0,1.3,20.0
20497,20.2,1.53,2.55,0.43,1.43,1.1,0.4,0.2,0.2,,0.012,0.017,0.14,0.058,0.01,0.01,0.01,,39.0,0.1,0.048,0.058,0.15,0.01,0.01,0.01,0.01,0.01,0.01,0.036,,0.7,1.2
20499,43.5,2.11,5.81,0.3,0.75,2.48,0.7,0.16,0.16,0.35,0.011,,,,,0.0022,0.0022,0.0052,30.3,0.097,0.077,0.036,0.093,0.0022,0.0022,0.0022,0.0022,0.0025,0.0032,0.045,,0.46,5.51
20590,50.8,2.13,9.11,0.5,0.83,0.2,0.2,0.2,0.2,0.5,0.01,0.01,0.01,0.01,0.01,0.01,0.01,,20.0,0.21,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,20.0,0.37,20.0
58103,17.4,1.87,2.01,0.21,0.84,2.01,,,,,0.004,,,,,,,,77.0,0.085,0.045,0.028,0.046,,,,,,,0.038,,0.28,
20092,269.8,8.1,56.0,1.49,6.84,38.8,,,,,0.009,,,,,,,,212.0,0.37,0.26,0.076,0.73,,,,,0.019,0.009,0.22,,3.93,
20180,339.9,8.95,75.0,0.46,2.45,37.4,,,,,0.006,,,,,,,,257.0,0.42,0.078,0.064,0.18,,,,,,0.002,0.069,,1.55,
20189,256.9,14.2,43.3,2.99,12.6,37.6,,,,,0.1,0.012,1.2,0.53,,,,,110.0,1.42,0.46,0.53,1.21,,,,,,0.0045,0.35,,9.09,
20202,,7.27,,0.075,1.65,,0.3,,0.3,6.24,,,,,,,,,,,,,,,,,,,,,,,
20211,316.0,9.58,63.9,0.99,4.56,2.21,,,,6.24,0.051,,,,,,,,11.0,5.17,0.23,0.32,0.15,,,,0.021,0.012,0.02,0.12,,1.72,
20256,187.0,4.27,13.4,11.7,4.58,6.5,2.88,,0.3,0.011,0.29,0.01,3.53,,0.0078,0.0078,0.0078,,47.0,0.47,1.32,5.88,3.54,0.0078,0.0078,0.0078,0.0078,0.0078,0.0064,1.03,,2.68,
20800,,1.06,,0.057,1.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20801,,,12.3,,,0.44,0.054,,,,,,,,,,,,,,,,,,,,,,,,,,
20802,,,13.9,,,0.2,0.036,,,,,,,,,,,,,,,,,,,,,,,,,,
20803,,3.25,,0.0033,2.49,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20804,28.9,1.21,5.93,0.033,0.5,,,,,,,,,,,,,,,0.063,,,,,,,,,,,,,
20805,23.5,1.23,4.6,0.023,0.48,,,,,,,,,,,,,,,0.0019,,,,,,,,,,,,,
20808,,0.73,,0.58,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20809,,0.42,,0.27,0.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20810,,2.25,,0.1,1.05,,,,,,,,,,,,,,0.059,,,,,,,,,,,,,1.31,
20811,,1.15,,0.3,0.78,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20812,,,50.1,,,0.018,0.0057,,,,,,,,,,,,,,,,,,,,,,,,,,
20813,,1.29,,0.11,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20814,23.3,1.1,4.51,0.097,0.46,1.91,0.59,,,,,,,,,,,,,,,,,,,,,,,,,,
20815,,,3.75,,,1.35,0.45,,,,,,,,,,,,,,,,,,,,,,,,,,
20816,,,2.42,,,0.82,0.28,,,,,,,,,,,,,,,,,,,,,,,,,,
20817,27.1,1.03,5.62,0.05,0.7,1.56,0.43,,,,,,,,,,,,,,,,,,,,,,,,,,
20818,,,3.51,,,1.44,0.35,,,,,,,,,,,,,,,,,,,,,,,,,,
20819,,,4.37,,,1.47,0.48,,,,,,,,,,,,,,,,,,,,,,,,,,
20821,28.7,1.8,4.69,0.3,0.87,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20822,23.0,0.24,5.28,0.1,0.85,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20823,80.9,1.65,17.9,0.3,0.78,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20824,121.9,2.04,27.6,0.37,0.72,,,,,,,,,,,,,,,0.05,,,,,,,,,,,,,
20825,85.3,2.25,18.4,0.3,0.87,,,,,,,,,,,,,,,0.01,,,,,,,,,,,,,
20826,,1.23,,0.18,0.83,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20827,,0.6,,,1.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20828,,2.58,,0.8,0.94,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20829,,0.67,,0.0033,0.57,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20830,,0.63,,,0.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20831,,,19.3,,,0.021,0.0078,,,,,,,,,,,,,,,,,,,,,,,,,,
20832,107.3,1.48,25.2,0.067,0.74,0.19,0.0065,,,,,,,,,,,,,0.26,,,,,,,,,,,,,
20833,,16.3,,0.74,2.29,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20834,,1.13,,0.05,0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20835,,1.06,,0.06,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20296,17.7,1.69,1.7,0.3,0.99,0.4,0.4,0.2,0.2,,0.01,0.01,0.01,0.01,0.01,0.01,0.01,,88.0,0.04,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,48.3,0.93,20.0
20297,22.2,0.63,3.5,0.3,0.41,2.8,1.4,0.2,0.2,,0.01,0.01,0.01,0.01,0.01,0.01,0.01,,14.0,0.03,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,36.1,0.46,20.0
4000,354.0,0.19,87.8,0.02,0.08,3.35,,,,,,0.00027,0.0012,0.0036,,,,,20.0,0.02,0.005,0.005,0.003,,,,,,,0.005,,1.58,2.7
4002,91.9,1.96,20.1,0.1,0.97,1.7,,,,,0.004,,,,,,,,9.48,0.094,0.026,0.002,0.043,,,,0.001,0.003,0.001,0.016,,0.35,3.0
4003,80.5,1.8,16.7,0.34,0.96,0.86,0.37,,,,0.022,0.011,0.032,0.002,,,,,5.83,0.076,0.094,0.002,0.043,,,,0.001,0.0002,0.0011,0.062,61.0,0.27,5.0
4004,545.0,5.67,51.1,34.3,4.18,1.59,0.2,0.2,0.2,,0.94,0.04,2.03,23.7,0.01,0.01,0.01,0.7,27.0,0.22,3.23,24.2,2.07,0.01,0.01,0.01,0.01,0.01,0.01,1.15,742.0,1.2,20.0
4007,,1.44,,0.3,0.57,,0.3,,,,,,,,,,,,13.0,0.06,,,,,,,,,,,43.0,1.6,2.25
4008,80.5,2.16,16.2,0.18,1.02,0.78,0.22,,,,0.0057,0.054,0.041,0.0073,,,,,14.3,0.079,0.038,0.0073,0.095,,,,0.00095,0.0029,0.00095,0.028,50.0,0.91,1.2
4011,59.9,1.47,11.7,0.34,0.88,0.65,,,,,0.007,0.021,0.067,0.002,,,,,25.4,0.051,0.055,0.005,0.09,,,,0.001,0.007,0.001,0.034,,1.26,
4013,181.0,2.76,24.9,7.22,2.02,0.74,0.28,,0.3,,0.27,0.021,,,,,,,25.2,0.1,1.68,2.85,1.47,0.05,0.05,0.0048,0.05,0.0093,0.033,1.36,,1.0,3.0
4014,73.6,1.7,15.4,0.2,0.24,0.4,,,,,,,,,,,,,,,0.096,,,,,,,,,,,,
4015,137.0,2.5,17.3,5.7,1.47,2.2,0.9,0.2,0.2,0.5,0.22,0.05,0.61,3.41,0.01,0.01,0.01,,18.0,0.15,1.16,3.58,0.66,0.02,0.01,0.01,0.02,0.03,0.06,0.73,370.0,0.73,20.0
4016,372.0,10.6,69.4,3.97,4.05,4.67,,,,,0.43,0.036,0.14,0.14,,,,2.0,106.0,0.47,1.55,0.14,0.27,0.1,0.062,0.041,0.092,0.05,0.12,0.45,189.0,2.55,39.0
4017,97.9,1.92,10.2,5.18,1.05,1.68,0.14,1.13,0.075,,0.46,,,,,,,6.67,38.7,0.025,1.87,1.77,0.94,0.077,0.051,0.035,0.062,0.066,0.21,0.88,,0.19,
4018,88.9,1.89,14.2,2.4,1.48,1.41,0.29,0.72,,,0.28,,,,,,,6.5,31.1,0.061,1.46,0.6,0.13,0.084,0.057,0.038,0.069,0.073,0.21,0.63,,0.21,5.0
4019,67.3,2.63,12.1,0.53,0.73,1.71,,,,,0.038,0.0037,0.012,0.16,,,,1.52,36.5,0.062,0.32,0.16,0.016,0.0095,0.0059,0.0038,0.0093,0.019,0.059,0.18,,0.39,5.15
4020,285.0,4.62,25.6,17.7,2.1,1.96,0.3,,1.96,,0.53,0.011,8.04,,0.014,0.014,0.014,,22.2,0.09,3.98,5.49,8.06,0.014,0.014,0.014,0.014,0.014,0.014,1.27,,0.99,
4021,302.0,4.5,30.2,17.7,2.11,3.5,0.2,0.2,3.3,,0.66,0.02,8.14,4.45,0.01,0.01,0.01,51.7,120.0,0.06,3.39,4.45,9.09,0.01,0.01,0.01,0.01,0.01,0.04,2.35,524.0,0.8,20.0
4022,361.0,8.04,76.1,0.46,2.8,2.35,0.62,,0.35,,0.049,0.034,0.16,0.006,,,,,48.5,0.27,0.15,0.01,0.19,,,,0.002,0.012,0.003,0.083,,2.26,0.5
4023,76.4,1.88,15.9,0.3,0.9,0.2,,,,,0.009,0.096,0.072,0.009,,,,,10.0,,0.058,0.014,0.17,,,,,,,0.048,,0.6,0.9
4025,174.0,3.25,25.3,5.8,1.82,,0.2,0.2,0.2,0.5,0.19,0.08,2.61,2.04,0.01,0.01,0.01,0.7,17.0,0.13,0.64,2.13,2.69,0.01,0.01,0.01,0.01,0.01,0.01,0.39,499.0,0.7,20.0
4026,89.4,2.5,18.5,0.13,1.33,1.18,0.44,,,,0.005,,,,,,,,15.0,0.12,0.035,0.003,0.058,,,,0.001,0.004,0.001,0.022,,1.08,
4027,156.0,2.81,23.0,4.8,1.53,,0.2,0.2,0.2,0.5,0.16,0.13,1.84,1.81,0.01,0.01,0.01,,11.0,0.15,0.61,1.9,1.97,0.01,0.01,0.01,0.01,0.01,0.01,0.38,117.0,0.63,20.0
4028,76.1,1.81,15.7,0.5,0.94,0.2,0.2,0.2,0.2,,0.01,0.01,0.01,0.01,0.01,0.01,0.01,,6.5,0.07,,,,0.01,0.01,0.01,0.01,0.01,0.01,0.01,76.3,0.31,20.0
4029,71.6,1.84,14.9,0.1,1.2,,,,,,,,,,,,,,,0.17,,,,,,,,,,,,0.7,
4030,213.0,3.75,32.6,6.6,1.72,0.29,0.2,0.2,0.2,,0.21,0.02,3.28,2.16,0.01,0.01,0.01,0.7,11.0,0.11,0.75,2.24,3.32,0.01,0.01,0.01,0.01,0.01,0.01,0.46,267.0,0.67,20.0
4032,285.0,3.28,39.4,11.9,2.11,0.69,,,,,0.39,0.087,2.45,5.85,,,,,23.8,0.12,2.94,5.85,2.54,,,,,,0.087,2.43,0.1,0.9,5.0
4034,218.0,3.44,29.5,8.5,2.17,0.4,0.2,0.2,0.2,,0.26,0.08,3.37,3.48,0.01,0.01,0.01,2.87,51.0,0.12,0.96,3.67,3.46,0.01,0.01,0.01,0.01,0.01,0.01,0.62,622.0,0.81,20.0
4035,191.0,2.81,28.5,6.6,1.89,0.2,0.2,0.2,0.2,,0.24,0.12,2.65,2.32,0.01,0.01,0.01,0.7,27.0,0.09,0.94,2.32,2.77,0.01,0.01,0.02,0.01,0.01,0.03,0.64,592.0,0.61,20.0
4036,213.0,2.54,21.9,12.1,0.67,1.59,,,,,,,,,,,,,,,3.17,,,,,,,,,,,,
4037,570.0,5.62,49.8,37.6,4.02,1.38,0.2,0.2,0.2,,1.03,0.05,2.44,26.7,0.01,0.01,0.01,0.72,21.0,0.19,3.53,27.2,2.49,0.01,0.01,0.01,0.01,0.01,0.01,1.35,1070.0,0.98,20.0
4038,463.0,6.58,62.1,19.8,3.83,2.49,0.2,0.2,0.2,,0.59,0.03,1.33,14.0,0.01,0.01,0.01,1.01,56.0,0.25,1.94,15.4,1.5,0.01,0.01,0.01,0.01,0.01,0.01,0.72,802.0,1.2,20.0
4039,182.0,2.38,22.5,8.3,1.71,0.2,0.2,0.2,0.2,0.5,0.28,0.12,3.58,2.95,0.01,0.01,0.01,15.0,18.0,0.13,1.06,3.1,3.7,0.01,0.01,0.01,0.01,0.01,0.05,0.65,515.0,0.55,20.0
4042,178.0,2.8,23.2,7.72,1.7,0.73,0.3,,0.3,,,0.0042,3.82,,,,,,,,1.33,2.41,3.94,,,,,,,,,,
4043,135.0,2.32,20.9,4.2,1.14,0.42,0.3,,0.3,,0.076,0.01,1.21,,0.002,0.002,0.002,,,,1.14,0.99,1.22,0.002,0.002,0.002,0.002,0.0024,0.011,0.51,,,
4044,154.0,2.41,23.4,5.09,1.17,0.35,0.3,,0.3,,0.15,0.0093,1.91,,0.005,0.005,0.005,,,,1.56,1.4,1.92,0.005,0.005,0.005,0.005,0.005,0.005,0.42,,,
4045,254.0,3.5,34.0,10.8,1.45,0.23,0.3,,0.3,,0.32,0.013,4.2,,0.0083,0.0083,0.0083,,,,1.74,3.32,4.26,0.0083,0.0083,0.0083,0.0083,0.0083,0.0076,0.61,,,
4046,244.0,3.12,29.1,12.1,0.14,0.48,,,,,,,,,,,,,20.0,,4.09,,,,,,,,,,,1.8,
4047,91.8,2.11,12.7,3.25,1.11,1.49,0.19,,0.075,,0.26,,,,,,,4.9,35.4,0.049,1.71,0.86,0.3,0.057,0.038,0.025,0.047,0.053,0.16,0.56,,0.26,
4048,93.2,2.01,17.2,1.37,1.08,1.05,0.4,0.065,0.065,0.052,0.053,0.019,0.17,0.91,,0.0027,0.0027,,9.62,0.095,0.4,1.1,0.23,0.0058,0.0037,0.0037,0.0062,0.0086,0.015,0.17,150.0,0.43,6.78
4101,86.3,1.51,18.3,0.15,1.05,5.64,0.93,,,,0.0034,0.0035,0.044,0.0035,,,,,37.5,0.15,0.064,0.0035,0.048,,,,,,,0.061,,0.76,0.2
4102,62.8,1.69,12.2,0.15,0.99,6.11,0.56,,3.23,,0.002,,,,,,,,32.5,0.13,0.042,0.002,0.077,,,,,,,0.04,,0.71,3.0
4103,79.8,1.1,12.1,2.0,0.56,7.5,,,,,,,,,,,,,,,1.4,,,,,,,,,,,,
20050,81.9,1.8,16.0,0.7,1.4,9.6,0.5,0.5,0.5,,,,,,,,,,32.9,0.1,,0.004,0.001,,,,,,,,,0.2,10.0
20196,60.7,1.94,11.5,0.31,1.87,9.6,,,,,0.0054,0.026,0.099,0.0062,,,,,21.0,0.13,0.11,0.0062,0.13,,,,,,,0.11,,2.0,0.1
53101,125.0,0.79,28.9,0.18,0.58,14.0,,,,,0.002,,,,,,,,2.0,0.066,0.069,0.015,0.033,,,,,0.001,0.001,0.047,,0.58,
53200,107.0,1.5,22.8,0.2,1.2,0.4,,,,,0.006,,,,,,,,43.0,0.17,0.041,0.016,0.083,,,,,,,0.035,,0.55,
53201,131.0,0.52,29.5,0.11,0.97,0.49,,,,,0.003,,,,,,,,18.0,0.2,0.023,0.009,0.046,,,,,,,0.019,,0.72,
53502,111.0,1.53,23.8,0.17,0.93,0.5,0.2,,,,0.0039,,,,,,,,17.0,0.18,0.037,0.006,0.076,,,,,,,0.033,,0.54,
53503,109.0,1.49,23.6,0.14,0.77,0.49,,,,,0.0029,,,,,,,,14.0,0.15,0.029,0.005,0.06,,,,,,,0.026,,0.52,
54031,157.0,1.31,36.3,0.29,0.61,1.7,,,,,0.005,0.017,0.031,0.074,,,,,16.0,0.1,0.074,0.075,0.048,,,,,0.00099,,0.068,,0.27,
54034,132.0,0.69,32.0,0.043,0.91,,,,,,,,,,,,,,12.1,0.018,,,,,,,,,,,,0.6,
54500,105.0,1.07,22.2,0.23,0.93,11.0,,,,,0.017,,,,,,,,17.0,0.084,0.048,0.034,0.066,,,,,,,0.031,,0.54,
20293,131.0,9.63,13.7,0.5,1.49,1.1,0.4,0.2,0.2,0.5,0.02,0.16,0.12,0.06,0.01,0.01,0.01,,72.0,0.26,0.11,0.06,0.28,0.01,0.01,0.01,0.01,0.01,0.01,0.09,20.0,2.7,20.0
20500,82.9,8.06,9.35,0.8,0.7,0.4,0.2,0.2,0.2,0.5,0.02,0.04,0.45,0.08,0.01,0.01,0.01,,37.0,0.31,0.16,0.08,0.49,0.01,0.01,0.01,0.01,0.01,0.01,0.14,20.0,1.5,20.0
20502,112.0,6.75,12.0,1.1,1.0,0.3,0.2,0.2,0.2,0.5,0.04,0.37,0.24,0.13,0.01,0.01,0.01,,120.0,0.19,0.25,0.15,0.61,0.01,0.01,0.01,0.01,0.01,0.01,0.21,20.0,1.7,20.0
20503,116.0,9.63,12.3,0.6,0.95,0.5,0.2,0.2,0.2,0.5,0.03,0.13,0.11,0.15,0.01,0.01,0.01,,55.0,0.27,0.19,0.16,0.24,0.01,0.01,0.01,0.01,0.01,0.01,0.15,20.0,2.3,20.0
20505,88.3,9.02,12.2,0.38,0.83,1.8,,,,,0.005,,,,,,,,26.2,0.24,0.053,0.064,0.18,,,,,,0.001,0.045,20.0,1.44,3.0
20506,113.0,8.6,16.3,1.49,0.8,3.85,,,,,0.024,,,,,,,,24.7,0.19,0.16,0.33,0.66,,,,,0.001,0.0025,0.13,,2.09,2.0
20507,147.0,8.31,17.7,3.0,0.73,0.3,0.2,0.2,0.2,0.5,0.07,0.08,1.5,0.77,0.01,0.01,0.01,,72.0,0.24,0.46,0.82,1.59,0.01,0.01,0.01,0.01,0.01,0.01,0.37,20.0,1.3,20.0
20508,80.3,6.1,12.2,0.79,1.5,0.2,0.5,0.5,0.5,,0.007,,,,,,,,63.1,0.1,0.11,0.016,0.14,,,,,,0.001,0.057,,1.3,10.0
20510,78.1,6.28,11.8,0.64,1.34,0.42,0.25,0.2,0.25,,0.014,0.05,0.21,0.15,0.01,0.01,0.01,,21.0,0.12,0.11,0.15,0.26,0.01,0.01,0.01,0.00032,0.00097,0.0045,0.091,,1.67,3.0
20511,73.5,6.57,10.9,0.4,1.36,0.52,,,,,0.004,,,,,,,,73.0,0.23,0.11,0.026,0.13,,,,,,,0.071,,2.99,3.0
20513,112.0,6.75,12.0,1.1,1.0,0.3,0.2,0.2,0.2,0.5,0.04,0.37,0.24,0.13,0.01,0.01,0.01,,120.0,0.19,0.25,0.15,0.61,0.01,0.01,0.01,0.01,0.01,0.01,0.21,20.0,1.7,20.0
20524,94.0,8.31,13.0,0.97,1.29,1.0,,,,,0.1,0.23,0.12,0.052,,,,,58.0,0.28,0.41,0.052,0.35,,,,,,0.013,0.22,,1.5,
20531,82.7,7.54,11.9,0.55,1.06,2.01,,,,,,,,,,,,,53.0,0.14,0.038,0.029,0.36,,,,,,,0.038,,1.75,
20532,111.1,6.74,15.0,2.68,1.0,0.5,,,,,0.03,0.032,0.89,0.47,,,,,41.2,0.21,0.3,0.47,0.92,,,,,,0.003,0.17,,1.15,
20540,95.6,5.63,15.8,1.1,1.01,0.5,,,,,0.021,0.38,0.2,0.092,0.00044,0.00044,0.00044,0.7,68.0,0.18,0.19,0.11,0.58,0.00044,0.00044,0.00044,0.00044,0.00044,0.00044,0.15,9.36,1.8,20.0
20542,66.1,6.4,9.0,0.5,0.42,0.2,0.2,0.2,0.2,,0.018,0.02,0.26,0.08,0.01,0.01,0.01,,31.0,0.17,0.11,0.08,0.28,0.01,0.01,0.01,0.01,0.01,0.01,0.092,4.13,1.3,20.0
20543,56.5,5.6,7.4,0.5,0.61,1.0,0.2,0.2,0.2,,0.01,0.01,0.01,0.01,0.01,0.01,0.01,,61.0,0.21,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,9.8,0.93,20.0
20587,127.0,10.1,16.2,0.58,0.81,0.2,0.2,0.2,0.2,0.5,0.017,0.032,0.15,0.13,0.01,0.01,0.01,,39.5,0.25,0.093,0.13,0.18,0.01,0.01,0.01,0.01,0.01,0.01,0.075,17.0,2.45,20.0
20588,110.3,9.7,16.3,0.7,0.86,0.4,0.2,0.2,0.2,,0.02,0.06,0.28,0.18,0.01,0.01,0.01,,32.0,0.3,0.13,0.18,0.34,0.01,0.01,0.01,0.01,0.01,0.01,0.11,17.5,2.5,20.0
20589,106.9,10.6,15.0,0.5,0.62,0.26,0.2,0.2,0.2,,0.01,0.06,0.22,0.13,0.01,0.01,0.01,,21.0,0.29,0.09,0.13,0.28,0.01,0.01,0.01,0.01,0.01,0.01,0.08,15.0,2.2,20.0
20700,87.5,8.38,12.1,0.62,0.87,1.31,,,,,0.016,,,,,0.0018,0.0018,,52.7,0.23,0.12,0.094,0.32,0.0018,0.0018,0.0018,0.0018,0.0018,0.0026,0.099,16.4,1.55,5.47
20517,49.9,6.76,4.2,0.67,1.11,0.37,,,,,0.023,,,,,,,,29.5,0.24,0.13,0.061,0.33,,,,,0.001,0.002,0.093,14.0,1.73,
20521,116.7,8.86,19.0,0.58,1.0,,,,,,0.0064,0.041,0.19,0.11,,,,,25.0,0.35,0.061,0.11,0.23,,,,,,,0.055,,3.21,
