ID,Nom,Portions,Ingrédients
63,Guacamole et chips de maïs,4,"""3|pièce|avocats"",""2|pièce|tomates"",""1|pièce|oignon"",""30|ml|jus de citron vert"",""20|g|coriandre"",""1|pièce|piment"",""5|g|sel"",""30|ml|huile d'olive"",""150|g|chips de maïs"""
64,Bruschetta à la tomate fraîche et basilic,4,"""400|g|tomates"",""1|pièce|baguette"",""3|pièce|ail"",""20|g|basilic"",""60|ml|huile d'olive"",""5|g|sel"",""2|g|poivre"""
65,Crostinis au chèvre et figues,6,"""1|pièce|baguette"",""180|g|fromage de chèvre"",""6|pièce|figues fraîches"",""50|g|noix"",""30|ml|miel"",""30|ml|huile d'olive"",""2|g|poivre"""
66,Tartinade de thon et St Môret,4,"""200|g|thon au naturel"",""150|g|st môret"",""1|pièce|échalotes"",""20|ml|jus de citron"",""10|g|ciboulette"",""2|g|poivre"""
67,Rillettes de saumon frais et fumé,6,"""200|g|saumon frais"",""150|g|saumon fumé"",""150|g|fromage frais"",""30|ml|jus de citron"",""15|g|aneth"",""50|ml|crème fraîche"",""5|g|sel"",""2|g|poivre"""
69,Patatas bravas et leur sauce épicée,4,"""800|g|pommes de terre"",""1|pièce|oignon"",""3|gousse|ail"",""400|g|tomates concassées"",""2|cuillère à soupe|huile d'olive"",""1|cuillère à café|paprika"",""1|pincée|piment de Cayenne"",""1|cuillère à café|vinaigre"",""1|pincée|sel"",""1|pincée|poivre"",""1|cuillère à café|fécule de maïs"",""100|ml|eau"""
70,Croquetas de jamón,4,"""40|g|beurre"",""60|g|farine"",""500|ml|lait"",""80|g|jambon serrano"",""50|g|fromage râpé"",""1|pincée|noix de muscade"",""2|pièce|œuf"",""125|g|chapelure"""
71,Pimientos de Padrón grillés,4,"""250|g|pimientos de padrón"",""2|cuillère à soupe|huile d'olive"",""1|cuillère à café|fleur de sel"",""1|gousse|ail (facultatif)"""
72,Gambas al ajillo,4,"""500|g|crevettes"",""6|gousse|ail"",""100|ml|huile d'olive"",""1|cuillère à café|piment d'Espelette"",""1|cuillère à café|paprika fumé"",""30|ml|sherry"",""1|cuillère à soupe|jus de citron"",""1|bouquet|persil"""
73,Falafels de pois chiches et sauce tahini,4,"""400|g|pois chiches secs"",""1|pièce|oignon"",""3|gousse|ail"",""1|bouquet|persil"",""1|bouquet|coriandre"",""2|cuillère à soupe|farine"",""1|cuillère à café|cumin"",""1|cuillère à café|coriandre moulue"",""1|cuillère à café|bicarbonate"",""100|g|tahini"",""2|pièce|citron"",""100|ml|eau"",""1|gousse|ail"""
74,Samoussas aux légumes et épices,4,"""10|pièce|feuilles de brick"",""2|pièce|carottes"",""1|pièce|poireaux"",""1|pièce|oignon"",""1|gousse|ail"",""1|cuillère à café|curry"",""1|cuillère à café|cumin"",""100|ml|crème fraîche"",""1|bouquet|coriandre"""
75,Nems au porc et leur sauce,4,"""250|g|porc haché"",""100|g|vermicelles de riz"",""2|pièce|carottes"",""100|g|champignons noirs"",""1|pièce|oignon"",""2|gousse|ail"",""50|g|pousses de soja"",""20|pièce|galettes de riz"",""1|cuillère à soupe|nuoc-mâm"""
76,Rouleaux de printemps aux crevettes,4,"""12|pièce|galettes de riz"",""300|g|crevettes cuites"",""100|g|vermicelles de riz"",""2|pièce|carottes"",""1|pièce|concombre"",""100|g|salade"",""1|bouquet|menthe"",""1|bouquet|coriandre"""
77,Accras de morue antillais,4,"""90|g|morue dessalée"",""60|g|farine"",""90|ml|eau"",""1|cuillère à café|levure chimique"",""1|pièce|échalotes"",""1|gousse|ail"",""10|g|cive"",""1|branche|persil"",""2|pincée|quatre-épices"",""1|pointe|piment"",""18|ml|jus de citron"""
79,Arancini siciliens,4,"""500|g|riz arborio"",""250|g|bœuf haché"",""200|g|coulis de tomate"",""80|g|beurre"",""150|g|mozzarella"",""50|g|petits pois"",""1|pièce|oignon"",""1|pièce|carottes"",""0.15|g|safran"",""2|cube|bouillon"",""250|g|farine"",""250|g|chapelure"",""40|ml|vin rouge"""
81,Gressins italiens,40,"""500|g|farine"",""280|ml|eau"",""15|g|levure de bière fraîche"",""8|g|sel"",""50|ml|huile d'olive"",""1|cuillère à café|malt d'orge ou sucre"",""1|cuillère à soupe|semoule"""
82,Légumes grillés marinés à l'italienne,4,"""2|pièce|courgettes"",""1|pièce|aubergine"",""2|pièce|poivrons rouges"",""2|pièce|poivrons jaunes"",""200|g|tomates cerises"",""150|ml|huile d'olive"",""30|ml|vinaigre balsamique"",""2|gousse|ail"",""2|cuillère à soupe|basilic"",""1|cuillère à soupe|thym"",""1|pincée|sel"",""1|pincée|poivre"""
83,Artichauts à la romaine,4,"""8|pièce|artichauts violets moyens"",""1|demi-bouquet|persil"",""10|feuille|menthe"",""1|gousse|ail"",""1|pièce|citron"",""100|ml|huile d'olive"",""200|ml|eau"",""1|pincée|sel"",""1|pincée|poivre"""
84,Poivrons marinés à l'huile d'olive et à l'ail,4,"""6|pièce|poivrons rouges"",""3|gousse|ail"",""150|ml|huile d'olive"",""2|brin|thym"",""1|feuille|laurier"",""30|ml|jus de citron"",""1|pincée|sel"",""1|pincée|poivre"""
85,Aubergines à la parmesane,4,"""2|pièce|aubergines"",""1200|g|tomates"",""1|pièce|oignon"",""2|gousse|ail"",""2|boule|mozzarella"",""40|g|parmesan râpé"",""50|ml|huile d'olive"",""1|cuillère à café|origan séché"",""5|feuille|basilic"",""1|pincée|sel"",""1|pincée|poivre"""
86,Velouté de potimarron et châtaignes,4,"""500|g|potimarron"",""150|g|châtaignes"",""1|pièce|oignon"",""50|ml|huile d'olive"",""500|ml|eau"",""100|ml|crème fraîche"",""1|pincée|sel"",""1|pincée|poivre"",""1|pincée|noix de muscade"""
87,Soupe à l'oignon gratinée,4,"""800|g|oignon"",""50|g|beurre"",""30|g|farine"",""1|litre|bouillon de bœuf"",""100|ml|vin blanc"",""100|g|comté râpé"",""4|tranche|pain"",""2|gousse|ail"",""1|pincée|sel"",""1|pincée|poivre"",""1|pincée|noix de muscade"""
88,Crème de lentilles corail au lait de coco,4,"""250|g|lentilles corail"",""1|pièce|oignon"",""2|gousse|ail"",""400|ml|lait de coco"",""800|ml|eau"",""2|cube|bouillon de légumes"",""1|cuillère à café|curcuma"",""1|cuillère à café|cumin"",""30|ml|huile d'olive"",""1|pincée|sel"",""1|pincée|poivre"""
89,Soupe de poireaux-pommes de terre,4,"""3|pièce|poireaux"",""500|g|pommes de terre"",""1|pièce|oignon"",""30|g|beurre"",""1|litre|eau"",""1|cube|bouillon de légumes"",""100|ml|crème fraîche"",""1|pincée|sel"",""1|pincée|poivre"",""1|bouquet|persil"""
90,Velouté Dubarry,4,"""500|g|chou-fleur"",""1|blanc|poireaux"",""1|pièce|oignon"",""30|g|beurre"",""40|g|farine"",""750|ml|bouillon de volaille"",""150|ml|crème fraîche"",""2|pièce|jaune d'œuf"",""1|pincée|sel"",""1|pincée|poivre blanc"",""1|pincée|noix de muscade"""
91,Minestrone de légumes italiens,6,"""100|g|haricots blancs secs"",""2|pièce|carottes"",""2|pièce|courgettes"",""2|pièce|tomates"",""1|pièce|oignon"",""2|branche|céleri"",""2|gousse|ail"",""100|g|pâtes courtes"",""50|ml|huile d'olive"",""1.5|litre|eau"",""1|feuille|laurier"",""2|cuillère à soupe|basilic"",""50|g|parmesan râpé"",""1|pincée|sel"",""1|pincée|poivre"""
96,Harira marocaine,6,"""300|g|agneau"",""100|g|lentilles"",""100|g|pois chiches"",""700|g|tomates"",""1|pièce|oignon"",""50|g|céleri"",""1|bouquet|coriandre"",""1|bouquet|persil"",""100|g|vermicelle"",""50|ml|huile d'olive"",""1|cuillère à café|curcuma"",""1|cuillère à café|gingembre"",""1|cuillère à café|paprika"",""1|cuillère à café|cumin"",""1|bâton|cannelle"",""2|cuillère à soupe|farine"",""1.5|litre|eau"",""1|pincée|sel"",""1|pincée|poivre"""
97,Chorba algérienne,6,"""400|g|agneau"",""100|g|pois chiches"",""1|pièce|oignon"",""2|pièce|tomates"",""1|pièce|carottes"",""1|pièce|courgettes"",""1|pièce|pommes de terre"",""1|branche|céleri"",""100|g|vermicelle"",""1|bouquet|coriandre"",""50|ml|huile d'olive"",""1|cuillère à café|curcuma"",""1|cuillère à café|paprika"",""1|cuillère à café|cumin"",""1|cuillère à café|gingembre"",""1|bâton|cannelle"",""2|cuillère à soupe|concentré de tomates"",""1.5|litre|eau"",""1|pincée|sel"",""1|pincée|poivre"""
99,Feuilletés saucisse à la moutarde,20,"""1|pièce|pâte feuilletée"",""6|pièce|saucisses de strasbourg"",""30|g|moutarde"",""1|pièce|œuf"",""10|g|graines de sésame"",""15|g|mayonnaise"""
102,Roulés de courgette au fromage frais,4,"""600|g|courgettes"",""200|g|fromage frais"",""20|ml|huile d'olive"",""5|g|ciboulette"",""5|g|persil"",""1|pièce|citron"",""2|pincée|sel"",""1|pincée|poivre"""
103,Blinis au saumon fumé et crème à l'aneth,20,"""110|g|farine"",""120|ml|lait"",""10|g|levure boulanger"",""15|g|sucre"",""2|pièce|œuf"",""20|g|beurre"",""200|g|saumon fumé"",""150|g|crème fraîche"",""10|g|aneth"",""1|pièce|citron"",""2|pincée|sel"""
104,Champignons farcis à l'ail et au persil,4,"""12|pièce|champignons de Paris"",""100|g|beurre"",""30|g|persil"",""4|gousse|ail"",""30|g|chapelure"",""20|ml|huile d'olive"",""2|pincée|sel"",""1|pincée|poivre"""
105,Tomates provençales au four,4,"""4|pièce|tomates"",""40|g|chapelure"",""20|g|persil"",""3|gousse|ail"",""40|ml|huile d'olive"",""5|g|herbes de provence"",""2|pincée|sel"",""1|pincée|poivre"""
106,Tarte soleil au pesto et parmesan,6,"""2|pièce|pâte feuilletée"",""100|g|pesto"",""60|g|parmesan râpé"",""30|g|pignons de pin"",""1|pièce|jaune d'œuf"",""20|ml|huile d'olive"""
107,Gougères au fromage,30,"""250|ml|eau"",""100|g|beurre"",""150|g|farine"",""4|pièce|œuf"",""140|g|gruyère râpé"",""10|g|levure"",""2|pincée|sel"",""1|pincée|poivre"",""1|pincée|muscade"""
108,Cake salé aux olives et au jambon,6,"""200|g|farine"",""10|g|levure"",""3|pièce|œuf"",""100|ml|lait"",""80|ml|huile d'olive"",""150|g|jambon"",""100|g|olives"",""100|g|fromage râpé"",""2|pincée|sel"",""1|pincée|poivre"""
109,Muffins salés au chorizo et poivron,12,"""300|g|farine"",""10|g|levure"",""3|pièce|œuf"",""100|ml|huile d'olive"",""150|ml|lait"",""150|g|chorizo"",""1|pièce|poivron rouge"",""100|g|fromage râpé"",""2|pincée|sel"",""1|pincée|poivre"""
110,Madeleines salées au chèvre et romarin,12,"""120|g|farine"",""60|g|poudre d'amande"",""10|g|levure"",""3|pièce|œuf"",""120|g|beurre"",""100|g|chèvre frais"",""15|ml|miel"",""10|g|romarin"",""2|pincée|sel"",""1|pincée|poivre"""
112,Tarte aux poireaux et lardons,6,"""1|pièce|pâte brisée"",""400|g|poireaux"",""150|g|lardons"",""200|ml|crème fraîche"",""3|pièce|œuf"",""80|g|fromage râpé"",""1|pièce|oignon"",""30|g|beurre"",""2|pincée|sel"",""1|pincée|poivre"",""1|pincée|muscade"""
113,Tarte à la tomate et à la moutarde,6,"""1|pièce|pâte feuilletée"",""4|pièce|tomates"",""40|g|moutarde"",""80|g|fromage râpé"",""20|ml|huile d'olive"",""5|g|herbes de provence"",""2|pincée|sel"",""1|pincée|poivre"""
116,Flammekueche alsacienne,4,"""250|g|farine"",""1|pincée|sel"",""30|ml|huile d'olive"",""125|ml|eau tiède"",""200|g|fromage blanc"",""150|g|crème fraîche épaisse"",""150|g|lardons fumés"",""2|pièce|oignon"",""2|gousse|ail"",""1|pincée|muscade"""
120,Calzone,4,"""500|g|pâte à pizza"",""200|g|sauce tomate"",""200|g|mozzarella"",""100|g|jambon cuit"",""1|pièce|oignon"",""50|g|champignons de Paris"",""2|gousse|ail"",""30|ml|huile d'olive"",""1|pincée|origan"",""1|pincée|sel"",""1|pincée|poivre"""
121,Poulet rôti du dimanche aux herbes de Provence,4,"""1|pièce|poulet  fermier (1,5 kg)"",""60|ml|huile d'olive"",""1|pièce|citron"",""4|gousse|ail"",""2|cuillère à soupe|herbes de provence"",""1|cuillère à café|sel"",""1|cuillère à café|poivre"",""2|brin|thym frais"",""1|feuille|laurier"""
122,Poulet basquaise,4,"""1|pièce|poulet fermier (1,5 kg)"",""3|pièce|poivrons"",""500|g|tomates"",""2|pièce|oignon"",""4|gousse|ail"",""150|ml|vin blanc"",""30|ml|huile d'olive"",""1|pincée|piment d'Espelette"",""1|bouquet|bouquet garni"",""1|pincée|sel"",""1|pincée|poivre"""
123,Poulet à la crème et aux champignons,4,"""600|g|blanc de poulet"",""600|g|champignons de Paris"",""400|g|crème fraîche épaisse"",""1|pièce|échalotes"",""2|gousse|ail"",""30|g|farine"",""50|ml|huile d'olive"",""1|poignée|persil"",""100|g|épinards frais"",""1|cuillère à café|sel"",""1|pincée|poivre"""
124,Poulet vallée d'Auge,4,"""1|pièce|poulet fermier (1,5 kg)"",""750|ml|cidre brut"",""50|ml|calvados"",""200|ml|crème liquide"",""750|g|champignons de Paris"",""4|pièce|pommes"",""80|g|beurre"",""2|pièce|échalotes"",""1|pièce|carottes"",""1|bouquet|bouquet garni"",""1|jaune|œuf"",""1|cuillère à soupe|sucre"",""1|pincée|sel"",""1|pincée|poivre"""
125,Coq au vin,4,"""1|pièce|poulet fermier (1,8 kg)"",""750|ml|vin rouge"",""150|g|lardons fumés"",""200|g|champignons de Paris"",""20|pièce|petits oignons grelots"",""3|pièce|carottes"",""4|gousse|ail"",""50|g|farine"",""50|g|beurre"",""50|ml|cognac"",""1|bouquet|bouquet garni"",""1|pincée|sel"",""1|pincée|poivre"""
126,Waterzooi de poulet à la gantoise,4,"""1|pièce|poulet fermier (1,5 kg)"",""4|pièce|pommes de terre"",""2|pièce|poireaux"",""3|pièce|carottes"",""3|branche|céleri"",""2|pièce|oignon"",""2|jaune|œuf"",""200|ml|crème liquide"",""2|litre|eau"",""2|gousse|ail"",""2|brin|thym"",""2|feuille|laurier"",""1|poignée|persil"",""1|pincée|sel"",""1|pincée|poivre"""
127,Escalopes de poulet à la milanaise,4,"""4|pièce|escalopes de poulet"",""150|g|chapelure panko"",""50|g|parmesan râpé"",""2|pièce|œuf"",""50|g|farine"",""50|ml|lait"",""2|cuillère à soupe|persil"",""1|cuillère à café|ail en poudre"",""1|cuillère à café|herbes italiennes"",""100|ml|huile d'olive"",""1|pincée|sel"",""1|pincée|poivre"""
128,Escalopes de poulet à la milanaise panées au citron,4,"""4|pièce|escalopes de poulet"",""150|g|chapelure panko"",""50|g|parmesan râpé"",""2|pièce|œuf"",""50|g|farine"",""50|ml|lait"",""2|cuillère à soupe|persil"",""1|pièce|citron"",""50|ml|jus de citron"",""1|cuillère à café|zeste de citron"",""1|cuillère à café|ail en poudre"",""100|ml|huile d'olive"",""1|pincée|sel"",""1|pincée|poivre"""
129,Saltimbocca de veau à la romaine,4,"""8|pièce|escalopes de veau (70 g)"",""8|tranche|jambon cru"",""8|feuille|sauge fraîche"",""50|g|beurre"",""100|ml|vin blanc"",""30|g|farine"",""1|pincée|sel"",""1|pincée|poivre"""
130,Piccata de veau au citron,4,"""400|g|escalopes de veau"",""50|g|farine"",""50|g|beurre"",""100|ml|vin blanc"",""2|pièce|citron"",""30|g|câpres"",""2|cuillère à soupe|persil"",""1|pincée|sel"",""1|pincée|poivre"""
131,Blanquette de veau à l'ancienne,4,"""1000|g|veau pour blanquette"",""300|g|champignons de Paris"",""2|pièce|carottes"",""1|pièce|oignon"",""1|pièce|blanc de poireau"",""1|pièce|branche de céleri"",""75|g|petits oignons blancs"",""50|g|beurre"",""1|pièce|jaune d'œuf"",""2|cuillère à soupe|farine"",""100|ml|crème fraîche"",""2|pièce|ail"",""1|pièce|bouquet garni"",""1|pièce|clou de girofle"",""5|g|sel"",""2|g|poivre"""
132,Osso buco à la milanaise,4,"""1200|g|jarret de veau en tranches de 4cm"",""1|pièce|carottes"",""1|pièce|oignon"",""500|ml|fond de veau"",""150|ml|vin blanc"",""30|ml|huile d'olive"",""1|cuillère à soupe|concentré de tomate"",""30|g|farine"",""3|g|sel"",""2|g|poivre"",""1|pièce|persil"",""1|pièce|citron bio"",""1|pièce|ail"""
133,Rôti de veau Orloff,6,"""1000|g|rôti de veau sous-noix"",""6|pièce|tranches de bacon"",""60|g|beurre"",""1|pièce|oignon"",""5|pièce|champignons de Paris"",""30|ml|crème fraîche"",""6|pièce|tranches d'emmental"",""30|ml|huile végétale"",""5|g|sel"",""2|g|poivre"""
134,Sauté de veau Marengo,4,"""700|g|sauté de veau"",""2|pièce|carottes"",""250|g|champignons de Paris"",""3|pièce|échalotes"",""2|pièce|ail"",""30|g|concentré de tomate"",""150|ml|sauce tomates"",""250|ml|vin blanc"",""1|pièce|bouquet garni"",""30|g|farine"",""30|ml|huile végétale"",""20|g|beurre"",""200|ml|eau"",""5|g|sel"",""2|g|poivre"""
135,Paupiettes de veau en sauce,4,"""4|pièce|paupiettes de veau"",""200|g|champignons de Paris"",""2|pièce|échalotes"",""2|pièce|carottes"",""2|pièce|ail"",""30|g|concentré de tomate"",""150|ml|vin blanc"",""1|pièce|bouquet garni"",""30|ml|huile d'olive"",""20|g|beurre"",""15|g|farine"",""5|g|sel"",""2|g|poivre"""
136,Bœuf bourguignon,6,"""1200|g|boeuf à braiser"",""250|g|champignons de Paris"",""200|g|lardons"",""60|g|farine"",""60|g|beurre"",""10|pièce|petits oignons"",""500|ml|vin rouge de bourgogne"",""500|ml|bouillon de bœuf"",""2|pièce|ail"",""2|pièce|carottes"",""1|pièce|bouquet garni"",""5|g|sel"",""2|g|poivre"""
137,Daube de bœuf provençale,6,"""1500|g|paleron de boeuf"",""750|ml|vin rouge"",""3|pièce|oignon"",""2|pièce|carottes"",""3|pièce|ail"",""1|pièce|bouquet garni"",""1|pièce|orange"",""50|ml|huile d'olive"",""100|g|poitrine fumée"",""1|pièce|branche de céleri"",""2|pièce|feuilles de laurier"",""3|pièce|branches de thym"",""5|g|sel"",""3|g|poivre"""
138,Carbonnade flamande,6,"""1800|g|boeuf à braiser"",""1500|ml|bière ambrée"",""160|g|pain d'épices"",""2|pièce|oignon"",""1|pièce|ail"",""1|pièce|feuille de laurier"",""1|pièce|brin de thym"",""1|pièce|clou de girofle"",""15|g|moutarde de dijon"",""30|ml|huile d'olive"",""5|g|sel"",""3|g|poivre"""
140,Hachis Parmentier,4,"""600|g|bœuf haché"",""1000|g|pommes de terre"",""40|g|beurre"",""200|ml|lait"",""1|pièce|oignon"",""50|g|fromage râpé"",""2|g|noix de muscade"",""5|g|sel"",""2|g|poivre"""
141,Steak frites sauce au poivre,4,"""4|pièce|steaks de boeuf 180g"",""1000|g|pommes de terre"",""30|ml|huile végétale"",""30|g|beurre"",""200|ml|crème fraîche"",""30|ml|cognac"",""15|g|poivre en grains"",""100|ml|fond de veau"",""5|g|sel"",""1|litre|huile de friture"""
142,Entrecôte grillée sauce béarnaise,4,"""800|g|entrecôte de boeuf"",""150|g|beurre"",""3|pièce|jaune d'œuf"",""50|ml|vinaigre d'estragon"",""50|ml|vin blanc"",""2|pièce|échalotes"",""15|g|estragon frais"",""1000|g|pommes de terre"",""5|g|sel"",""2|g|poivre"",""1|litre|huile de friture"""
145,Bœuf Stroganoff,4,"""600|g|bavette ou rumsteck de boeuf"",""200|g|champignons de Paris"",""1|pièce|oignon"",""150|ml|crème fraîche épaisse"",""15|g|moutarde"",""30|g|concentré de tomate"",""10|g|paprika"",""200|ml|bouillon de bœuf"",""30|g|beurre"",""30|ml|huile d'olive"",""20|g|farine"",""100|ml|vin blanc"",""5|g|sel"",""2|g|poivre"""
146,Goulash de bœuf hongrois,4,"""800|g|boeuf à mijoter"",""500|g|oignon"",""3|pièce|ail"",""400|g|tomates concassées"",""2|cuillère à soupe|concentré de tomates"",""2|cuillère à soupe|paprika doux"",""1|cuillère à café|paprika fumé"",""1|cuillère à café|cumin"",""500|ml|bouillon de bœuf"",""2|cuillère à soupe|huile végétale"",""1|pièce|poivron rouge"",""300|g|pommes de terre"",""1|pièce|feuille de laurier"",""1|cuillère à café|origan"""
147,Chili con carne,4,"""500|g|bœuf haché"",""400|g|haricots rouges"",""400|g|tomates concassées"",""1|pièce|oignon"",""2|pièce|ail"",""1|pièce|poivron rouge"",""2|cuillère à soupe|concentré de tomates"",""1|cuillère à soupe|cumin"",""1|cuillère à soupe|paprika"",""1|cuillère à café|piment d'Espelette"",""1|cuillère à café|origan"",""200|ml|bouillon de bœuf"",""2|cuillère à soupe|huile d'olive"""
148,Boulettes de bœuf à la sauce tomate,4,"""500|g|bœuf haché"",""1|pièce|œuf"",""40|g|chapelure"",""1|pièce|oignon"",""2|pièce|ail"",""400|g|tomates concassées"",""2|cuillère à soupe|concentré de tomates"",""1|cuillère à soupe|persil"",""1|cuillère à café|paprika"",""1|cuillère à café|cumin"",""40|g|parmesan râpé"",""2|cuillère à soupe|huile d'olive"""
