id,recipe_id,step_number,description
79,28,1,Préparer tous les ingrédients pour Shakshuka (œufs pochés dans une sauce tomate épicée)
80,28,2,Suivre les étapes de préparation classiques pour cette recette
81,28,3,Servir et déguster
82,29,1,Préparer tous les ingrédients pour Full English Breakfast complet
83,29,2,Suivre les étapes de préparation classiques pour cette recette
84,29,3,Servir et déguster
85,30,1,Préparer tous les ingrédients pour Œufs Bénédictine et sauce hollandaise
86,30,2,Suivre les étapes de préparation classiques pour cette recette
87,30,3,Servir et déguster
88,31,1,Préparer tous les ingrédients pour Tamagoyaki (omelette roulée japonaise)
89,31,2,Suivre les étapes de préparation classiques pour cette recette
90,31,3,Servir et déguster
91,32,1,Préparer tous les ingrédients pour Gaspacho Andalou traditionnel
92,32,2,Suivre les étapes de préparation classiques pour cette recette
93,32,3,Servir et déguster
94,33,1,Préparer tous les ingrédients pour Salmorejo de Cordoue et ses garnitures
95,33,2,Suivre les étapes de préparation classiques pour cette recette
96,33,3,Servir et déguster
97,34,1,Préparer tous les ingrédients pour Soupe froide de concombre à la menthe
98,34,2,Suivre les étapes de préparation classiques pour cette recette
99,34,3,Servir et déguster
100,35,1,Préparer tous les ingrédients pour Velouté froid de courgettes au basilic
101,35,2,Suivre les étapes de préparation classiques pour cette recette
102,35,3,Servir et déguster
103,36,1,"Préparer tous les ingrédients pour Verrine avocat, crevette et pamplemousse"
104,36,2,Suivre les étapes de préparation classiques pour cette recette
105,36,3,Servir et déguster
106,37,1,"Préparer tous les ingrédients pour Salade Caprese (tomate, mozzarella, basilic)"
107,37,2,Suivre les étapes de préparation classiques pour cette recette
108,37,3,Servir et déguster
109,38,1,Préparer tous les ingrédients pour Salade Grecque traditionnelle
110,38,2,Suivre les étapes de préparation classiques pour cette recette
111,38,3,Servir et déguster
112,39,1,Préparer tous les ingrédients pour Taboulé libanais (riche en persil)
113,39,2,Suivre les étapes de préparation classiques pour cette recette
114,39,3,Servir et déguster
115,40,1,Préparer tous les ingrédients pour Salade de lentilles vertes du Puy et lardons
116,40,2,Suivre les étapes de préparation classiques pour cette recette
117,40,3,Servir et déguster
118,41,1,Préparer tous les ingrédients pour Salade César au poulet grillé et copeaux de parmesan
119,41,2,Suivre les étapes de préparation classiques pour cette recette
120,41,3,Servir et déguster
121,42,1,Préparer tous les ingrédients pour Salade Niçoise classique
122,42,2,Suivre les étapes de préparation classiques pour cette recette
123,42,3,Servir et déguster
124,43,1,Préparer tous les ingrédients pour Salade de chèvre chaud sur toast
125,43,2,Suivre les étapes de préparation classiques pour cette recette
126,43,3,Servir et déguster
127,44,1,"Préparer tous les ingrédients pour Salade de pâtes à l'italienne (pesto, tomates séchées)"
128,44,2,Suivre les étapes de préparation classiques pour cette recette
129,44,3,Servir et déguster
130,45,1,"Préparer tous les ingrédients pour Salade de riz au thon, maïs et poivrons"
131,45,2,Suivre les étapes de préparation classiques pour cette recette
132,45,3,Servir et déguster
133,46,1,Préparer tous les ingrédients pour Salade piémontaise
134,46,2,Suivre les étapes de préparation classiques pour cette recette
135,46,3,Servir et déguster
136,47,1,Préparer tous les ingrédients pour Bò bún vietnamien au bœuf
137,47,2,Suivre les étapes de préparation classiques pour cette recette
138,47,3,Servir et déguster
139,48,1,Préparer tous les ingrédients pour Houmous de pois chiches maison
140,48,2,Suivre les étapes de préparation classiques pour cette recette
141,48,3,Servir et déguster
142,49,1,Préparer tous les ingrédients pour Baba Ganoush (caviar d'aubergines fumées)
143,49,2,Suivre les étapes de préparation classiques pour cette recette
144,49,3,Servir et déguster
145,50,1,Préparer tous les ingrédients pour Tzatziki grec au concombre et à l'aneth
146,50,2,Suivre les étapes de préparation classiques pour cette recette
147,50,3,Servir et déguster
148,51,1,Préparer tous les ingrédients pour Moutabal libanais
149,51,2,Suivre les étapes de préparation classiques pour cette recette
150,51,3,Servir et déguster
151,52,1,Préparer tous les ingrédients pour Tapenade d'olives noires de Provence
152,52,2,Suivre les étapes de préparation classiques pour cette recette
153,52,3,Servir et déguster
154,53,1,Préparer tous les ingrédients pour Guacamole maison et chips de maïs
155,53,2,Suivre les étapes de préparation classiques pour cette recette
156,53,3,Servir et déguster
157,54,1,Préparer tous les ingrédients pour Bruschetta à la tomate fraîche et basilic
158,54,2,Suivre les étapes de préparation classiques pour cette recette
159,54,3,Servir et déguster
160,55,1,Préparer tous les ingrédients pour Crostinis au chèvre et figues
161,55,2,Suivre les étapes de préparation classiques pour cette recette
162,55,3,Servir et déguster
163,56,1,Préparer tous les ingrédients pour Tartinade de thon et St Môret
164,56,2,Suivre les étapes de préparation classiques pour cette recette
165,56,3,Servir et déguster
166,57,1,Préparer tous les ingrédients pour Rillettes de saumon frais et fumé
167,57,2,Suivre les étapes de préparation classiques pour cette recette
168,57,3,Servir et déguster
169,58,1,Préparer tous les ingrédients pour Tortilla de patatas espagnole
342,115,3,Servir et déguster
170,58,2,Suivre les étapes de préparation classiques pour cette recette
171,58,3,Servir et déguster
172,59,1,Préparer tous les ingrédients pour Patatas bravas et leur sauce épicée
173,59,2,Suivre les étapes de préparation classiques pour cette recette
174,59,3,Servir et déguster
175,60,1,Préparer tous les ingrédients pour Croquetas de jamón (croquettes de jambon)
176,60,2,Suivre les étapes de préparation classiques pour cette recette
177,60,3,Servir et déguster
178,61,1,Préparer tous les ingrédients pour Pimientos de Padrón grillés
179,61,2,Suivre les étapes de préparation classiques pour cette recette
180,61,3,Servir et déguster
181,62,1,Préparer tous les ingrédients pour Gambas al ajillo (crevettes à l'ail)
182,62,2,Suivre les étapes de préparation classiques pour cette recette
183,62,3,Servir et déguster
184,63,1,"Préparer tous les ingrédients pour Falafels de pois chiches, sauce tahini"
185,63,2,Suivre les étapes de préparation classiques pour cette recette
186,63,3,Servir et déguster
187,64,1,Préparer tous les ingrédients pour Samoussas aux légumes et épices
188,64,2,Suivre les étapes de préparation classiques pour cette recette
189,64,3,Servir et déguster
190,65,1,Préparer tous les ingrédients pour Nems au porc et leur sauce
191,65,2,Suivre les étapes de préparation classiques pour cette recette
192,65,3,Servir et déguster
193,66,1,Préparer tous les ingrédients pour Rouleaux de printemps aux crevettes
194,66,2,Suivre les étapes de préparation classiques pour cette recette
195,66,3,Servir et déguster
196,67,1,Préparer tous les ingrédients pour Accras de morue antillais
197,67,2,Suivre les étapes de préparation classiques pour cette recette
198,67,3,Servir et déguster
199,68,1,Préparer tous les ingrédients pour Beignets de calamars à la romaine
200,68,2,Suivre les étapes de préparation classiques pour cette recette
201,68,3,Servir et déguster
202,69,1,Préparer tous les ingrédients pour Arancini siciliens (boules de risotto frites)
203,69,2,Suivre les étapes de préparation classiques pour cette recette
204,69,3,Servir et déguster
205,70,1,Préparer tous les ingrédients pour Focaccia au romarin et à la fleur de sel
206,70,2,Suivre les étapes de préparation classiques pour cette recette
207,70,3,Servir et déguster
208,71,1,Préparer tous les ingrédients pour Gressins italiens maison
209,71,2,Suivre les étapes de préparation classiques pour cette recette
210,71,3,Servir et déguster
211,72,1,Préparer tous les ingrédients pour Légumes grillés marinés à l'italienne (antipasti)
212,72,2,Suivre les étapes de préparation classiques pour cette recette
213,72,3,Servir et déguster
214,73,1,Préparer tous les ingrédients pour Artichauts à la romaine
215,73,2,Suivre les étapes de préparation classiques pour cette recette
216,73,3,Servir et déguster
217,74,1,Préparer tous les ingrédients pour Poivrons marinés à l'huile d'olive et à l'ail
218,74,2,Suivre les étapes de préparation classiques pour cette recette
219,74,3,Servir et déguster
220,75,1,Préparer tous les ingrédients pour Aubergines à la parmesane (Melanzane alla parmigiana)
221,75,2,Suivre les étapes de préparation classiques pour cette recette
222,75,3,Servir et déguster
223,76,1,Préparer tous les ingrédients pour Velouté de potimarron et châtaignes
224,76,2,Suivre les étapes de préparation classiques pour cette recette
225,76,3,Servir et déguster
226,77,1,Préparer tous les ingrédients pour Soupe à l'oignon gratinée
227,77,2,Suivre les étapes de préparation classiques pour cette recette
228,77,3,Servir et déguster
229,78,1,Préparer tous les ingrédients pour Crème de lentilles corail au lait de coco
230,78,2,Suivre les étapes de préparation classiques pour cette recette
231,78,3,Servir et déguster
232,79,1,Préparer tous les ingrédients pour Soupe de poireaux-pommes de terre
233,79,2,Suivre les étapes de préparation classiques pour cette recette
234,79,3,Servir et déguster
235,80,1,Préparer tous les ingrédients pour Velouté Dubarry (chou-fleur)
236,80,2,Suivre les étapes de préparation classiques pour cette recette
237,80,3,Servir et déguster
238,81,1,Préparer tous les ingrédients pour Minestrone de légumes italiens
239,81,2,Suivre les étapes de préparation classiques pour cette recette
240,81,3,Servir et déguster
241,82,1,Préparer tous les ingrédients pour Soupe de poisson et sa rouille
242,82,2,Suivre les étapes de préparation classiques pour cette recette
243,82,3,Servir et déguster
244,83,1,Préparer tous les ingrédients pour Bouillon thaï aux crevettes (Tom Yum)
245,83,2,Suivre les étapes de préparation classiques pour cette recette
246,83,3,Servir et déguster
247,84,1,Préparer tous les ingrédients pour Soupe Phở au bœuf vietnamienne
248,84,2,Suivre les étapes de préparation classiques pour cette recette
249,84,3,Servir et déguster
250,85,1,Préparer tous les ingrédients pour Soupe miso japonaise
251,85,2,Suivre les étapes de préparation classiques pour cette recette
252,85,3,Servir et déguster
253,86,1,Préparer tous les ingrédients pour Harira marocaine (soupe de rupture du jeûne)
254,86,2,Suivre les étapes de préparation classiques pour cette recette
255,86,3,Servir et déguster
256,87,1,Préparer tous les ingrédients pour Chorba algérienne
257,87,2,Suivre les étapes de préparation classiques pour cette recette
258,87,3,Servir et déguster
259,88,1,Préparer tous les ingrédients pour Œufs cocotte à la crème et aux lardons
260,88,2,Suivre les étapes de préparation classiques pour cette recette
261,88,3,Servir et déguster
262,89,1,Préparer tous les ingrédients pour Feuilletés saucisse à la moutarde
263,89,2,Suivre les étapes de préparation classiques pour cette recette
264,89,3,Servir et déguster
265,90,1,Préparer tous les ingrédients pour Mini-brochettes de poulet mariné au satay
266,90,2,Suivre les étapes de préparation classiques pour cette recette
267,90,3,Servir et déguster
268,91,1,"Préparer tous les ingrédients pour Mini-brochettes Caprese (tomate cerise, mozzarella, basilic)"
269,91,2,Suivre les étapes de préparation classiques pour cette recette
270,91,3,Servir et déguster
271,92,1,Préparer tous les ingrédients pour Roulés de courgette au fromage frais
272,92,2,Suivre les étapes de préparation classiques pour cette recette
273,92,3,Servir et déguster
274,93,1,Préparer tous les ingrédients pour Blinis au saumon fumé et crème à l'aneth
275,93,2,Suivre les étapes de préparation classiques pour cette recette
276,93,3,Servir et déguster
277,94,1,Préparer tous les ingrédients pour Champignons farcis à l'ail et au persil
278,94,2,Suivre les étapes de préparation classiques pour cette recette
279,94,3,Servir et déguster
280,95,1,Préparer tous les ingrédients pour Tomates provençales au four
281,95,2,Suivre les étapes de préparation classiques pour cette recette
282,95,3,Servir et déguster
283,96,1,Préparer tous les ingrédients pour Tarte soleil au pesto et parmesan
284,96,2,Suivre les étapes de préparation classiques pour cette recette
285,96,3,Servir et déguster
286,97,1,Préparer tous les ingrédients pour Gougères au fromage
287,97,2,Suivre les étapes de préparation classiques pour cette recette
288,97,3,Servir et déguster
289,98,1,Préparer tous les ingrédients pour Cake salé aux olives et au jambon
290,98,2,Suivre les étapes de préparation classiques pour cette recette
291,98,3,Servir et déguster
292,99,1,Préparer tous les ingrédients pour Muffins salés au chorizo et poivron
293,99,2,Suivre les étapes de préparation classiques pour cette recette
294,99,3,Servir et déguster
295,100,1,Préparer tous les ingrédients pour Madeleines salées au chèvre et romarin
296,100,2,Suivre les étapes de préparation classiques pour cette recette
297,100,3,Servir et déguster
298,101,1,Préparer tous les ingrédients pour Quiche Lorraine traditionnelle
299,101,2,Suivre les étapes de préparation classiques pour cette recette
300,101,3,Servir et déguster
301,102,1,Préparer tous les ingrédients pour Tarte aux poireaux et lardons
302,102,2,Suivre les étapes de préparation classiques pour cette recette
303,102,3,Servir et déguster
304,103,1,Préparer tous les ingrédients pour Tarte à la tomate et à la moutarde
305,103,2,Suivre les étapes de préparation classiques pour cette recette
306,103,3,Servir et déguster
307,104,1,Préparer tous les ingrédients pour Tarte fine aux légumes du soleil et chèvre
308,104,2,Suivre les étapes de préparation classiques pour cette recette
309,104,3,Servir et déguster
310,105,1,Préparer tous les ingrédients pour Quiche sans pâte aux épinards et ricotta
311,105,2,Suivre les étapes de préparation classiques pour cette recette
312,105,3,Servir et déguster
313,106,1,Préparer tous les ingrédients pour Flammenkueche alsacienne
314,106,2,Suivre les étapes de préparation classiques pour cette recette
315,106,3,Servir et déguster
316,107,1,Préparer tous les ingrédients pour Pizza Margherita
317,107,2,Suivre les étapes de préparation classiques pour cette recette
318,107,3,Servir et déguster
319,108,1,"Préparer tous les ingrédients pour Pizza Reine (jambon, champignons)"
320,108,2,Suivre les étapes de préparation classiques pour cette recette
321,108,3,Servir et déguster
322,109,1,Préparer tous les ingrédients pour Pizza 4 fromages
323,109,2,Suivre les étapes de préparation classiques pour cette recette
324,109,3,Servir et déguster
325,110,1,Préparer tous les ingrédients pour Calzone (pizza soufflée)
326,110,2,Suivre les étapes de préparation classiques pour cette recette
327,110,3,Servir et déguster
328,111,1,Préparer tous les ingrédients pour Poulet rôti du dimanche aux herbes de Provence
329,111,2,Suivre les étapes de préparation classiques pour cette recette
330,111,3,Servir et déguster
331,112,1,Préparer tous les ingrédients pour Poulet basquaise
332,112,2,Suivre les étapes de préparation classiques pour cette recette
333,112,3,Servir et déguster
334,113,1,Préparer tous les ingrédients pour Poulet à la crème et aux champignons
335,113,2,Suivre les étapes de préparation classiques pour cette recette
336,113,3,Servir et déguster
337,114,1,Préparer tous les ingrédients pour Poulet vallée d'Auge (au cidre et à la crème)
338,114,2,Suivre les étapes de préparation classiques pour cette recette
339,114,3,Servir et déguster
340,115,1,Préparer tous les ingrédients pour Coq au vin
341,115,2,Suivre les étapes de préparation classiques pour cette recette
343,116,1,Préparer tous les ingrédients pour Waterzooi de poulet à la gantoise
344,116,2,Suivre les étapes de préparation classiques pour cette recette
345,116,3,Servir et déguster
346,117,1,Préparer tous les ingrédients pour Escalopes de poulet à la milanaise
347,117,2,Suivre les étapes de préparation classiques pour cette recette
348,117,3,Servir et déguster
349,118,1,Préparer tous les ingrédients pour Escalopes de poulet panées au citron
350,118,2,Suivre les étapes de préparation classiques pour cette recette
351,118,3,Servir et déguster
352,119,1,"Préparer tous les ingrédients pour Saltimbocca de veau à la romaine (jambon de Parme, sauge)"
353,119,2,Suivre les étapes de préparation classiques pour cette recette
354,119,3,Servir et déguster
355,120,1,Préparer tous les ingrédients pour Piccata de veau au citron
356,120,2,Suivre les étapes de préparation classiques pour cette recette
357,120,3,Servir et déguster
358,121,1,Préparer tous les ingrédients pour Blanquette de veau à l'ancienne
359,121,2,Suivre les étapes de préparation classiques pour cette recette
360,121,3,Servir et déguster
361,122,1,Préparer tous les ingrédients pour Osso buco à la milanaise
362,122,2,Suivre les étapes de préparation classiques pour cette recette
363,122,3,Servir et déguster
364,123,1,Préparer tous les ingrédients pour Rôti de veau Orloff
365,123,2,Suivre les étapes de préparation classiques pour cette recette
366,123,3,Servir et déguster
367,124,1,Préparer tous les ingrédients pour Sauté de veau Marengo
368,124,2,Suivre les étapes de préparation classiques pour cette recette
369,124,3,Servir et déguster
370,125,1,Préparer tous les ingrédients pour Paupiettes de veau en sauce
371,125,2,Suivre les étapes de préparation classiques pour cette recette
372,125,3,Servir et déguster
373,126,1,Préparer tous les ingrédients pour Bœuf bourguignon
374,126,2,Suivre les étapes de préparation classiques pour cette recette
375,126,3,Servir et déguster
376,127,1,Préparer tous les ingrédients pour Daube de bœuf provençale
377,127,2,Suivre les étapes de préparation classiques pour cette recette
378,127,3,Servir et déguster
379,128,1,Préparer tous les ingrédients pour Carbonnade flamande
380,128,2,Suivre les étapes de préparation classiques pour cette recette
381,128,3,Servir et déguster
382,129,1,Préparer tous les ingrédients pour Pot-au-feu et ses légumes
383,129,2,Suivre les étapes de préparation classiques pour cette recette
384,129,3,Servir et déguster
385,130,1,Préparer tous les ingrédients pour Hachis Parmentier
386,130,2,Suivre les étapes de préparation classiques pour cette recette
387,130,3,Servir et déguster
388,131,1,"Préparer tous les ingrédients pour Steak frites, sauce au poivre"
389,131,2,Suivre les étapes de préparation classiques pour cette recette
390,131,3,Servir et déguster
391,132,1,"Préparer tous les ingrédients pour Entrecôte grillée, sauce béarnaise"
392,132,2,Suivre les étapes de préparation classiques pour cette recette
393,132,3,Servir et déguster
394,133,1,Préparer tous les ingrédients pour Tartare de bœuf préparé
395,133,2,Suivre les étapes de préparation classiques pour cette recette
396,133,3,Servir et déguster
397,134,1,"Préparer tous les ingrédients pour Carpaccio de bœuf, parmesan et roquette"
398,134,2,Suivre les étapes de préparation classiques pour cette recette
399,134,3,Servir et déguster
400,135,1,Préparer tous les ingrédients pour Bœuf Stroganoff
401,135,2,Suivre les étapes de préparation classiques pour cette recette
402,135,3,Servir et déguster
403,136,1,Préparer tous les ingrédients pour Goulash de bœuf hongrois
404,136,2,Suivre les étapes de préparation classiques pour cette recette
405,136,3,Servir et déguster
406,137,1,Préparer tous les ingrédients pour Chili con carne
407,137,2,Suivre les étapes de préparation classiques pour cette recette
408,137,3,Servir et déguster
409,138,1,Préparer tous les ingrédients pour Boulettes de bœuf à la sauce tomate
410,138,2,Suivre les étapes de préparation classiques pour cette recette
411,138,3,Servir et déguster
412,139,1,Préparer tous les ingrédients pour Kefta de bœuf à la marocaine
413,139,2,Suivre les étapes de préparation classiques pour cette recette
414,139,3,Servir et déguster
415,140,1,Préparer tous les ingrédients pour Bœuf loc lac cambodgien
416,140,2,Suivre les étapes de préparation classiques pour cette recette
417,140,3,Servir et déguster
418,141,1,Préparer tous les ingrédients pour Bœuf sauté aux oignons
419,141,2,Suivre les étapes de préparation classiques pour cette recette
420,141,3,Servir et déguster
421,142,1,Préparer tous les ingrédients pour Bœuf sauté au gingembre et à la ciboulette
422,142,2,Suivre les étapes de préparation classiques pour cette recette
423,142,3,Servir et déguster
424,143,1,Préparer tous les ingrédients pour Bibimbap coréen au bœuf
425,143,2,Suivre les étapes de préparation classiques pour cette recette
426,143,3,Servir et déguster
427,144,1,Préparer tous les ingrédients pour Bulgogi (barbecue coréen)
428,144,2,Suivre les étapes de préparation classiques pour cette recette
429,144,3,Servir et déguster
690,231,3,Servir et déguster
430,145,1,Préparer tous les ingrédients pour Gyudon japonais (bol de riz au bœuf)
431,145,2,Suivre les étapes de préparation classiques pour cette recette
432,145,3,Servir et déguster
433,146,1,Préparer tous les ingrédients pour Rôti de porc à la moutarde
434,146,2,Suivre les étapes de préparation classiques pour cette recette
435,146,3,Servir et déguster
436,147,1,Préparer tous les ingrédients pour Filet mignon de porc en croûte
437,147,2,Suivre les étapes de préparation classiques pour cette recette
438,147,3,Servir et déguster
439,148,1,Préparer tous les ingrédients pour Sauté de porc au caramel
440,148,2,Suivre les étapes de préparation classiques pour cette recette
441,148,3,Servir et déguster
442,149,1,Préparer tous les ingrédients pour Porc à l'aigre-douce
443,149,2,Suivre les étapes de préparation classiques pour cette recette
444,149,3,Servir et déguster
445,150,1,Préparer tous les ingrédients pour Rougail saucisse réunionnais
446,150,2,Suivre les étapes de préparation classiques pour cette recette
447,150,3,Servir et déguster
448,151,1,Préparer tous les ingrédients pour Saucisses de Toulouse et purée maison
449,151,2,Suivre les étapes de préparation classiques pour cette recette
450,151,3,Servir et déguster
451,152,1,Préparer tous les ingrédients pour Travers de porc (ribs) sauce barbecue
452,152,2,Suivre les étapes de préparation classiques pour cette recette
453,152,3,Servir et déguster
454,153,1,Préparer tous les ingrédients pour Pulled pork (effiloché de porc)
455,153,2,Suivre les étapes de préparation classiques pour cette recette
456,153,3,Servir et déguster
457,154,1,Préparer tous les ingrédients pour Porc Tonkatsu japonais (escalope panée)
458,154,2,Suivre les étapes de préparation classiques pour cette recette
459,154,3,Servir et déguster
460,155,1,Préparer tous les ingrédients pour Jambon à l'os braisé au madère
461,155,2,Suivre les étapes de préparation classiques pour cette recette
462,155,3,Servir et déguster
463,156,1,Préparer tous les ingrédients pour Gigot d'agneau de sept heures
464,156,2,Suivre les étapes de préparation classiques pour cette recette
465,156,3,Servir et déguster
466,157,1,Préparer tous les ingrédients pour Navarin d'agneau printainier
467,157,2,Suivre les étapes de préparation classiques pour cette recette
468,157,3,Servir et déguster
469,158,1,Préparer tous les ingrédients pour Souris d'agneau confites au miel et au thym
470,158,2,Suivre les étapes de préparation classiques pour cette recette
471,158,3,Servir et déguster
472,159,1,Préparer tous les ingrédients pour Curry d'agneau à l'indienne (Rogan Josh)
473,159,2,Suivre les étapes de préparation classiques pour cette recette
474,159,3,Servir et déguster
475,160,1,Préparer tous les ingrédients pour Moussaka grecque
476,160,2,Suivre les étapes de préparation classiques pour cette recette
477,160,3,Servir et déguster
478,161,1,Préparer tous les ingrédients pour Tajine d'agneau aux pruneaux et amandes
479,161,2,Suivre les étapes de préparation classiques pour cette recette
480,161,3,Servir et déguster
481,162,1,Préparer tous les ingrédients pour Brochettes d'agneau marinées au citron et origan
482,162,2,Suivre les étapes de préparation classiques pour cette recette
483,162,3,Servir et déguster
484,163,1,Préparer tous les ingrédients pour Côtelettes d'agneau grillées à l'ail
485,163,2,Suivre les étapes de préparation classiques pour cette recette
486,163,3,Servir et déguster
487,164,1,Préparer tous les ingrédients pour Shepherd's pie (hachis Parmentier d'agneau)
488,164,2,Suivre les étapes de préparation classiques pour cette recette
489,164,3,Servir et déguster
490,165,1,Préparer tous les ingrédients pour Kefta d'agneau et semoule
491,165,2,Suivre les étapes de préparation classiques pour cette recette
492,165,3,Servir et déguster
493,166,1,"Préparer tous les ingrédients pour Magret de canard, sauce au poivre vert"
494,166,2,Suivre les étapes de préparation classiques pour cette recette
495,166,3,Servir et déguster
496,167,1,Préparer tous les ingrédients pour Confit de canard et pommes de terre sarladaises
497,167,2,Suivre les étapes de préparation classiques pour cette recette
498,167,3,Servir et déguster
499,168,1,Préparer tous les ingrédients pour Canard laqué pékinois (version simplifiée)
500,168,2,Suivre les étapes de préparation classiques pour cette recette
501,168,3,Servir et déguster
502,169,1,Préparer tous les ingrédients pour Parmentier de canard
503,169,2,Suivre les étapes de préparation classiques pour cette recette
504,169,3,Servir et déguster
505,170,1,Préparer tous les ingrédients pour Lapin à la moutarde
506,170,2,Suivre les étapes de préparation classiques pour cette recette
507,170,3,Servir et déguster
508,171,1,Préparer tous les ingrédients pour Lapin chasseur
509,171,2,Suivre les étapes de préparation classiques pour cette recette
510,171,3,Servir et déguster
511,172,1,Préparer tous les ingrédients pour Cassoulet de Toulouse
512,172,2,Suivre les étapes de préparation classiques pour cette recette
513,172,3,Servir et déguster
514,173,1,Préparer tous les ingrédients pour Choucroute garnie alsacienne
515,173,2,Suivre les étapes de préparation classiques pour cette recette
516,173,3,Servir et déguster
517,174,1,Préparer tous les ingrédients pour Petit salé aux lentilles
518,174,2,Suivre les étapes de préparation classiques pour cette recette
519,174,3,Servir et déguster
520,175,1,"Préparer tous les ingrédients pour Andouillette de Troyes, sauce moutarde"
521,175,2,Suivre les étapes de préparation classiques pour cette recette
522,175,3,Servir et déguster
523,176,1,Préparer tous les ingrédients pour Boudin noir aux pommes
524,176,2,Suivre les étapes de préparation classiques pour cette recette
525,176,3,Servir et déguster
526,177,1,Préparer tous les ingrédients pour Saucisson de Lyon pistaché en brioche
527,177,2,Suivre les étapes de préparation classiques pour cette recette
528,177,3,Servir et déguster
529,178,1,Préparer tous les ingrédients pour Far breton (version salée aux pruneaux et lard)
530,178,2,Suivre les étapes de préparation classiques pour cette recette
531,178,3,Servir et déguster
532,179,1,"Préparer tous les ingrédients pour Crêpes salées complètes (jambon, œuf, fromage)"
533,179,2,Suivre les étapes de préparation classiques pour cette recette
534,179,3,Servir et déguster
535,180,1,Préparer tous les ingrédients pour Galettes de sarrasin bretonnes
536,180,2,Suivre les étapes de préparation classiques pour cette recette
537,180,3,Servir et déguster
538,181,1,Préparer tous les ingrédients pour Moules marinières
539,181,2,Suivre les étapes de préparation classiques pour cette recette
540,181,3,Servir et déguster
541,182,1,Préparer tous les ingrédients pour Moules à la crème et aux frites
542,182,2,Suivre les étapes de préparation classiques pour cette recette
543,182,3,Servir et déguster
544,183,1,Préparer tous les ingrédients pour Moules au curry
545,183,2,Suivre les étapes de préparation classiques pour cette recette
546,183,3,Servir et déguster
547,184,1,Préparer tous les ingrédients pour Moules à la provençale
548,184,2,Suivre les étapes de préparation classiques pour cette recette
549,184,3,Servir et déguster
550,185,1,Préparer tous les ingrédients pour Paella valenciana
551,185,2,Suivre les étapes de préparation classiques pour cette recette
552,185,3,Servir et déguster
553,186,1,Préparer tous les ingrédients pour Paella aux fruits de mer
554,186,2,Suivre les étapes de préparation classiques pour cette recette
555,186,3,Servir et déguster
556,187,1,Préparer tous les ingrédients pour Zarzuela de mariscos (cassolette de poissons espagnole)
557,187,2,Suivre les étapes de préparation classiques pour cette recette
558,187,3,Servir et déguster
559,188,1,Préparer tous les ingrédients pour Marmitako (ragoût de thon basque)
560,188,2,Suivre les étapes de préparation classiques pour cette recette
561,188,3,Servir et déguster
