id,canonical_food_id,cultivar_name,synonyms,notes,created_at,updated_at,density_g_per_ml,grams_per_unit
477,1001,Rotonda Bianca,,"Aubergine italienne blanche ronde, chair tendre et douce",2025-10-03 18:12:28.467299+00,2025-10-07 14:22:20.970764+00,,
457,1001,Slim Jim,,"Aubergine fine et longue violet foncé, chair tendre",2025-10-03 18:12:28.467299+00,2025-10-07 14:22:20.970764+00,,
472,1001,Snowy,,"Aubergine blanche ivoire allongée, chair douce",2025-10-03 18:12:28.467299+00,2025-10-07 14:22:20.970764+00,,
469,1001,Tsakoniki,,"Aubergine grecque rayée, allongée, chair ferme",2025-10-03 18:12:28.467299+00,2025-10-07 14:22:20.970764+00,,
456,1001,Turkish Orange,"{""Turque Orange""}","Petite aubergine orange striée, chair ferme, légèrement fruitée",2025-10-03 18:12:28.467299+00,2025-10-07 14:22:20.970764+00,,
453,1001,Violette de Barbentane,,"Aubergine française violette allongée, chair ferme et douce, peu de graines",2025-10-03 18:12:28.467299+00,2025-10-07 14:22:20.970764+00,,
475,1001,Violette Longue,"{""Long Purple""}","Aubergine européenne classique allongée violette, chair ferme",2025-10-03 18:12:28.467299+00,2025-10-07 14:22:20.970764+00,,
466,1001,White Egg,"{""Œuf Blanc""}","Aubergine blanche en forme d'œuf, chair tendre et douce",2025-10-03 18:12:28.467299+00,2025-10-07 14:22:20.970764+00,,
1087,1002,Bacon,,"Avocat peau fine lisse verte, chair jaune pâle légère, saveur douce, bon pour climat froid",2025-10-03 18:37:19.253223+00,2025-10-07 14:22:20.970764+00,,
1093,1002,Carmen,,"Avocat hybride Hass-Reed, peau violette, chair crémeuse onctueuse, saveur riche noisette",2025-10-03 18:37:19.253223+00,2025-10-07 14:22:20.970764+00,,
1090,1002,Ettinger,,"Avocat israélien peau fine verte brillante, chair claire peu grasse, saveur délicate, texture fondante",2025-10-03 18:37:19.253223+00,2025-10-07 14:22:20.970764+00,,
1085,1002,Fuerte,,"Avocat peau lisse verte, allongé, chair douce moins grasse, texture fondante, bon pour climat frais",2025-10-03 18:37:19.253223+00,2025-10-07 14:22:20.970764+00,,
1091,1002,Gwen,,"Avocat compact type Hass, peau rugueuse verte, chair crémeuse dorée, excellent goût, arbre nain",2025-10-03 18:37:19.253223+00,2025-10-07 14:22:20.970764+00,,
1084,1002,Hass,,"Avocat californien classique, peau rugueuse violet-noir à maturité, chair crémeuse onctueuse, saveur riche",2025-10-03 18:37:19.253223+00,2025-10-07 14:22:20.970764+00,,
1092,1002,Lamb Hass,,"Avocat hybride Hass géant, très gros fruits, chair crémeuse riche, maturation tardive prolongée",2025-10-03 18:37:19.253223+00,2025-10-07 14:22:20.970764+00,,
1088,1002,Pinkerton,,"Avocat allongé peau verte épaisse, chair crémeuse excellente, très petit noyau, rendement chair élevé",2025-10-03 18:37:19.253223+00,2025-10-07 14:22:20.970764+00,,
1086,1002,Reed,,"Avocat rond gros calibre, peau épaisse verte, chair crémeuse douce, noyau petit, maturation été",2025-10-03 18:37:19.253223+00,2025-10-07 14:22:20.970764+00,,
1089,1002,Zutano,,"Avocat peau fine lisse brillante, chair claire légère, saveur douce aquatique, pollinisateur Hass",2025-10-03 18:37:19.253223+00,2025-10-07 14:22:20.970764+00,,
1130,1003,Blue Java,"{""Ice Cream Banana""}","Banane peau bleu argenté, chair blanche crémeuse, saveur glace vanille, texture onctueuse",2025-10-03 18:37:19.253223+00,2025-10-07 14:22:20.970764+00,,
1128,1003,Burro,"{""Chunky Banana""}","Banane courte trapue carrée, chair ferme citron-banane, saveur acidulée, excellente cuisson",2025-10-03 18:37:19.253223+00,2025-10-07 14:22:20.970764+00,,
1124,1003,Cavendish,"{""Grande Naine""}","Banane commerciale mondiale, fruits moyens jaunes, chair crémeuse douce, maturation uniforme",2025-10-03 18:37:19.253223+00,2025-10-07 14:22:20.970764+00,,
1125,1003,Frécinette,"{Freysinette,""Figue Pomme""}","Banane dessert antillaise, petits fruits très sucrés, chair crémeuse fondante, arôme intense",2025-10-03 18:37:19.253223+00,2025-10-07 14:22:20.970764+00,,
1132,1003,Gros Michel,"{""Big Mike""}","Banane historique grosse, chair crémeuse aromatique, saveur intense classique, quasi disparue",2025-10-03 18:37:19.253223+00,2025-10-07 14:22:20.970764+00,,
1129,1003,Lady Finger,"{""Finger Banana""}","Banane miniature fine, très sucrée crémeuse, saveur mielée intense, texture fondante",2025-10-03 18:37:19.253223+00,2025-10-07 14:22:20.970764+00,,
1131,1003,Manzano,"{""Apple Banana""}","Banane courte épaisse, chair ferme, saveur pomme-fraise-banane, légèrement acidulée",2025-10-03 18:37:19.253223+00,2025-10-07 14:22:20.970764+00,,
1133,1003,Orinoco,"{""Horse Banana""}","Banane robuste grosse, chair ferme rosée, saveur douce, excellent cuisson ou crue",2025-10-03 18:37:19.253223+00,2025-10-07 14:22:20.970764+00,,
1126,1003,Plantain,"{""Banane à Cuire""}","Banane légume, gros fruits anguleux, chair ferme féculente, se cuisine comme pomme de terre",2025-10-03 18:37:19.253223+00,2025-10-07 14:22:20.970764+00,,
1127,1003,Red Banana,"{""Banane Rouge""}","Banane peau rouge-pourpre, chair rose-crème douce, saveur framboise-banane, texture crémeuse",2025-10-03 18:37:19.253223+00,2025-10-07 14:22:20.970764+00,,
945,1004,African Blue,,"Basilic vivace hybride, feuilles vertes nervures pourpres, floraison violette décorative",2025-10-03 18:33:00.055752+00,2025-10-07 14:22:20.970764+00,,
938,1004,Cannelle,"{""Cinnamon Basil""}","Basilic arôme cannelle épicé, feuilles vert foncé nervures pourpres, cuisine mexicaine",2025-10-03 18:33:00.055752+00,2025-10-07 14:22:20.970764+00,,
948,1004,Christmas,,"Basilic arôme fruité épices, feuilles vert foncé, saveur complexe cannelle fruit",2025-10-03 18:33:00.055752+00,2025-10-07 14:22:20.970764+00,,
937,1004,Citron,"{""Lemon Basil""}","Basilic arôme citronné prononcé, feuilles vert clair, saveur fraîche, excellent poisson",2025-10-03 18:33:00.055752+00,2025-10-07 14:22:20.970764+00,,
934,1004,Genovese,"{""Basilic de Gênes""}","Basilic italien classique, grandes feuilles vert brillant, arôme puissant, idéal pesto",2025-10-03 18:33:00.055752+00,2025-10-07 14:22:20.970764+00,,
941,1004,Grec à Petites Feuilles,"{""Greek Basil""}","Basilic nain compact, très petites feuilles, arôme intense, idéal pot",2025-10-03 18:33:00.055752+00,2025-10-07 14:22:20.970764+00,,
944,1004,Lettuce Leaf,{Laitue},"Basilic américain, très grandes feuilles ondulées, arôme doux, excellent salade",2025-10-03 18:33:00.055752+00,2025-10-07 14:22:20.970764+00,,
943,1004,Lime,,"Basilic arôme citron vert intense, feuilles vert clair, saveur fraîche acidulée",2025-10-03 18:33:00.055752+00,2025-10-07 14:22:20.970764+00,,
939,1004,Marseillais,"{""Grand Vert""}","Basilic français, très grandes feuilles vert tendre, arôme doux, excellent frais",2025-10-03 18:33:00.055752+00,2025-10-07 14:22:20.970764+00,,
947,1004,Napolitain,,"Basilic italien, feuilles larges gaufrées, arôme puissant légèrement mentholé",2025-10-03 18:33:00.055752+00,2025-10-07 14:22:20.970764+00,,
946,1004,Piccolo,,"Basilic nain compact, petites feuilles, arôme intense, idéal balcon et bordure",2025-10-03 18:33:00.055752+00,2025-10-07 14:22:20.970764+00,,
936,1004,Pourpre,"{""Dark Opal"",""Red Rubin""}","Basilic pourpre décoratif, feuilles violet foncé, arôme légèrement épicé",2025-10-03 18:33:00.055752+00,2025-10-07 14:22:20.970764+00,,
940,1004,Réglisse,"{""Anise Basil""}","Basilic arôme anisé réglisse, feuilles vertes, saveur douce, cuisine asiatique",2025-10-03 18:33:00.055752+00,2025-10-07 14:22:20.970764+00,,
935,1004,Thai,"{""Basilic Thaï""}","Basilic asiatique, feuilles pourpres, arôme anisé épicé, tiges pourpres, cuisine thaï",2025-10-03 18:33:00.055752+00,2025-10-07 14:22:20.970764+00,,
942,1004,Tulsi,"{""Holy Basil"",""Basilic Sacré""}","Basilic sacré indien, feuilles vertes poilues, arôme épicé clou de girofle, médicinal",2025-10-03 18:33:00.055752+00,2025-10-07 14:22:20.970764+00,,
258,1005,Amsterdam,"{""Amsterdam Forcing""}","Carotte courte précoce, cylindrique, chair tendre et sucrée",2025-10-03 14:08:29.293091+00,2025-10-07 14:22:20.970764+00,,
80,1005,Atomic Red,,"Carotte rouge, teneur exceptionnelle en lycopène",2025-10-03 13:56:34.934502+00,2025-10-07 14:22:20.970764+00,,
265,1005,Autumn King,{Colmar},"Carotte longue tardive, grosse, chair ferme, excellente conservation",2025-10-03 14:08:29.293091+00,2025-10-07 14:22:20.970764+00,,
259,1005,Berlicum,,"Carotte demi-longue, cylindrique, chair ferme et croquante",2025-10-03 14:08:29.293091+00,2025-10-07 14:22:20.970764+00,,
255,1005,Blanche de Kuttigen,,"Carotte blanche suisse, chair tendre, saveur douce et légèrement anisée",2025-10-03 14:08:29.293091+00,2025-10-07 14:22:20.970764+00,,
78,1005,Chantenay,"{""Chantenay à Cœur Rouge""}","Carotte courte et conique, adaptée aux sols lourds",2025-10-03 13:56:34.934502+00,2025-10-07 14:22:20.970764+00,,
254,1005,Cosmic Purple,,"Carotte violette intense, chair orange-violet, saveur sucrée",2025-10-03 14:08:29.293091+00,2025-10-07 14:22:20.970764+00,,
266,1005,Danvers,"{""Danvers Half Long""}","Carotte américaine conique, chair ferme et sucrée",2025-10-03 14:08:29.293091+00,2025-10-07 14:22:20.970764+00,,
253,1005,Dragon,,"Carotte violette à cœur orange, croquante, légèrement épicée",2025-10-03 14:08:29.293091+00,2025-10-07 14:22:20.970764+00,,
264,1005,Flyaway,,"Carotte orange résistante à la mouche, chair tendre",2025-10-03 14:08:29.293091+00,2025-10-07 14:22:20.970764+00,,
81,1005,Jaune du Doubs,,"Variété ancienne jaune, saveur douce",2025-10-03 13:56:34.934502+00,2025-10-07 14:22:20.970764+00,,
252,1005,Jaune Obtuse du Doubs,,"Carotte jaune courte, chair tendre, saveur douce et sucrée",2025-10-03 14:08:29.293091+00,2025-10-07 14:22:20.970764+00,,
76,1005,Nantaise,"{""Carotte de Nantes""}","Carotte demi-longue, cylindrique, sucrée et croquante",2025-10-03 13:56:34.934502+00,2025-10-07 14:22:20.970764+00,,
256,1005,Oxheart,{Guérande},"Carotte courte et large en forme de cœur, chair tendre, adaptée sols lourds",2025-10-03 14:08:29.293091+00,2025-10-07 14:22:20.970764+00,,
79,1005,Purple Haze,{Haze},"Carotte violette à cœur orange, saveur douce et épicée",2025-10-03 13:56:34.934502+00,2025-10-07 14:22:20.970764+00,,
260,1005,Purple Sun,,"Carotte violette foncée uniforme, saveur douce",2025-10-03 14:08:29.293091+00,2025-10-07 14:22:20.970764+00,,
257,1005,Rainbow Mix,{Arc-en-ciel},"Mélange de carottes colorées : orange, jaune, rouge, violet, blanc",2025-10-03 14:08:29.293091+00,2025-10-07 14:22:20.970764+00,,
263,1005,Rothild,,"Carotte orange foncé, conique, chair très sucrée",2025-10-03 14:08:29.293091+00,2025-10-07 14:22:20.970764+00,,
261,1005,Snow White,,"Carotte blanche, chair croquante, saveur douce",2025-10-03 14:08:29.293091+00,2025-10-07 14:22:20.970764+00,,
262,1005,Solar Yellow,,"Carotte jaune vif, chair tendre, saveur légèrement sucrée",2025-10-03 14:08:29.293091+00,2025-10-07 14:22:20.970764+00,,
77,1005,Touchon,,"Variété précoce, racine lisse sans cœur dur",2025-10-03 13:56:34.934502+00,2025-10-07 14:22:20.970764+00,,
1225,1007,Brilliant,{Brillant},"Céleri-rave peau lisse brillante, chair blanche tendre, saveur douce céleri, facile épluchage",2025-10-03 18:44:53.982992+00,2025-10-07 14:22:20.970764+00,,
1227,1007,Giant Prague,"{""Géant de Prague""}","Céleri-rave tchèque très gros, chair blanche dense, saveur céleri prononcée, très productif",2025-10-03 18:44:53.982992+00,2025-10-07 14:22:20.970764+00,,
1224,1007,Monarch,"{""Céleri-rave Monarch""}","Céleri-rave gros régulier, chair blanche ferme, saveur prononcée céleri, peu de radicelles, bonne conservation",2025-10-03 18:44:53.982992+00,2025-10-07 14:22:20.970764+00,,
1226,1007,Prinz,{Prince},"Céleri-rave hollandais gros bulbe, chair ivoire ferme, saveur céleri intense, excellente conservation",2025-10-03 18:44:53.982992+00,2025-10-07 14:22:20.970764+00,,
1228,1007,Tellus,,"Céleri-rave moderne peau lisse, chair blanche tendre, saveur douce équilibrée, résistant maladies",2025-10-03 18:44:53.982992+00,2025-10-07 14:22:20.970764+00,,
120,1008,Burlat,,"Cerise précoce rouge foncé, grosse et juteuse, très productive",2025-10-03 14:04:10.592433+00,2025-10-07 14:22:20.970764+00,,
123,1008,Cœur de Pigeon,,"Cerise bigarreau blanc-rosé, chair ferme et sucrée, variété ancienne",2025-10-03 14:04:10.592433+00,2025-10-07 14:22:20.970764+00,,
127,1008,Hedelfingen,,"Cerise tardive noire, grosse, chair ferme et sucrée, bonne conservation",2025-10-03 14:04:10.592433+00,2025-10-07 14:22:20.970764+00,,
124,1008,Montmorency,,"Cerise aigre rouge clair, idéale pour confitures et clafoutis",2025-10-03 14:04:10.592433+00,2025-10-07 14:22:20.970764+00,,
125,1008,Napoléon,"{""Napoléon Bigarreau""}","Cerise jaune-rouge, chair ferme et croquante, excellente à croquer",2025-10-03 14:04:10.592433+00,2025-10-07 14:22:20.970764+00,,
122,1008,Reverchon,,"Cerise rouge vif de mi-saison, chair ferme, bonne résistance à la pluie",2025-10-03 14:04:10.592433+00,2025-10-07 14:22:20.970764+00,,
121,1008,Summit,,"Grosse cerise rouge sombre, chair ferme et croquante, excellente qualité",2025-10-03 14:04:10.592433+00,2025-10-07 14:22:20.970764+00,,
126,1008,Van,,"Cerise rouge foncé brillant, chair ferme, bonne résistance à l'éclatement",2025-10-03 14:04:10.592433+00,2025-10-07 14:22:20.970764+00,,
136,1009,Bergeron,,"Abricot de la Drôme, gros et ferme, excellent frais et en conserve",2025-10-03 14:04:10.592433+00,2025-10-07 14:22:20.970764+00,,
138,1009,Luizet,,"Abricot de mi-saison, gros et parfumé, chair ferme orangée",2025-10-03 14:04:10.592433+00,2025-10-07 14:22:20.970764+00,,
139,1009,Orangé de Provence,,"Abricot du Sud, orange foncé, chair fondante et très parfumée",2025-10-03 14:04:10.592433+00,2025-10-07 14:22:20.970764+00,,
137,1009,Orangered,,"Abricot orange vif précoce, très coloré, chair ferme et sucrée",2025-10-03 14:04:10.592433+00,2025-10-07 14:22:20.970764+00,,
143,1009,Pêche de Nancy,,"Abricot de Lorraine, gros, rose-orangé, chair fine et fondante",2025-10-03 14:04:10.592433+00,2025-10-07 14:22:20.970764+00,,
141,1009,Polonais,,"Gros abricot tardif, orange vif, chair ferme, excellente conservation",2025-10-03 14:04:10.592433+00,2025-10-07 14:22:20.970764+00,,
142,1009,Précoce de Saumur,,"Abricot très précoce, moyen, chair tendre et parfumée",2025-10-03 14:04:10.592433+00,2025-10-07 14:22:20.970764+00,,
140,1009,Rouge du Roussillon,,"Abricot rouge orangé, chair ferme et sucrée, origine catalane",2025-10-03 14:04:10.592433+00,2025-10-07 14:22:20.970764+00,,
1122,1010,Abacaxi,,"Ananas brésilien gros calibre, chair jaune pâle juteuse, saveur équilibrée aromatique",2025-10-03 18:37:19.253223+00,2025-10-07 14:22:20.970764+00,,
1114,1010,Cayenne Lisse,"{""Smooth Cayenne""}","Ananas commercial classique, gros fruits cylindriques, chair jaune juteuse acidulée, excellent conserve",2025-10-03 18:37:19.253223+00,2025-10-07 14:22:20.970764+00,,
1123,1010,Hilo,,"Ananas hawaïen compact, fruits moyens, chair jaune sucrée aromatique, feuillage décoratif",2025-10-03 18:37:19.253223+00,2025-10-07 14:22:20.970764+00,,
1120,1010,Kona Sugarloaf,,"Ananas hawaïen blanc, chair blanche crémeuse extra-sucrée, coeur tendre, saveur mielée délicate",2025-10-03 18:37:19.253223+00,2025-10-07 14:22:20.970764+00,,
1117,1010,MD-2,"{""Del Monte Gold""}","Ananas extra-sweet hybride, chair jaune doré, saveur très sucrée peu acide, coeur tendre comestible",2025-10-03 18:37:19.253223+00,2025-10-07 14:22:20.970764+00,,
1121,1010,Pérola,,"Ananas brésilien parfumé, chair blanche juteuse, saveur sucrée intense, arôme puissant",2025-10-03 18:37:19.253223+00,2025-10-07 14:22:20.970764+00,,
1116,1010,Queen,"{""Queen Pineapple""}","Ananas sud-africain conique, chair jaune pâle croquante, saveur douce délicate, petit calibre",2025-10-03 18:37:19.253223+00,2025-10-07 14:22:20.970764+00,,
1118,1010,Red Spanish,"{""Española Roja""}","Ananas caribéen peau rouge-brun, chair jaune pâle fibreuse, saveur acidulée aromatique",2025-10-03 18:37:19.253223+00,2025-10-07 14:22:20.970764+00,,
1119,1010,Sugarloaf,"{""Pain de Sucre""}","Ananas brésilien conique blanc-jaune, chair blanche très sucrée, saveur douce peu acide",2025-10-03 18:37:19.253223+00,2025-10-07 14:22:20.970764+00,,
1115,1010,Victoria,"{""Queen Victoria""}","Ananas Réunion petit golden, chair jaune doré très parfumée, saveur sucrée intense, label rouge",2025-10-03 18:37:19.253223+00,2025-10-07 14:22:20.970764+00,,
279,1012,Action,,"Betterave rouge ronde, précoce, chair tendre",2025-10-03 14:08:29.293091+00,2025-10-07 14:22:20.970764+00,,
272,1012,Albina Vereduna,{Blanche},"Betterave blanche, chair blanche, saveur très douce, ne tache pas",2025-10-03 14:08:29.293091+00,2025-10-07 14:22:20.970764+00,,
278,1012,Boldor,,"Betterave jaune, ronde, chair jaune vif, saveur douce",2025-10-03 14:08:29.293091+00,2025-10-07 14:22:20.970764+00,,
273,1012,Bull's Blood,"{""Sang de Taureau""}","Betterave rouge foncé, feuilles pourpres comestibles, chair intense",2025-10-03 14:08:29.293091+00,2025-10-07 14:22:20.970764+00,,
268,1012,Chioggia,"{""Betterave de Chioggia"",""Candy Stripe""}","Betterave italienne rayée rouge-blanc, chair douce, se mange crue",2025-10-03 14:08:29.293091+00,2025-10-07 14:22:20.970764+00,,
267,1012,Crapaudine,,"Betterave ancienne noire allongée, peau rugueuse, chair rouge foncé très sucrée",2025-10-03 14:08:29.293091+00,2025-10-07 14:22:20.970764+00,,
271,1012,Cylindra,{Formanova},"Betterave cylindrique allongée, chair rouge uniforme, idéale en tranches",2025-10-03 14:08:29.293091+00,2025-10-07 14:22:20.970764+00,,
270,1012,Detroit,"{""Detroit Dark Red""}","Betterave ronde rouge foncé, chair tendre et sucrée, très productive",2025-10-03 14:08:29.293091+00,2025-10-07 14:22:20.970764+00,,
274,1012,Egyptienne,"{""Egyptian Turnip Rooted""}","Betterave plate ancienne, rouge foncé, chair tendre et sucrée",2025-10-03 14:08:29.293091+00,2025-10-07 14:22:20.970764+00,,
269,1012,Golden,"{""Burpee's Golden""}","Betterave jaune dorée, chair jaune, saveur douce, ne tache pas",2025-10-03 14:08:29.293091+00,2025-10-07 14:22:20.970764+00,,
280,1012,Moulin Rouge,,"Betterave rouge allongée, chair rouge intense, très sucrée",2025-10-03 14:08:29.293091+00,2025-10-07 14:22:20.970764+00,,
277,1012,Pablo,,"Betterave ronde rouge hybride, résistante, chair tendre",2025-10-03 14:08:29.293091+00,2025-10-07 14:22:20.970764+00,,
275,1012,Red Ace,,"Betterave ronde rouge hybride, chair uniforme, excellente qualité",2025-10-03 14:08:29.293091+00,2025-10-07 14:22:20.970764+00,,
276,1012,Touchstone Gold,,"Betterave jaune-orange, chair tendre, saveur douce",2025-10-03 14:08:29.293091+00,2025-10-07 14:22:20.970764+00,,
281,1012,Wodan,,"Betterave cylindrique rouge, chair uniforme, bonne conservation",2025-10-03 14:08:29.293091+00,2025-10-07 14:22:20.970764+00,,
1081,1015,Bergamote,,"Agrume calabrais, peau très aromatique huile essentielle, jus acide amer, usage parfumerie thé",2025-10-03 18:35:43.505415+00,2025-10-07 14:22:20.970764+00,,
1082,1015,Cédrat,"{""Buddha's Hand""}","Cédrat digitée, fruit en doigts, zeste parfumé sans jus, usage confit pâtisserie",2025-10-03 18:35:43.505415+00,2025-10-07 14:22:20.970764+00,,
1080,1015,Citron Caviar,"{""Finger Lime""}","Citron caviar australien, pulpe en perles, saveur citronnée intense, texture unique",2025-10-03 18:35:43.505415+00,2025-10-07 14:22:20.970764+00,,
1077,1015,Combava,"{""Kaffir Lime"",Makrut}","Citron combava asiatique, peau bosselée aromatique, feuilles parfumées, cuisine thaï",2025-10-03 18:35:43.505415+00,2025-10-07 14:22:20.970764+00,,
1034,1015,Eureka,,"Citron californien classique, production toute l'année, jus abondant acide, peau fine lisse",2025-10-03 18:35:43.505415+00,2025-10-07 14:22:20.970764+00,,
1040,1015,Femminello,"{""Citron de Sicile""}","Citron sicilien ancien, très parfumé, peau fine aromatique, huile essentielle qualité",2025-10-03 18:35:43.505415+00,2025-10-07 14:22:20.970764+00,,
1042,1015,Limoni Lunario,,"Citron italien, floraison lunaire, fruits allongés très juteux, peau fine parfumée",2025-10-03 18:35:43.505415+00,2025-10-07 14:22:20.970764+00,,
1036,1015,Lisbon,,"Citron portugais, très juteux acide, peau épaisse, production abondante, résistant froid",2025-10-03 18:35:43.505415+00,2025-10-07 14:22:20.970764+00,,
1035,1015,Meyer,"{""Citron Meyer""}","Citron hybride doux, saveur moins acide miel-orange, peau fine jaune-orange, idéal pâtisserie",2025-10-03 18:35:43.505415+00,2025-10-07 14:22:20.970764+00,,
1037,1015,Ponderosa,"{""American Wonder""}","Citron géant spectaculaire, très gros fruits, peau épaisse, arbre compact idéal pot",2025-10-03 18:35:43.505415+00,2025-10-07 14:22:20.970764+00,,
1041,1015,Quatre Saisons,,"Citron remontant français, production continue, fruits moyens juteux, adapté climat méditerranéen",2025-10-03 18:35:43.505415+00,2025-10-07 14:22:20.970764+00,,
1043,1015,Santa Teresa,,"Citron italien, gros fruits ronds, jus abondant, arbre vigoureux productif",2025-10-03 18:35:43.505415+00,2025-10-07 14:22:20.970764+00,,
1039,1015,Villafranca,,"Citron italien type Eureka, juteux très acide, peau fine, production régulière",2025-10-03 18:35:43.505415+00,2025-10-07 14:22:20.970764+00,,
1038,1015,Volkamer,,"Citron-limette vigoureux, fruits ronds, jus acide abondant, excellent porte-greffe agrumes",2025-10-03 18:35:43.505415+00,2025-10-07 14:22:20.970764+00,,
1078,1015,Yuzu,,"Agrume japonais, saveur unique citron-mandarine, très parfumé, jus acide aromatique, résistant froid",2025-10-03 18:35:43.505415+00,2025-10-07 14:22:20.970764+00,,
