id,canonical_name,category_id,keywords,primary_unit,unit_weight_grams,density_g_per_ml,shelf_life_days_pantry,shelf_life_days_fridge,shelf_life_days_freezer,created_at,updated_at,subcategory_id,nutrition_id
1034,mandarine,1,"{mandarine,tangerine,fruit}",u,80.0,0.85,7,14,0,2025-10-02 10:17:54.436036+00,2025-10-07 15:12:47.348581+00,1,
1018,coriandre,10,"{cilantro,coriandre,herbe}",g,0.3,0.92,2,5,365,2025-09-28 15:02:02.979011+00,2025-10-07 15:12:47.348581+00,152,
1035,mangue,1,"{mangue,mango,fruit}",u,350.0,0.83,5,7,365,2025-10-02 10:19:33.056369+00,2025-10-07 15:12:47.348581+00,5,
1036,melon,1,"{melon,fruit}",u,1500.0,0.90,5,7,365,2025-10-02 17:52:51.886498+00,2025-10-07 15:12:47.348581+00,122,
1039,mûre,1,"{mûre,blackberry,fruit}",g,1.0,0.94,2,5,365,2025-10-02 17:52:51.886498+00,2025-10-07 15:12:47.348581+00,4,
1040,myrtille,1,"{myrtille,blueberry,fruit}",g,1.0,0.93,7,14,365,2025-10-02 17:52:51.886498+00,2025-10-07 15:12:47.348581+00,4,
1041,navet,2,"{navet,turnip,légume}",u,120,0.90,14,21,365,2025-09-28 15:02:02.979011+00,2025-10-07 15:12:47.348581+00,9,
1042,nectarine,1,"{nectarine,fruit}",u,150.0,0.89,3,7,365,2025-10-02 22:21:31.802295+00,2025-10-07 15:12:47.348581+00,2,
1043,noix de coco,11,"{""noix de coco"",coconut,fruit}",u,1500.0,0.92,180,7,365,2025-10-02 10:19:33.056369+00,2025-10-07 15:12:47.348581+00,33,
1007,céleri-rave,2,"{panais,parsnip,légume}",u,800.0,0.88,120,21,365,2025-10-01 17:16:06.825577+00,2025-10-07 15:12:47.348581+00,9,
1045,pamplemousse,1,"{pamplemousse,grapefruit,fruit}",u,350.0,0.89,14,30,0,2025-10-02 10:17:54.436036+00,2025-10-07 15:12:47.348581+00,1,
1046,papaye,1,"{papaye,papaya,fruit}",u,500.0,0.88,5,7,365,2025-10-02 10:19:33.056369+00,2025-10-07 15:12:47.348581+00,5,
1047,pastèque,1,"{pastèque,watermelon,fruit}",u,5000.0,0.92,5,7,365,2025-10-02 17:52:51.886498+00,2025-10-07 15:12:47.348581+00,122,
1048,pêche,1,"{fruit,peach,pêche}",u,150,0.89,3,7,365,2025-09-28 15:02:02.979011+00,2025-10-07 15:12:47.348581+00,2,
1049,persil,10,"{herbe,parsley,persil}",g,0.2,0.88,2,7,365,2025-09-28 15:02:02.979011+00,2025-10-07 15:12:47.348581+00,149,
1050,poire,1,"{fruit,pear,poire}",u,180,0.85,5,21,365,2025-09-28 15:02:02.979011+00,2025-10-07 15:12:47.348581+00,3,
1051,poivron,2,"{""bell pepper"",légume,poivron}",u,150,0.93,7,14,365,2025-09-28 15:02:02.979011+00,2025-10-07 15:12:47.348581+00,128,
14010,À classer,,,u,,,,,,2025-10-16 11:17:29.396632+00,2025-10-16 11:17:29.396632+00,,
1001,aubergine,2,"{aubergine,eggplant,légume}",u,250,0.92,5,7,365,2025-09-28 15:02:02.979011+00,2025-10-07 15:12:47.348581+00,128,
1032,litchi,1,"{litchi,lychee,fruit}",u,20.0,0.82,7,7,365,2025-10-02 10:19:33.056369+00,2025-10-07 15:12:47.348581+00,5,
13001,macadamia,13,"{macadamia,noix}",g,100,,365,30,730,2025-10-04 17:22:25.969139+00,2025-10-07 15:12:47.348581+00,161,
5006,millet,5,"{millet,céréale}",g,100,,730,7,365,2025-10-04 17:22:25.969139+00,2025-10-07 15:12:47.348581+00,16,
4002,quinoa,5,"{quinoa,pseudocéréale,graine}",g,100,,730,7,365,2025-10-04 17:22:25.969139+00,2025-10-07 15:12:47.348581+00,136,
11008,pistache,13,"{pistache,pistachio,noix}",g,100,,365,30,730,2025-10-04 17:22:25.969139+00,2025-10-07 15:12:47.348581+00,161,
4004,sarrasin,5,"{sarrasin,buckwheat,pseudocéréale}",g,100,,730,7,365,2025-10-04 17:22:25.969139+00,2025-10-07 15:12:47.348581+00,136,
4005,soja,6,"{soja,soy,soybean,légumineuse}",g,100,,365,7,365,2025-10-04 17:22:25.969139+00,2025-10-07 15:12:47.348581+00,19,
1052,pomme,1,"{apple,fruit,pomme}",u,150,0.85,7,30,365,2025-09-28 15:02:02.979011+00,2025-10-07 15:12:47.348581+00,3,
1053,pomme de terre,1,"{""pomme de terre"",potato,patate,légume}",u,150,0.80,90,60,365,2025-09-28 15:02:02.979011+00,2025-10-07 15:12:47.348581+00,3,
1054,prune,1,"{fruit,plum,prune}",u,65,0.87,3,7,365,2025-09-28 15:02:02.979011+00,2025-10-07 15:12:47.348581+00,2,
1055,quetsche,1,"{quetsche,plum,prune,fruit}",u,40.0,0.87,3,7,365,2025-10-02 22:21:31.802295+00,2025-10-07 15:12:47.348581+00,2,
1056,radis,2,"{radis,radish,légume}",u,15.0,0.95,7,30,0,2025-10-01 17:16:06.825577+00,2025-10-07 15:12:47.348581+00,9,
1057,raisin,11,"{raisin,grape,fruit}",g,1.0,0.95,3,7,365,2025-10-02 20:56:55.172411+00,2025-10-07 15:12:47.348581+00,33,
1058,thym,10,"{herbe,thym,thyme}",g,0.01,0.87,7,14,365,2025-09-28 15:02:02.979011+00,2025-10-07 15:12:47.348581+00,149,
1059,tomate,2,"{légume,tomate,tomato}",u,120,0.94,7,14,365,2025-09-28 15:02:02.979011+00,2025-10-07 15:12:47.348581+00,128,
2002,boeuf,8,"{beef,boeuf,viande}",g,200,1.05,1,3,365,2025-09-28 15:02:02.979011+00,2025-10-07 15:12:47.348581+00,142,
2003,brocoli,2,"{brocoli,broccoli,légume}",u,300.0,0.91,5,7,365,2025-10-02 17:52:51.886498+00,2025-10-07 15:12:47.348581+00,127,
2004,cabillaud,9,"{cabillaud,cod,morue,poisson}",g,150,1.03,1,2,365,2025-09-28 15:02:02.979011+00,2025-10-07 15:12:47.348581+00,146,
2005,canard,4,"{canard,duck,volaille}",u,2000,1.05,1,3,365,2025-09-28 15:02:02.979011+00,2025-10-07 15:12:47.348581+00,135,
2006,cardon,2,"{cardon,cardoon,légume}",u,300.0,0.94,5,10,365,2025-10-02 22:19:22.23603+00,2025-10-07 15:12:47.348581+00,132,
1010,ananas,1,"{ananas,pineapple,fruit}",u,1800.0,0.86,3,7,365,2025-10-02 10:19:33.056369+00,2025-10-07 15:12:47.348581+00,5,
2007,céleri branche,2,"{""céleri branche"",celery,céleri,légume}",u,300.0,0.95,7,14,365,2025-10-02 22:19:22.23603+00,2025-10-07 15:12:47.348581+00,130,
2008,cerfeuil,2,"{cerfeuil,chervil,herbe}",g,1.0,0.88,2,5,365,2025-10-02 22:17:31.420706+00,2025-10-07 15:12:47.348581+00,132,
2009,chou blanc,2,"{""chou blanc"",cabbage,chou,légume}",u,1000.0,0.92,14,30,365,2025-10-02 17:52:51.886498+00,2025-10-07 15:12:47.348581+00,127,
2010,chou chinois,2,"{""chou chinois"",""napa cabbage"",pe-tsai,chou,légume}",u,800.0,0.94,7,14,365,2025-10-02 22:21:31.802295+00,2025-10-07 15:12:47.348581+00,127,
2011,chou de Bruxelles,2,"{""chou de Bruxelles"",""Brussels sprouts"",chou,légume}",u,15.0,0.90,7,14,365,2025-10-02 17:52:51.886498+00,2025-10-07 15:12:47.348581+00,127,
2012,chou kale,2,"{""chou kale"",kale,""chou frisé"",légume}",g,1.0,0.91,5,7,365,2025-10-02 22:21:31.802295+00,2025-10-07 15:12:47.348581+00,127,
2015,chou vert,2,"{""chou vert"",""green cabbage"",""chou frisé"",légume}",u,1000.0,0.92,14,30,365,2025-10-02 22:21:31.802295+00,2025-10-07 15:12:47.348581+00,127,
1012,betterave,2,"{betterave,beet,légume}",u,250.0,0.87,120,14,365,2025-10-01 17:16:06.825577+00,2025-10-07 15:12:47.348581+00,9,
2016,chou-fleur,2,"{chou-fleur,cauliflower,chou,légume}",u,600.0,0.90,7,14,365,2025-10-02 17:52:51.886498+00,2025-10-07 15:12:47.348581+00,127,
2017,chou-rave,2,"{chou-rave,kohlrabi,chou,légume}",u,200.0,0.92,14,21,365,2025-10-02 22:21:31.802295+00,2025-10-07 15:12:47.348581+00,127,
2018,ciboulette,10,"{ciboulette,chive,herbe,légume}",g,1.0,0.92,3,7,365,2025-10-02 22:11:27.158415+00,2025-10-07 15:12:47.348581+00,149,
2019,citronnelle,10,"{citronnelle,lemongrass,herbe}",u,50.0,0.88,7,14,365,2025-10-02 22:17:31.420706+00,2025-10-07 15:12:47.348581+00,149,
2020,citrouille,13,"{citrouille,pumpkin,courge,légume}",u,5000.0,0.92,90,14,365,2025-10-02 22:21:31.802295+00,2025-10-07 15:12:47.348581+00,162,
2021,cœur de palmier,2,"{""cœur de palmier"",""heart of palm"",légume}",u,50.0,0.96,7,14,365,2025-10-02 22:19:22.23603+00,2025-10-07 15:12:47.348581+00,132,
2022,concombre,2,"{concombre,cucumber,légume}",u,300.0,0.96,5,7,365,2025-10-02 22:11:27.158415+00,2025-10-07 15:12:47.348581+00,129,
1021,figue,1,"{fig,figue,fruit}",u,50,0.85,3,7,365,2025-09-28 15:02:02.979011+00,2025-10-07 15:12:47.348581+00,124,
2023,cornichon,2,"{cornichon,gherkin,légume}",u,50.0,0.96,5,7,365,2025-10-02 22:11:27.158415+00,2025-10-07 15:12:47.348581+00,129,
2024,courge,13,"{courge,légume}",u,1200.0,0.90,90,14,365,2025-10-02 17:52:51.886498+00,2025-10-07 15:12:47.348581+00,162,
2025,courge spaghetti,13,"{""courge spaghetti"",""spaghetti squash"",courge,légume}",u,1500.0,0.91,90,14,365,2025-10-02 22:21:31.802295+00,2025-10-07 15:12:47.348581+00,162,
2026,courgette,2,"{courgette,zucchini,légume}",u,200.0,0.94,5,7,365,2025-10-02 20:56:55.172411+00,2025-10-07 15:12:47.348581+00,129,
2027,crabe,2,"{crab,crabe,crustacé}",g,500,1.05,1,2,365,2025-09-28 15:02:02.979011+00,2025-10-07 15:12:47.348581+00,132,
2028,cresson,2,"{cresson,watercress,salade,légume}",g,1.0,0.93,2,5,365,2025-10-02 22:19:22.23603+00,2025-10-07 15:12:47.348581+00,7,
2029,crevette,9,"{crevette,crustacé,shrimp}",g,20,1.05,1,2,365,2025-09-28 15:02:02.979011+00,2025-10-07 15:12:47.348581+00,30,
1030,kumquat,1,"{kumquat,fruit}",u,15.0,0.89,7,14,365,2025-10-02 22:21:31.802295+00,2025-10-07 15:12:47.348581+00,1,
2030,crosne,2,"{crosne,""chinese artichoke"",légume}",g,1.0,0.89,7,14,365,2025-10-02 22:19:22.23603+00,2025-10-07 15:12:47.348581+00,132,
2031,échalote,2,"{échalote,shallot,légume}",u,30.0,0.93,30,60,365,2025-10-02 22:11:27.158415+00,2025-10-07 15:12:47.348581+00,126,
2032,endive,2,"{endive,chicory,chicon,légume}",u,100.0,0.95,3,7,0,2025-10-02 22:19:22.23603+00,2025-10-07 15:12:47.348581+00,7,
2033,estragon,10,"{estragon,tarragon,herbe}",g,1.0,0.89,3,7,365,2025-10-02 22:17:31.420706+00,2025-10-07 15:12:47.348581+00,149,
2034,fenouil,10,"{fenouil,fennel,légume}",u,250.0,0.94,5,10,365,2025-10-02 22:19:22.23603+00,2025-10-07 15:12:47.348581+00,152,
2035,fève,6,"{fève,""broad bean"",""fava bean"",légume}",g,1.0,0.82,2,3,365,2025-10-02 22:11:27.158415+00,2025-10-07 15:12:47.348581+00,19,
2036,gombo,2,"{gombo,okra,légume}",u,15.0,0.90,3,7,365,2025-10-02 22:17:31.420706+00,2025-10-07 15:12:47.348581+00,132,
1044,orange,1,"{orange,fruit}",u,200.0,0.87,14,30,0,2025-10-02 10:17:54.436036+00,2025-10-07 15:12:47.348581+00,1,
2037,haricot vert,6,"{""haricot vert"",""green bean"",légume}",g,1.0,0.90,3,5,365,2025-10-02 22:11:27.158415+00,2025-10-07 15:12:47.348581+00,19,
2038,igname,2,"{igname,yam,légume}",u,200.0,0.87,30,60,365,2025-10-02 22:19:22.23603+00,2025-10-07 15:12:47.348581+00,132,
2039,laurier,10,"{laurier,""bay leaf"",herbe}",g,1.0,0.84,90,180,365,2025-10-02 22:17:31.420706+00,2025-10-07 15:12:47.348581+00,149,
2040,oeuf,4,"{egg,oeuf,œuf}",u,60,1.03,30,35,365,2025-09-28 15:02:02.979011+00,2025-10-07 15:12:47.348581+00,134,
2041,oignon,2,"{oignon,onion,légume}",u,100.0,0.94,30,60,365,2025-10-02 22:11:27.158415+00,2025-10-07 15:12:47.348581+00,126,
2042,oignon nouveau,2,"{""oignon nouveau"",""spring onion"",""green onion"",légume}",u,50.0,0.93,5,10,365,2025-10-02 22:17:31.420706+00,2025-10-07 15:12:47.348581+00,126,
2043,origan,2,"{origan,oregano,herbe}",g,1.0,0.85,5,14,365,2025-10-02 22:17:31.420706+00,2025-10-07 15:12:47.348581+00,132,
2001,blette,2,"{blette,chard,bette,légume}",g,1.0,0.92,3,7,365,2025-10-02 22:19:22.23603+00,2025-10-07 15:12:47.348581+00,7,
2044,pak-choï,2,"{pak-choï,""bok choy"",""chou chinois"",légume}",u,300.0,0.95,5,7,365,2025-10-02 22:21:31.802295+00,2025-10-07 15:12:47.348581+00,127,
2045,patate douce,2,"{""patate douce"",""sweet potato"",légume}",u,150.0,0.86,14,30,365,2025-10-02 22:19:22.23603+00,2025-10-07 15:12:47.348581+00,132,
2046,pâtisson,13,"{pâtisson,""pattypan squash"",courge,légume}",u,300.0,0.93,7,14,365,2025-10-02 22:21:31.802295+00,2025-10-07 15:12:47.348581+00,162,
2047,petit pois,6,"{""petit pois"",""green pea"",pea,légume}",g,1.0,0.80,2,3,365,2025-10-02 22:11:27.158415+00,2025-10-07 15:12:47.348581+00,19,
2048,piment,2,"{piment,""chili pepper"",légume}",u,20.0,0.90,7,14,365,2025-10-02 22:11:27.158415+00,2025-10-07 15:12:47.348581+00,128,
2049,poireau,2,"{poireau,leek,légume}",u,200.0,0.94,7,14,365,2025-10-02 22:11:27.158415+00,2025-10-07 15:12:47.348581+00,126,
2050,pois gourmand,6,"{""pois gourmand"",""snow pea"",mangetout,légume}",g,1.0,0.85,3,5,365,2025-10-02 22:17:31.420706+00,2025-10-07 15:12:47.348581+00,19,
2051,porc,8,"{porc,pork,viande}",g,150,1.05,1,3,365,2025-09-28 15:02:02.979011+00,2025-10-07 15:12:47.348581+00,143,
2052,potimarron,13,"{potimarron,""red kuri squash"",courge,légume}",u,1500.0,0.91,90,14,365,2025-10-02 17:52:51.886498+00,2025-10-07 15:12:47.348581+00,162,
2054,poulet,8,"{chicken,poulet,volaille}",u,1500,1.05,1,2,365,2025-09-28 15:02:02.979011+00,2025-10-07 15:12:47.348581+00,26,
2055,pousse de bambou,2,"{""pousse de bambou"",""bamboo shoot"",légume}",g,1.0,0.91,3,7,365,2025-10-02 22:19:22.23603+00,2025-10-07 15:12:47.348581+00,132,
2056,rhubarbe,2,"{rhubarbe,rhubarb,légume}",u,100.0,0.94,5,7,365,2025-10-02 22:19:22.23603+00,2025-10-07 15:12:47.348581+00,130,
2057,romarin,10,"{romarin,rosemary,herbe}",g,1.0,0.87,5,14,365,2025-10-02 22:17:31.420706+00,2025-10-07 15:12:47.348581+00,149,
2058,roquette,2,"{roquette,arugula,rocket,salade,légume}",g,1.0,0.92,2,5,365,2025-10-02 22:19:22.23603+00,2025-10-07 15:12:47.348581+00,7,
2059,rutabaga,2,"{rutabaga,swede,légume}",u,400.0,0.91,30,60,365,2025-10-02 22:19:22.23603+00,2025-10-07 15:12:47.348581+00,9,
2060,salsifis,2,"{salsifis,salsify,légume}",u,100.0,0.90,7,14,365,2025-10-02 22:19:22.23603+00,2025-10-07 15:12:47.348581+00,132,
2013,chou romanesco,2,"{""chou romanesco"",romanesco,chou,légume}",u,600.0,0.91,7,14,365,2025-10-02 22:21:31.802295+00,2025-10-07 15:12:47.348581+00,127,
2014,chou rouge,2,"{""chou rouge"",""red cabbage"",chou,légume}",u,1000.0,0.92,14,30,365,2025-10-02 22:21:31.802295+00,2025-10-07 15:12:47.348581+00,127,
2061,sauge,10,"{sauge,sage,herbe}",g,1.0,0.86,5,14,365,2025-10-02 22:17:31.420706+00,2025-10-07 15:12:47.348581+00,149,
2062,saumon,9,"{poisson,salmon,saumon}",g,180,1.03,1,2,365,2025-09-28 15:02:02.979011+00,2025-10-07 15:12:47.348581+00,147,
2063,shiso,2,"{shiso,perilla,herbe}",g,1.0,0.90,3,7,365,2025-10-02 22:17:31.420706+00,2025-10-07 15:12:47.348581+00,132,
2064,thon,9,"{poisson,thon,tuna}",g,150,1.03,1,2,365,2025-09-28 15:02:02.979011+00,2025-10-07 15:12:47.348581+00,147,
2065,tomatillo,2,"{tomatillo,physalis,légume}",u,30.0,0.93,7,14,365,2025-10-02 22:17:31.420706+00,2025-10-07 15:12:47.348581+00,132,
2066,topinambour,2,"{topinambour,""jerusalem artichoke"",légume}",u,80.0,0.88,14,21,365,2025-10-02 22:19:22.23603+00,2025-10-07 15:12:47.348581+00,9,
2067,verveine,10,"{tisane,verbena,verveine}",g,0.02,0.30,365,365,365,2025-09-28 15:02:02.979011+00,2025-10-07 15:12:47.348581+00,149,
3001,champignon de Paris,3,"{""champignon de Paris"",""button mushroom"",champignon}",g,1.0,0.92,2,5,365,2025-10-02 22:17:31.420706+00,2025-10-07 15:12:47.348581+00,133,
4001,agneau,8,"{agneau,lamb,mouton,viande}",g,150,1.05,1,3,365,2025-09-28 15:02:02.979011+00,2025-10-07 15:12:47.348581+00,142,
4003,riz,5,"{céréale,rice,riz}",g,0.02,0.85,730,730,730,2025-09-28 15:02:02.979011+00,2025-10-07 15:12:47.348581+00,16,
5001,avoine,5,"{avoine,céréale,oat}",g,0.03,0.80,730,730,730,2025-09-28 15:02:02.979011+00,2025-10-07 15:12:47.348581+00,16,
5002,blé,5,"{blé,céréale,wheat}",g,0.04,0.75,730,730,730,2025-09-28 15:02:02.979011+00,2025-10-07 15:12:47.348581+00,16,
5003,épeautre,5,"{épeautre,spelt,céréale,""blé ancien""}",g,100,,730,7,365,2025-10-04 17:22:25.969139+00,2025-10-07 15:12:47.348581+00,16,
5004,haricot,6,"{bean,haricot,légumineuse}",g,0.3,0.85,730,730,730,2025-09-28 15:02:02.979011+00,2025-10-07 15:12:47.348581+00,19,
5005,lentille,6,"{légumineuse,lentil,lentille}",g,0.05,0.85,730,730,730,2025-09-28 15:02:02.979011+00,2025-10-07 15:12:47.348581+00,19,
5007,orge,5,"{orge,barley,céréale}",g,100,,730,7,365,2025-10-04 17:22:25.969139+00,2025-10-07 15:12:47.348581+00,16,
5008,pois chiche,6,"{chickpea,légumineuse,""pois chiche""}",g,0.4,0.85,730,730,730,2025-09-28 15:02:02.979011+00,2025-10-07 15:12:47.348581+00,19,
6001,cardamome,10,"{cardamom,cardamome,épice}",g,0.15,0.40,1095,1095,1095,2025-09-28 15:02:02.979011+00,2025-10-07 15:12:47.348581+00,152,
6002,clou de girofle,10,"{""clou de girofle"",clove,épice}",g,0.1,0.40,1095,1095,1095,2025-09-28 15:02:02.979011+00,2025-10-07 15:12:47.348581+00,154,
6003,curcuma,10,"{curcuma,épice,turmeric}",g,0.5,0.88,365,365,365,2025-09-28 15:02:02.979011+00,2025-10-07 15:12:47.348581+00,150,
6004,sel,2,"{salt,sel,""sodium chloride""}",g,,0.85,99999,99999,99999,2025-09-28 15:02:02.979011+00,2025-10-07 15:12:47.348581+00,132,
7001,lait,7,"{lait,milk}",L,1030,1.03,1,7,365,2025-09-28 15:02:02.979011+00,2025-10-07 15:12:47.348581+00,139,
8001,ail des ours,2,"{""ail des ours"",""wild garlic"",ramps,herbe}",g,1.0,0.91,2,5,365,2025-10-02 22:17:31.420706+00,2025-10-07 15:12:47.348581+00,126,
8002,aneth,2,"{aneth,dill,herbe}",g,1.0,0.88,3,7,365,2025-10-02 22:11:27.158415+00,2025-10-07 15:12:47.348581+00,132,
8003,artichaut,2,"{artichaut,artichoke,légume}",u,150.0,0.94,3,7,365,2025-10-02 22:19:22.23603+00,2025-10-07 15:12:47.348581+00,132,
8004,asperge,2,"{asperge,asparagus,légume}",u,20.0,0.93,2,5,365,2025-10-02 22:19:22.23603+00,2025-10-07 15:12:47.348581+00,130,
8005,cacao,6,"{cacao,cocoa,""fève de cacao""}",g,0.03,0.60,730,730,730,2025-09-28 15:02:02.979011+00,2025-10-07 15:12:47.348581+00,19,
8006,café,2,"{café,coffee,""grain de café""}",g,0.1,0.56,365,365,365,2025-09-28 15:02:02.979011+00,2025-10-07 15:12:47.348581+00,132,
8007,camomille,2,"{camomille,chamomile,tisane}",g,0.01,0.30,365,365,365,2025-09-28 15:02:02.979011+00,2025-10-07 15:12:47.348581+00,132,
8008,chevreuil,8,"{chevreuil,venison,gibier,viande}",g,1.0,1.06,0,2,365,2025-10-02 22:23:29.196131+00,2025-10-07 15:12:47.348581+00,144,
8011,oie,4,"{oie,goose,volaille,viande}",g,1.0,1.04,0,2,365,2025-10-02 22:23:29.196131+00,2025-10-07 15:12:47.348581+00,135,
8015,veau,8,"{veau,veal,viande}",g,1.0,1.05,0,3,365,2025-10-02 22:23:29.196131+00,2025-10-07 15:12:47.348581+00,142,
9002,bar,9,"{bar,""sea bass"",loup,poisson}",g,1.0,1.04,0,1,365,2025-10-02 22:23:29.196131+00,2025-10-07 15:12:47.348581+00,146,
9003,calmar,2,"{calmar,squid,encornet,""fruit de mer""}",g,1.0,1.05,0,1,365,2025-10-02 22:23:29.196131+00,2025-10-07 15:12:47.348581+00,132,
2053,potiron,13,"{potiron,pumpkin,courge,légume}",u,3000.0,0.92,90,14,365,2025-10-02 17:52:51.886498+00,2025-10-07 15:12:47.348581+00,162,
9004,coquille Saint-Jacques,9,"{""coquille Saint-Jacques"",scallop,""fruit de mer""}",g,1.0,1.05,0,1,365,2025-10-02 22:23:29.196131+00,2025-10-07 15:12:47.348581+00,30,
9005,dorade,9,"{dorade,""sea bream"",daurade,poisson}",g,1.0,1.04,0,1,365,2025-10-02 22:23:29.196131+00,2025-10-07 15:12:47.348581+00,146,
9006,huître,9,"{huître,oyster,""fruit de mer""}",g,1.0,1.06,0,1,0,2025-10-02 22:23:29.196131+00,2025-10-07 15:12:47.348581+00,30,
9007,maïs,5,"{céréale,corn,maïs}",u,200,0.75,5,7,365,2025-09-28 15:02:02.979011+00,2025-10-07 15:12:47.348581+00,16,
9008,maquereau,9,"{maquereau,mackerel,poisson}",g,1.0,1.04,0,1,365,2025-10-02 22:23:29.196131+00,2025-10-07 15:12:47.348581+00,147,
9009,merlu,9,"{merlu,hake,colin,poisson}",g,1.0,1.04,0,1,365,2025-10-02 22:23:29.196131+00,2025-10-07 15:12:47.348581+00,146,
9010,moule,9,"{moule,mussel,""fruit de mer""}",g,1.0,1.06,0,1,365,2025-10-02 22:23:29.196131+00,2025-10-07 15:12:47.348581+00,30,
1037,menthe,10,"{herbe,menthe,mint}",g,0.05,0.92,2,5,365,2025-09-28 15:02:02.979011+00,2025-10-07 15:12:47.348581+00,149,
9011,poulpe,2,"{poulpe,octopus,""fruit de mer""}",g,1.0,1.05,0,1,365,2025-10-02 22:23:29.196131+00,2025-10-07 15:12:47.348581+00,132,
9012,sardine,9,"{sardine,poisson}",g,1.0,1.05,0,1,365,2025-10-02 22:23:29.196131+00,2025-10-07 15:12:47.348581+00,147,
9013,truite,9,"{truite,trout,poisson}",g,1.0,1.04,0,1,365,2025-10-02 22:23:29.196131+00,2025-10-07 15:12:47.348581+00,147,
10001,ail,2,"{ail,aromate,garlic}",u,3,0.95,180,365,365,2025-09-28 15:02:02.979011+00,2025-10-07 15:12:47.348581+00,126,
